scope,target,samples,positive,positive_percent
all_metadata,warning_acid_base_balance,140,21,15.0
all_metadata,warning_buffer_capacity,140,9,6.428571428571428
all_metadata,warning_acid_accumulation,140,4,2.857142857142857
all_metadata,warning_ammonia_toxicity,140,26,18.571428571428573
all_metadata,warning_biogas_quality,140,7,5.0
matched,warning_acid_base_balance,138,20,14.492753623188406
matched,warning_buffer_capacity,138,9,6.521739130434782
matched,warning_acid_accumulation,138,4,2.898550724637681
matched,warning_ammonia_toxicity,138,26,18.84057971014493
matched,warning_biogas_quality,138,7,5.072463768115942
cv_training_1,warning_acid_base_balance,85,13,15.294117647058824
cv_training_1,warning_buffer_capacity,85,6,7.0588235294117645
cv_training_1,warning_acid_accumulation,85,3,3.5294117647058822
cv_training_1,warning_ammonia_toxicity,85,18,21.176470588235293
cv_training_1,warning_biogas_quality,85,4,4.705882352941177
cv_validation_1,warning_acid_base_balance,24,2,8.333333333333332
cv_validation_1,warning_buffer_capacity,24,2,8.333333333333332
cv_validation_1,warning_acid_accumulation,24,0,0.0
cv_validation_1,warning_ammonia_toxicity,24,4,16.666666666666664
cv_validation_1,warning_biogas_quality,24,1,4.166666666666666
cv_training_2,warning_acid_base_balance,90,11,12.222222222222221
cv_training_2,warning_buffer_capacity,90,6,6.666666666666667
cv_training_2,warning_acid_accumulation,90,2,2.2222222222222223
cv_training_2,warning_ammonia_toxicity,90,20,22.22222222222222
cv_training_2,warning_biogas_quality,90,2,2.2222222222222223
cv_validation_2,warning_acid_base_balance,19,4,21.052631578947366
cv_validation_2,warning_buffer_capacity,19,2,10.526315789473683
cv_validation_2,warning_acid_accumulation,19,1,5.263157894736842
cv_validation_2,warning_ammonia_toxicity,19,2,10.526315789473683
cv_validation_2,warning_biogas_quality,19,3,15.789473684210526
cv_training_3,warning_acid_base_balance,86,13,15.11627906976744
cv_training_3,warning_buffer_capacity,86,7,8.13953488372093
cv_training_3,warning_acid_accumulation,86,3,3.488372093023256
cv_training_3,warning_ammonia_toxicity,86,17,19.767441860465116
cv_training_3,warning_biogas_quality,86,5,5.813953488372093
cv_validation_3,warning_acid_base_balance,23,2,8.695652173913043
cv_validation_3,warning_buffer_capacity,23,1,4.3478260869565215
cv_validation_3,warning_acid_accumulation,23,0,0.0
cv_validation_3,warning_ammonia_toxicity,23,5,21.73913043478261
cv_validation_3,warning_biogas_quality,23,0,0.0
cv_training_4,warning_acid_base_balance,89,12,13.48314606741573
cv_training_4,warning_buffer_capacity,89,6,6.741573033707865
cv_training_4,warning_acid_accumulation,89,1,1.1235955056179776
cv_training_4,warning_ammonia_toxicity,89,16,17.97752808988764
cv_training_4,warning_biogas_quality,89,5,5.617977528089887
cv_validation_4,warning_acid_base_balance,20,3,15.0
cv_validation_4,warning_buffer_capacity,20,2,10.0
cv_validation_4,warning_acid_accumulation,20,2,10.0
cv_validation_4,warning_ammonia_toxicity,20,6,30.0
cv_validation_4,warning_biogas_quality,20,0,0.0
cv_training_5,warning_acid_base_balance,86,11,12.790697674418606
cv_training_5,warning_buffer_capacity,86,7,8.13953488372093
cv_training_5,warning_acid_accumulation,86,3,3.488372093023256
cv_training_5,warning_ammonia_toxicity,86,17,19.767441860465116
cv_training_5,warning_biogas_quality,86,4,4.651162790697675
cv_validation_5,warning_acid_base_balance,23,4,17.391304347826086
cv_validation_5,warning_buffer_capacity,23,1,4.3478260869565215
cv_validation_5,warning_acid_accumulation,23,0,0.0
cv_validation_5,warning_ammonia_toxicity,23,5,21.73913043478261
cv_validation_5,warning_biogas_quality,23,1,4.3478260869565215
train,warning_acid_base_balance,109,15,13.761467889908257
train,warning_buffer_capacity,109,8,7.339449541284404
train,warning_acid_accumulation,109,3,2.7522935779816518
train,warning_ammonia_toxicity,109,22,20.18348623853211
train,warning_biogas_quality,109,5,4.587155963302752
test,warning_acid_base_balance,29,5,17.24137931034483
test,warning_buffer_capacity,29,1,3.4482758620689653
test,warning_acid_accumulation,29,1,3.4482758620689653
test,warning_ammonia_toxicity,29,4,13.793103448275861
test,warning_biogas_quality,29,2,6.896551724137931
