,missing,missing_percent
BAC_P::Abditibacteriota,0,0.0
BAC_P::Acetothermia,0,0.0
BAC_P::Acidobacteriota,0,0.0
BAC_P::Actinobacteriota,0,0.0
BAC_P::Armatimonadota,0,0.0
BAC_P::Bacteroidota,0,0.0
BAC_P::Bdellovibrionota,0,0.0
BAC_P::CK-2C2-2,0,0.0
BAC_P::Caldatribacteriota,0,0.0
BAC_P::Caldisericota,0,0.0
BAC_P::Calditrichota,0,0.0
BAC_P::Campilobacterota,0,0.0
BAC_P::Chloroflexi,0,0.0
BAC_P::Cloacimonadota,0,0.0
BAC_P::Coprothermobacterota,0,0.0
BAC_P::Cyanobacteria,0,0.0
BAC_P::Dadabacteria,0,0.0
BAC_P::Deferrisomatota,0,0.0
BAC_P::Deinococcota,0,0.0
BAC_P::Dependentiae,0,0.0
BAC_P::Desulfobacterota,0,0.0
BAC_P::Dictyoglomota,0,0.0
BAC_P::Elusimicrobiota,0,0.0
BAC_P::FCPU426,0,0.0
BAC_P::Fermentibacterota,0,0.0
BAC_P::Fibrobacterota,0,0.0
BAC_P::Firmicutes,0,0.0
BAC_P::Fusobacteriota,0,0.0
BAC_P::Gemmatimonadota,0,0.0
BAC_P::Halanaerobiaeota,0,0.0
BAC_P::Hydrogenedentes,0,0.0
BAC_P::Hydrothermae,0,0.0
BAC_P::LCP-89,0,0.0
BAC_P::Latescibacterota,0,0.0
BAC_P::MBNT15,0,0.0
BAC_P::Margulisbacteria,0,0.0
BAC_P::Marinimicrobia_(SAR406_clade),0,0.0
BAC_P::Methylomirabilota,0,0.0
BAC_P::Myxococcota,0,0.0
BAC_P::NB1-j,0,0.0
BAC_P::NKB15,0,0.0
BAC_P::Nitrospirota,0,0.0
BAC_P::PAUC34f,0,0.0
BAC_P::Patescibacteria,0,0.0
BAC_P::Planctomycetota,0,0.0
BAC_P::Proteobacteria,0,0.0
BAC_P::Spirochaetota,0,0.0
BAC_P::Sumerlaeota,0,0.0
BAC_P::Sva0485,0,0.0
BAC_P::Synergistota,0,0.0
BAC_P::TA06,0,0.0
BAC_P::Thermotogota,0,0.0
BAC_P::Verrucomicrobiota,0,0.0
BAC_P::WOR-1,0,0.0
BAC_P::WPS-2,0,0.0
BAC_P::WS1,0,0.0
BAC_P::WS2,0,0.0
BAC_P::WS4,0,0.0
BAC_P::Zixibacteria,0,0.0
BAC_P::unidentified,0,0.0
ARC_P::Aenigmarchaeota,0,0.0
ARC_P::Asgardarchaeota,0,0.0
ARC_P::Crenarchaeota,0,0.0
ARC_P::Cryptomycota,0,0.0
ARC_P::Euryarchaeota,0,0.0
ARC_P::Hadarchaeota,0,0.0
ARC_P::Halobacterota,0,0.0
ARC_P::Holozoa,0,0.0
ARC_P::Iainarchaeota,0,0.0
ARC_P::Micrarchaeota,0,0.0
ARC_P::Mollusca,0,0.0
ARC_P::Nanoarchaeota,0,0.0
ARC_P::Thermoplasmatota,0,0.0
ARC_P::Vertebrata,0,0.0
ARC_P::unidentified,0,0.0
