target,positives,samples,MCC,AUPR,ROC-AUC,both_classes_present,Model,scope
warning_acid_base_balance,15,109,0.5401570490062031,0.46879496869626386,0.8439716312056738,True,RandomForest,CV_OOF_optimized
warning_buffer_capacity,8,109,0.13341488958232883,0.07661672094870661,0.5346534653465347,True,RandomForest,CV_OOF_optimized
warning_acid_accumulation,3,109,0.16978220109047912,0.03627990901927072,0.6572327044025157,True,RandomForest,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.713385446500212,0.6282307925419014,0.9184952978056427,True,RandomForest,CV_OOF_optimized
warning_biogas_quality,5,109,0.08725654202025217,0.04886340390784215,0.5307692307692308,True,RandomForest,CV_OOF_optimized
warning_acid_base_balance,15,109,0.32268771591075857,0.2520225409409369,0.7081560283687943,True,KNN,CV_OOF_optimized
warning_buffer_capacity,8,109,0.004979170882366464,0.054417784050811574,0.4436881188118812,True,KNN,CV_OOF_optimized
warning_acid_accumulation,3,109,0.18468005969997575,0.05381716906946265,0.60062893081761,True,KNN,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.5075001546617443,0.5657813916991035,0.8338557993730407,True,KNN,CV_OOF_optimized
warning_biogas_quality,5,109,-0.02997722595912053,0.022935779816513763,0.46153846153846156,True,KNN,CV_OOF_optimized
warning_acid_base_balance,15,109,0.06750411873484276,0.1229592657840865,0.48510638297872344,True,SVM,CV_OOF_optimized
warning_buffer_capacity,8,109,0.02163276415875962,0.061984557940527686,0.44306930693069313,True,SVM,CV_OOF_optimized
warning_acid_accumulation,3,109,0.0,0.014951856606676975,0.12578616352201258,True,SVM,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.6303074536216242,0.7167079169197053,0.8829676071055381,True,SVM,CV_OOF_optimized
warning_biogas_quality,5,109,0.061709586897043874,0.03209465433682389,0.326923076923077,True,SVM,CV_OOF_optimized
warning_acid_base_balance,15,109,0.3018833035796958,0.28152478871128706,0.6900709219858155,True,NNET,CV_OOF_optimized
warning_buffer_capacity,8,109,0.10644903739740068,0.08785076084565392,0.5433168316831684,True,NNET,CV_OOF_optimized
warning_acid_accumulation,3,109,-0.023000157168277646,0.047189295147552865,0.7389937106918238,True,NNET,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.4508356819248289,0.5239081151379676,0.8019853709508882,True,NNET,CV_OOF_optimized
warning_biogas_quality,5,109,0.5807692307692308,0.48663719542184014,0.7865384615384615,True,NNET,CV_OOF_optimized
warning_acid_base_balance,15,109,0.4565516009630279,0.44815693838006515,0.8085106382978724,True,XGBoost,CV_OOF_optimized
warning_buffer_capacity,8,109,0.299171685166166,0.1253373772665236,0.6967821782178218,True,XGBoost,CV_OOF_optimized
warning_acid_accumulation,3,109,0.1255714699686233,0.03047954224424813,0.559748427672956,True,XGBoost,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.682239601658804,0.651201400428875,0.9169278996865204,True,XGBoost,CV_OOF_optimized
warning_biogas_quality,5,109,0.10601016442295073,0.05333173413915789,0.5480769230769231,True,XGBoost,CV_OOF_optimized
warning_acid_base_balance,15,109,0.29047635867223653,0.19149114021198302,0.6595744680851064,True,GLMNET,CV_OOF_optimized
warning_buffer_capacity,8,109,0.1489980191014029,0.09172431929659186,0.5606435643564357,True,GLMNET,CV_OOF_optimized
warning_acid_accumulation,3,109,0.11111615050658782,0.031233427606746772,0.5251572327044025,True,GLMNET,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.6294731296663286,0.4971313312465722,0.8766980146290492,True,GLMNET,CV_OOF_optimized
warning_biogas_quality,5,109,0.7672543550107871,0.6292766532842644,0.8057692307692308,True,GLMNET,CV_OOF_optimized
warning_acid_base_balance,5,29,0.44445779894466364,0.6914285714285714,0.9416666666666667,True,RandomForest,test
warning_buffer_capacity,1,29,0.10660035817780522,0.041666666666666664,0.6071428571428572,True,RandomForest,test
warning_acid_accumulation,1,29,0.2817180849095055,1.0,1.0,True,RandomForest,test
warning_ammonia_toxicity,4,29,0.7831560082980488,0.54375,0.9500000000000001,True,RandomForest,test
warning_biogas_quality,2,29,-0.2360293976249778,0.15423076923076923,0.5370370370370371,True,RandomForest,test
warning_acid_base_balance,5,29,0.7395099728874519,0.9633333333333334,0.9916666666666667,True,KNN,test
warning_buffer_capacity,1,29,-0.06419407387663693,0.017241379310344827,0.44642857142857145,True,KNN,test
warning_acid_accumulation,1,29,0.5563486402641867,0.25,0.9642857142857143,True,KNN,test
warning_ammonia_toxicity,4,29,0.6480740698407861,0.8333333333333333,0.9600000000000001,True,KNN,test
warning_biogas_quality,2,29,-0.05143444998736397,0.034482758620689655,0.46296296296296297,True,KNN,test
warning_acid_base_balance,5,29,0.12422599874998831,0.48730158730158724,0.8916666666666666,True,SVM,test
warning_buffer_capacity,1,29,0.3700064349504774,0.08333333333333333,0.8214285714285714,True,SVM,test
warning_acid_accumulation,1,29,0.0,0.017241379310344827,0.0,True,SVM,test
warning_ammonia_toxicity,4,29,0.7831560082980488,0.54375,0.95,True,SVM,test
warning_biogas_quality,2,29,0.0,0.1842948717948718,0.7777777777777778,True,SVM,test
warning_acid_base_balance,5,29,0.275,0.3293386243386243,0.7083333333333334,True,NNET,test
warning_buffer_capacity,1,29,0.0,0.03333333333333333,0.5,True,NNET,test
warning_acid_accumulation,1,29,1.0,1.0,1.0,True,NNET,test
warning_ammonia_toxicity,4,29,0.7091242083423347,0.4380952380952381,0.92,True,NNET,test
warning_biogas_quality,2,29,-0.05143444998736397,0.06577380952380951,0.5,True,NNET,test
warning_acid_base_balance,5,29,0.34689095308660517,0.6139682539682539,0.8999999999999999,True,XGBoost,test
warning_buffer_capacity,1,29,-0.11664236870396086,0.03125,0.4642857142857143,True,XGBoost,test
warning_acid_accumulation,1,29,0.1267731382092775,1.0,1.0,True,XGBoost,test
warning_ammonia_toxicity,4,29,0.7091242083423347,0.7041666666666666,0.9650000000000001,True,XGBoost,test
warning_biogas_quality,2,29,-0.08885233166386385,0.04984367484367484,0.33333333333333337,True,XGBoost,test
warning_acid_base_balance,5,29,0.44293978391414907,0.5430228758169935,0.825,True,GLMNET,test
warning_buffer_capacity,1,29,-0.07559289460184544,0.03333333333333333,0.5,True,GLMNET,test
warning_acid_accumulation,1,29,1.0,1.0,1.0,True,GLMNET,test
warning_ammonia_toxicity,4,29,0.7091242083423347,0.6255952380952381,0.93,True,GLMNET,test
warning_biogas_quality,2,29,0.0,0.07373366013071896,0.5740740740740741,True,GLMNET,test
