Model,Macro MCC,Macro AUPR,Macro ROC-AUC,Resolution
Random Forest,0.2785686560112341,0.6351753034547152,0.9094550264550264,Family
KNN,0.0845755726761,0.2818723316912972,0.6966507936507936,Family
SVM,0.2130923149806138,0.4631018518518519,0.5428677248677248,Family
NNET,0.3079268333763841,0.5092769637769639,0.8215555555555556,Family
XGBoost,0.1631449133040279,0.5787609890109889,0.9001269841269842,Family
GLMNET,0.3662575719240077,0.5315793650793651,0.8507354497354497,Family
Random Forest,0.3772004455246069,0.4260432900432899,0.927201058201058,Genus
KNN,0.1727875794046301,0.3800589764641489,0.6022698412698413,Genus
SVM,-0.0522280448320227,0.1913741724292698,0.4927460317460317,Genus
NNET,0.1188057826811053,0.2575727624865556,0.7667354497354497,Genus
XGBoost,0.0558214924648917,0.3498131313131313,0.933973544973545,Genus
GLMNET,0.2866449483056878,0.4629379786879786,0.8052116402116403,Genus
Random Forest,0.5654314295415139,0.5750318087709392,0.8655238095238096,Order
KNN,0.4412093588165757,0.6241379310344828,0.7768571428571429,Order
SVM,0.2074605918692205,0.5134404761904762,0.8890423280423281,Order
NNET,0.2932581099777692,0.4966940836940837,0.8898201058201058,Order
XGBoost,0.5714593399516661,0.3943646125116713,0.8586772486772487,Order
GLMNET,0.2983281994369121,0.5081625368095957,0.877968253968254,Order
Random Forest,0.3081064054649826,0.5335238095238095,0.8821640211640212,Class
KNN,0.3306900133512708,0.5203251231527094,0.8877830687830688,Class
SVM,0.1513225874661629,0.222455159782746,0.4136613756613757,Class
NNET,0.1109539863900352,0.240438382977176,0.8093068783068784,Class
XGBoost,0.2069287980233896,0.5122954545454546,0.7971111111111111,Class
GLMNET,0.1392682917056423,0.4119501185089421,0.8976402116402117,Class
Random Forest,0.2759805705410091,0.4862152014652015,0.8071693121693123,Phylum
KNN,0.3656608318256847,0.4196781609195401,0.765068783068783,Phylum
SVM,0.2554776883997028,0.2631842343480274,0.6881746031746031,Phylum
NNET,0.3865379516709941,0.373308201058201,0.7256666666666667,Phylum
XGBoost,0.1954587198540785,0.479845719095719,0.7325238095238096,Phylum
GLMNET,0.4152942195309276,0.4551370214752568,0.7658148148148148,Phylum
