feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_P::Acetothermia,Acetothermia,Bacteria,Phylum,12,4,True
BAC_P::Acidobacteriota,Acidobacteriota,Bacteria,Phylum,77,56,True
BAC_P::Actinobacteriota,Actinobacteriota,Bacteria,Phylum,123,95,True
BAC_P::Armatimonadota,Armatimonadota,Bacteria,Phylum,68,50,True
BAC_P::Bacteroidota,Bacteroidota,Bacteria,Phylum,138,109,True
BAC_P::Bdellovibrionota,Bdellovibrionota,Bacteria,Phylum,22,16,True
BAC_P::CK-2C2-2,CK-2C2-2,Bacteria,Phylum,9,7,True
BAC_P::Caldatribacteriota,Caldatribacteriota,Bacteria,Phylum,108,84,True
BAC_P::Caldisericota,Caldisericota,Bacteria,Phylum,84,64,True
BAC_P::Campilobacterota,Campilobacterota,Bacteria,Phylum,26,16,True
BAC_P::Chloroflexi,Chloroflexi,Bacteria,Phylum,100,77,True
BAC_P::Cloacimonadota,Cloacimonadota,Bacteria,Phylum,133,104,True
BAC_P::Coprothermobacterota,Coprothermobacterota,Bacteria,Phylum,8,8,True
BAC_P::Cyanobacteria,Cyanobacteria,Bacteria,Phylum,2,2,True
BAC_P::Deinococcota,Deinococcota,Bacteria,Phylum,6,3,True
BAC_P::Dependentiae,Dependentiae,Bacteria,Phylum,34,25,True
BAC_P::Desulfobacterota,Desulfobacterota,Bacteria,Phylum,111,82,True
BAC_P::Elusimicrobiota,Elusimicrobiota,Bacteria,Phylum,8,7,True
BAC_P::Fermentibacterota,Fermentibacterota,Bacteria,Phylum,16,11,True
BAC_P::Fibrobacterota,Fibrobacterota,Bacteria,Phylum,16,13,True
BAC_P::Firmicutes,Firmicutes,Bacteria,Phylum,138,109,True
BAC_P::Fusobacteriota,Fusobacteriota,Bacteria,Phylum,21,14,True
BAC_P::Gemmatimonadota,Gemmatimonadota,Bacteria,Phylum,19,13,True
BAC_P::Halanaerobiaeota,Halanaerobiaeota,Bacteria,Phylum,2,2,True
BAC_P::Hydrogenedentes,Hydrogenedentes,Bacteria,Phylum,65,49,True
BAC_P::Hydrothermae,Hydrothermae,Bacteria,Phylum,1,1,True
BAC_P::Latescibacterota,Latescibacterota,Bacteria,Phylum,3,1,True
BAC_P::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Bacteria,Phylum,30,24,True
BAC_P::Myxococcota,Myxococcota,Bacteria,Phylum,19,12,True
BAC_P::NKB15,NKB15,Bacteria,Phylum,6,6,True
BAC_P::Nitrospirota,Nitrospirota,Bacteria,Phylum,15,7,True
BAC_P::Patescibacteria,Patescibacteria,Bacteria,Phylum,76,58,True
BAC_P::Planctomycetota,Planctomycetota,Bacteria,Phylum,92,71,True
BAC_P::Proteobacteria,Proteobacteria,Bacteria,Phylum,121,92,True
BAC_P::Spirochaetota,Spirochaetota,Bacteria,Phylum,129,101,True
BAC_P::Sumerlaeota,Sumerlaeota,Bacteria,Phylum,22,15,True
BAC_P::Sva0485,Sva0485,Bacteria,Phylum,8,2,True
BAC_P::Synergistota,Synergistota,Bacteria,Phylum,136,107,True
BAC_P::TA06,TA06,Bacteria,Phylum,8,4,True
BAC_P::Thermotogota,Thermotogota,Bacteria,Phylum,105,85,True
BAC_P::Verrucomicrobiota,Verrucomicrobiota,Bacteria,Phylum,130,101,True
BAC_P::WPS-2,WPS-2,Bacteria,Phylum,4,3,True
BAC_P::WS1,WS1,Bacteria,Phylum,47,37,True
BAC_P::Zixibacteria,Zixibacteria,Bacteria,Phylum,5,3,True
BAC_P::unidentified,unidentified,Bacteria,Phylum,84,65,True
