Model,target,threshold
RandomForest,warning_acid_base_balance,0.51
RandomForest,warning_buffer_capacity,0.08
RandomForest,warning_acid_accumulation,0.05
RandomForest,warning_ammonia_toxicity,0.5
RandomForest,warning_biogas_quality,0.08
KNN,warning_acid_base_balance,0.19
KNN,warning_buffer_capacity,0.5800000000000001
KNN,warning_acid_accumulation,0.5800000000000001
KNN,warning_ammonia_toxicity,0.31
KNN,warning_biogas_quality,0.8
SVM,warning_acid_base_balance,0.14
SVM,warning_buffer_capacity,0.09
SVM,warning_acid_accumulation,0.5
SVM,warning_ammonia_toxicity,0.38
SVM,warning_biogas_quality,0.02
NNET,warning_acid_base_balance,0.01
NNET,warning_buffer_capacity,0.99
NNET,warning_acid_accumulation,0.85
NNET,warning_ammonia_toxicity,0.01
NNET,warning_biogas_quality,0.9500000000000001
XGBoost,warning_acid_base_balance,0.41000000000000003
XGBoost,warning_buffer_capacity,0.26
XGBoost,warning_acid_accumulation,0.04
XGBoost,warning_ammonia_toxicity,0.41000000000000003
XGBoost,warning_biogas_quality,0.11
GLMNET,warning_acid_base_balance,0.33
GLMNET,warning_buffer_capacity,0.15000000000000002
GLMNET,warning_acid_accumulation,0.45
GLMNET,warning_ammonia_toxicity,0.5
GLMNET,warning_biogas_quality,0.93
