mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__hidden_layer_sizes,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016919803619384766,0.0012608235002114798,0.0026389598846435548,5.275370833418221e-05,"(32,)",0.001,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 0.001}",-4.077288038573086,-0.5506840556598469,-0.2807295356761753,-0.28292342300092793,-0.34314148216320167,-1.1069533070146478,1.488449083533629,12
0.023408031463623045,0.002155674361369484,0.0026668548583984376,3.8528501397267083e-05,"(64,)",0.001,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 0.001}",-3.1443697393120313,-0.22309171450385554,-0.23464534678217405,-0.36401724728586676,-0.3114883910849138,-0.8555224877937683,1.1455853829240372,10
0.0204038143157959,0.002437757518503094,0.002655029296875,6.03358243949559e-05,"(32, 16)",0.001,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 0.001}",-4.168040944326713,-0.26448583049859353,-0.152602044569748,-0.30748230323708836,-0.33461897392985385,-1.0454460193123993,1.5625321615993997,11
0.07230606079101562,0.012330100650041335,0.0026434898376464845,5.9423667816695806e-05,"(32,)",0.01,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 0.01}",-0.45640239428848406,-0.12132485353573298,-0.23209108917387591,-0.3110474950765287,-0.2783884049541077,-0.27985084740574584,0.10913963854562563,8
0.08246331214904785,0.025620073311384495,0.0030861377716064455,0.00036014571456049636,"(64,)",0.01,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 0.01}",-1.5570552974299319,-0.18881071089113413,-0.25763387820150363,-0.3083898385548744,-0.24951315431111118,-0.5122805758777111,0.5237652267169255,9
0.10590152740478516,0.016931274478173986,0.0027046680450439455,0.00014869694100580472,"(32, 16)",0.01,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 0.01}",-0.44034190610629365,-0.06148323441803905,-0.1716179686767867,-0.26915576810772224,-0.25037874154771766,-0.23859552377131185,0.12460267370062134,1
0.12361688613891601,0.037900499485454826,0.0026564598083496094,4.495464341652585e-05,"(32,)",0.1,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 0.1}",-0.46968034108835377,-0.0793056105608536,-0.17659536887509336,-0.2889720631412213,-0.2622847097438463,-0.2553676186818737,0.1298537222144101,7
0.19946937561035155,0.057274348434393905,0.002675628662109375,4.630763989767987e-05,"(64,)",0.1,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 0.1}",-0.45460557012209113,-0.09801921926184977,-0.17557429639547464,-0.2743128848936631,-0.26039033076113055,-0.25258046028684183,0.11930344828588206,6
0.1568504810333252,0.0377030784776676,0.0028383731842041016,0.00023749022942440025,"(32, 16)",0.1,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 0.1}",-0.4648759905061849,-0.06736561813349382,-0.17074939126963332,-0.294162782343336,-0.25589923708863477,-0.25061060386825657,0.13250732498773166,5
0.12621798515319824,0.03747237383834775,0.002606487274169922,2.1975727330270714e-05,"(32,)",1.0,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 1.0}",-0.4473657040229467,-0.07171232634802337,-0.17031316369049945,-0.2841468371475,-0.26405381039505665,-0.24751836832080523,0.1252377189001512,3
0.27082018852233886,0.04411182304160235,0.002722930908203125,0.0001794830138764427,"(64,)",1.0,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 1.0}",-0.4420459161089737,-0.09076676183794173,-0.17202635901754826,-0.270675960412874,-0.26615933049262214,-0.24833486557399195,0.1174661676019535,4
0.18940253257751466,0.005850688268478435,0.002657032012939453,2.614120285292198e-05,"(32, 16)",1.0,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 1.0}",-0.43407335539524045,-0.08659877319500496,-0.17048233646428268,-0.2661158029800365,-0.26688030789077977,-0.24483011518506886,0.11603193117172536,2
