feature,group,selected
Q_total_Tpy,physicochemical,True
substrate_avg_pH,physicochemical,True
substrate_avg_ALK,physicochemical,True
substrate_avg_VS,physicochemical,True
substrate_avg_COD,physicochemical,True
substrate_avg_sCOD,physicochemical,True
substrate_avg_TC,physicochemical,True
substrate_avg_Protein,physicochemical,True
substrate_avg_Lipid,physicochemical,True
substrate_avg_TVFAs,physicochemical,True
substrate_avg_HAc,physicochemical,True
substrate_avg_HPro,physicochemical,True
HRT_d,physicochemical,True
T_C,physicochemical,True
eff_pH,physicochemical,True
eff_VS,physicochemical,True
eff_TC,physicochemical,True
eff_Lipid,physicochemical,True
eff_COD,physicochemical,True
eff_sCOD,physicochemical,True
eff_CH4,physicochemical,True
eff_H2S,physicochemical,True
eff_protein,physicochemical,True
substrate_type_(HM)1SC,categorical_encoded,True
substrate_type_(HM)1SC/2SC,categorical_encoded,True
substrate_type_(HM)MSC,categorical_encoded,True
substrate_type_(HM+Aww)1SC,categorical_encoded,True
substrate_type_1S,categorical_encoded,True
substrate_type_1S/HM/Aww,categorical_encoded,True
substrate_type_1SC/2SC,categorical_encoded,True
substrate_type_1SC/2SC/FW,categorical_encoded,True
substrate_type_1SC/2SC/Fww,categorical_encoded,True
substrate_type_1SC/FW,categorical_encoded,True
substrate_type_2S,categorical_encoded,True
substrate_type_2SC,categorical_encoded,True
substrate_type_FW,categorical_encoded,True
substrate_type_FW+Aww,categorical_encoded,True
substrate_type_FW+Fww+Aww,categorical_encoded,True
substrate_type_FW+HM+Aww,categorical_encoded,True
substrate_type_Fww,categorical_encoded,True
substrate_type_MSC,categorical_encoded,True
substrate_type_MSC+Fww,categorical_encoded,True
substrate_type_MSC+HM,categorical_encoded,True
substrate_type_MSC/Fww,categorical_encoded,True
substrate_type_MSC/HM,categorical_encoded,True
ARC__Phylum__Halobacterota,microbial,True
ARC__Phylum__Euryarchaeota,microbial,True
ARC__Phylum__unidentified,microbial,True
ARC__Phylum__Thermoplasmatota,microbial,True
ARC__Phylum__Crenarchaeota,microbial,True
ARC__Phylum__Nanoarchaeota,microbial,True
ARC__Phylum__Micrarchaeota,microbial,True
ARC__Phylum__Asgardarchaeota,microbial,True
ARC__Phylum__Mollusca,microbial,True
ARC__Phylum__Vertebrata,microbial,True
ARC__Genus__Methanosaeta,microbial,True
ARC__Genus__Methanoculleus,microbial,True
ARC__Genus__Methanospirillum,microbial,True
ARC__Genus__Methanolinea,microbial,True
ARC__Genus__Candidatus_Methanofastidiosum,microbial,True
ARC__Genus__unidentified,microbial,True
ARC__Genus__Methanosarcina,microbial,True
ARC__Genus__Methanomassiliicoccus,microbial,True
ARC__Genus__Candidatus_Methanoplasma,microbial,True
ARC__Genus__Methanosphaerula,microbial,True
ARC__Genus__Methanoregula,microbial,True
ARC__Genus__Methanomethylovorans,microbial,True
ARC__Genus__Methanimicrococcus,microbial,True
ARC__Genus__RumEn_M2,microbial,True
ARC__Genus__Woesearchaeales,microbial,True
ARC__Genus__Bathyarchaeia,microbial,True
BAC__Phylum__Firmicutes,microbial,True
BAC__Phylum__Bacteroidota,microbial,True
BAC__Phylum__Cloacimonadota,microbial,True
BAC__Phylum__Proteobacteria,microbial,True
BAC__Phylum__Desulfobacterota,microbial,True
BAC__Phylum__Chloroflexi,microbial,True
BAC__Phylum__Spirochaetota,microbial,True
BAC__Phylum__Thermotogota,microbial,True
BAC__Phylum__Synergistota,microbial,True
BAC__Phylum__Actinobacteriota,microbial,True
BAC__Genus__unidentified,microbial,True
BAC__Genus__Fastidiosipila,microbial,True
BAC__Genus__Candidatus_Cloacimonas,microbial,True
BAC__Genus__ST-12K33,microbial,True
BAC__Genus__Sedimentibacter,microbial,True
BAC__Genus__Bacteroidetes_vadinHA17,microbial,True
BAC__Genus__DTU014,microbial,True
BAC__Genus__SBR1031,microbial,True
BAC__Genus__Smithella,microbial,True
BAC__Genus__W5,microbial,True
BAC__Genus__Mesotoga,microbial,True
BAC__Genus__Proteiniphilum,microbial,True
BAC__Genus__W27,microbial,True
BAC__Genus__Syntrophomonas,microbial,True
BAC__Genus__Thermovirga,microbial,True
BAC__Genus__Lentimicrobium,microbial,True
