feature,mean_RMSE_increase,std_RMSE_increase,selected,relative_positive_importance_percent
substrate_avg_TVFAs,0.001246544967002108,0.0003342094370777869,True,26.83475389491599
substrate_avg_HPro,0.0004601964982516633,0.00027407523842300875,True,9.906790449433212
ARC__Phylum__Crenarchaeota,0.0004499924707573377,0.0002704488857174588,True,9.687125235746043
substrate_avg_HAc,0.00030781382138646794,0.00019107998237705007,True,6.62640206411866
ARC__Genus__Methanosaeta,0.0002698227011451222,6.432877790179417e-05,True,5.80855562547755
BAC__Genus__Lentimicrobium,0.00024677839105859573,0.0003281944629270252,True,5.312473730143066
BAC__Genus__DTU014,0.0001990346621283244,0.00031463755969933125,True,4.284679908191639
BAC__Genus__Syntrophomonas,0.00013614399709858393,5.274505020259362e-05,True,2.930813370653542
BAC__Genus__W5,0.00013348531643554937,0.00016717019567231837,True,2.8735791407089244
BAC__Genus__ST-12K33,0.00012322486795363768,0.00012156905867831088,True,2.652699335204805
ARC__Phylum__Euryarchaeota,0.0001008493803461461,5.8279103880369444e-05,True,2.171015385471475
ARC__Genus__Candidatus_Methanofastidiosum,0.00010079692020264602,5.825887561134659e-05,True,2.1698860599538383
substrate_avg_pH,8.637017135819334e-05,8.293316923791876e-05,True,1.8593170351751305
ARC__Phylum__Halobacterota,7.464141327763093e-05,4.7708539358213675e-05,True,1.606828480877861
BAC__Phylum__Proteobacteria,6.091341808424494e-05,5.211045960223618e-05,True,1.3113017391743027
BAC__Genus__Fastidiosipila,5.5621209309044314e-05,7.003930726112697e-05,True,1.1973747459230568
BAC__Phylum__Firmicutes,4.90101073295957e-05,7.454787369620798e-05,True,1.0550555361962284
ARC__Genus__Methanomethylovorans,4.643224543506459e-05,4.050850830561253e-05,True,0.9995611165434899
BAC__Phylum__Bacteroidota,4.408586910323633e-05,3.0994814458013695e-05,True,0.9490499572381867
ARC__Genus__Methanospirillum,4.219220343936597e-05,3.0243267618655848e-05,True,0.9082844386292398
BAC__Phylum__Spirochaetota,3.547596109169289e-05,2.5877295172976484e-05,True,0.7637018401114639
ARC__Phylum__Asgardarchaeota,3.3667945445038185e-05,2.1880198976722737e-05,True,0.7247801355597063
substrate_avg_COD,2.6225458211934227e-05,8.696061104696735e-06,True,0.5645634417755172
ARC__Genus__Bathyarchaeia,2.616291141989413e-05,3.2829691828381015e-05,True,0.563216977896762
substrate_avg_TC,2.5567082805445322e-05,6.03075975069672e-05,True,0.5503903934930438
ARC__Genus__RumEn_M2,2.3821025308386894e-05,2.565780138123288e-05,True,0.5128024809345259
eff_protein,2.2421311706670675e-05,3.752877312244208e-05,True,0.48267041909984215
ARC__Genus__Candidatus_Methanoplasma,2.061558143956708e-05,2.338198960403503e-05,True,0.443797912611078
BAC__Phylum__Actinobacteriota,1.9776693080768523e-05,1.4717706390411447e-05,True,0.4257389069196842
BAC__Phylum__Chloroflexi,1.913635813493945e-05,9.545192601150495e-06,True,0.41195422113898383
substrate_type,1.8664938473428546e-05,1.6309123182043365e-05,True,0.4018058262292571
ARC__Genus__Methanolinea,1.7926622950683914e-05,2.272386137756998e-05,True,0.3859118826699671
substrate_avg_sCOD,1.666704857498369e-05,7.495432434311295e-06,True,0.35879664071800893
ARC__Genus__Methanoregula,1.618679489165109e-05,1.094577411356841e-05,True,0.34845807312477467
BAC__Phylum__Synergistota,1.434515228781579e-05,1.818344747298755e-05,True,0.3088124708043338
BAC__Phylum__Thermotogota,1.4106819765395453e-05,2.109821941173099e-05,True,0.30368181386567134
ARC__Genus__Methanosarcina,1.014146942606801e-05,3.128395150607652e-05,True,0.21831850706183928
BAC__Genus__unidentified,9.202805601307939e-06,3.213399882696414e-05,True,0.19811160446764314
BAC__Genus__SBR1031,8.465387588422097e-06,6.685042652586175e-06,True,0.18223698187696363
eff_sCOD,7.361594695067901e-06,3.34399862627126e-05,True,0.15847529543307054
ARC__Phylum__Nanoarchaeota,6.553831599894848e-06,3.842655467489621e-06,True,0.14108633278979368
ARC__Phylum__unidentified,5.88497016413674e-06,1.9840787213602217e-05,True,0.1266875485553709
BAC__Genus__Mesotoga,5.076344423350874e-06,4.275298363490018e-06,True,0.10928001547674579
BAC__Genus__Thermovirga,3.97742232476489e-06,1.3673522981918772e-05,True,0.08562318411817867
ARC__Genus__unidentified,2.3112310717068873e-06,8.091636306762181e-06,True,0.049754576565894854
eff_VS,1.2086447882797096e-06,9.542706867204819e-06,True,0.02601886518210458
ARC__Genus__Woesearchaeales,3.612343341304521e-07,4.561982240840547e-07,True,0.007776401743530637
ARC__Phylum__Mollusca,0.0,0.0,True,0.0
ARC__Genus__Methanimicrococcus,0.0,0.0,True,0.0
ARC__Phylum__Vertebrata,0.0,0.0,True,0.0
BAC__Phylum__Cloacimonadota,-8.400642842372926e-08,8.536754659551676e-05,True,0.0
ARC__Genus__Methanoculleus,-7.446281949638478e-07,7.136970659628738e-06,True,0.0
ARC__Phylum__Thermoplasmatota,-1.4297409656943704e-06,2.1565318765412864e-05,True,0.0
eff_H2S,-1.634855902568159e-06,1.600888879798413e-05,True,0.0
BAC__Genus__Proteiniphilum,-4.347577836996685e-06,8.017180960142863e-06,True,0.0
Q_total_Tpy,-5.221512369003404e-06,1.6545237421863597e-05,True,0.0
BAC__Genus__Bacteroidetes_vadinHA17,-6.821998334211275e-06,4.3779448020250295e-05,True,0.0
eff_Lipid,-9.534712577056552e-06,1.0254568430643826e-05,True,0.0
substrate_avg_Protein,-1.1850406955709464e-05,5.75324799557107e-05,True,0.0
substrate_avg_Lipid,-1.4109656146053806e-05,3.60088812256029e-05,True,0.0
eff_COD,-1.550626983049669e-05,3.171733057415371e-05,True,0.0
ARC__Genus__Methanomassiliicoccus,-1.7749822717048427e-05,4.1753456668205e-05,True,0.0
T_C,-2.2927771851907752e-05,6.066461104596052e-05,True,0.0
eff_CH4,-3.933791214131959e-05,6.346839937952584e-05,True,0.0
ARC__Genus__Methanosphaerula,-4.196958202929632e-05,0.00022120387907599773,True,0.0
substrate_avg_VS,-4.48475805621136e-05,4.9605612205645394e-05,True,0.0
BAC__Genus__Candidatus_Cloacimonas,-4.6530220550480375e-05,9.276028413413129e-05,True,0.0
BAC__Genus__W27,-5.210099299698331e-05,1.2942543584475467e-05,True,0.0
eff_pH,-5.9707012148895594e-05,7.102611203643866e-05,True,0.0
substrate_avg_ALK,-6.071464680441318e-05,8.714565520211203e-05,True,0.0
eff_TC,-6.336009831693519e-05,6.283570492866765e-05,True,0.0
ARC__Phylum__Micrarchaeota,-7.774465362078616e-05,6.340581891573521e-05,True,0.0
BAC__Phylum__Desulfobacterota,-8.367353950689295e-05,0.00012479645935198715,True,0.0
BAC__Genus__Sedimentibacter,-0.00010452128977191157,0.00013447163603897585,True,0.0
BAC__Genus__Smithella,-0.00015338151931689517,0.00016226787515696665,True,0.0
HRT_d,-0.00028946003244137826,0.00017220778674719516,True,0.0
