Taxon,mean_relative_abundance_percent,domain,rank,selected
Halobacterota,76.69673188405798,ARC,Phylum,True
Euryarchaeota,12.31208695652174,ARC,Phylum,True
unidentified,5.563275362318841,ARC,Phylum,True
Thermoplasmatota,4.118702898550725,ARC,Phylum,True
Crenarchaeota,0.6316739130434786,ARC,Phylum,True
Nanoarchaeota,0.5608913043478264,ARC,Phylum,True
Micrarchaeota,0.08672463768115941,ARC,Phylum,True
Asgardarchaeota,0.00967391304347826,ARC,Phylum,True
Mollusca,0.009282608695652174,ARC,Phylum,True
Vertebrata,0.00577536231884058,ARC,Phylum,True
Aenigmarchaeota,0.0026376811594202897,ARC,Phylum,False
Cryptomycota,0.0012391304347826087,ARC,Phylum,False
Holozoa,0.0010869565217391304,ARC,Phylum,False
Iainarchaeota,7.246376811594203e-05,ARC,Phylum,False
Hadarchaeota,4.347826086956522e-05,ARC,Phylum,False
Methanosaeta,26.241094202898562,ARC,Genus,True
Methanoculleus,15.548057971014494,ARC,Genus,True
Methanospirillum,15.023833333333334,ARC,Genus,True
Methanolinea,14.146152173913038,ARC,Genus,True
Candidatus_Methanofastidiosum,12.3111231884058,ARC,Genus,True
unidentified,6.874956521739131,ARC,Genus,True
Methanosarcina,3.2150507246376816,ARC,Genus,True
Methanomassiliicoccus,1.8388478260869565,ARC,Genus,True
Candidatus_Methanoplasma,1.2499855072463768,ARC,Genus,True
Methanosphaerula,0.4842898550724638,ARC,Genus,True
Methanoregula,0.4182463768115942,ARC,Genus,True
Methanomethylovorans,0.35576811594202906,ARC,Genus,True
Methanimicrococcus,0.35223913043478255,ARC,Genus,True
RumEn_M2,0.34363043478260863,ARC,Genus,True
Woesearchaeales,0.289963768115942,ARC,Genus,True
Bathyarchaeia,0.2834710144927536,ARC,Genus,True
SCGC_AAA011-D5,0.27092753623188404,ARC,Genus,False
Candidatus_Methanomethylicus,0.23449275362318844,ARC,Genus,False
Methanocorpusculum,0.1310217391304348,ARC,Genus,False
Candidatus_Nitrocosmicus,0.09130434782608696,ARC,Genus,False
Micrarchaeales,0.08672463768115941,ARC,Genus,False
Candidatus_Methanogranum,0.06948550724637681,ARC,Genus,False
Methanofollis,0.06867391304347827,ARC,Genus,False
Nitrososphaeraceae,0.02061594202898551,ARC,Genus,False
Methanogenium,0.010398550724637681,ARC,Genus,False
Veneroida,0.009282608695652174,ARC,Genus,False
Candidatus_Methanomethylophilus,0.008550724637681159,ARC,Genus,False
Lokiarchaeia,0.006202898550724638,ARC,Genus,False
Teleostei,0.00577536231884058,ARC,Genus,False
Aenigmarchaeales,0.0026376811594202897,ARC,Genus,False
Odinarchaeia,0.0019057971014492755,ARC,Genus,False
Methanohalophilus,0.0012681159420289854,ARC,Genus,False
LKM11,0.0012391304347826087,ARC,Genus,False
