scope,target,metric,Model,value
CV_OOF,warning_acid_base_balance,AUPR,NNET,0.4961926550032357
CV_OOF,warning_acid_base_balance,MCC,NNET,0.345060029733401
CV_OOF,warning_buffer_capacity,AUPR,SVM,0.3755786351261146
CV_OOF,warning_buffer_capacity,MCC,SVM,0.4857790736654008
CV_OOF,warning_acid_accumulation,AUPR,XGBoost,0.040259009009009
CV_OOF,warning_acid_accumulation,MCC,RandomForest,0.0
CV_OOF,warning_acid_accumulation,MCC,SVM,0.0
CV_OOF,warning_ammonia_toxicity,AUPR,RandomForest,0.6388618362790868
CV_OOF,warning_ammonia_toxicity,MCC,XGBoost,0.6283086314772851
CV_OOF,warning_biogas_quality,AUPR,GLMNET,0.4289317889317889
CV_OOF,warning_biogas_quality,MCC,NNET,0.2528850622335267
test_descriptive,warning_acid_base_balance,AUPR,KNN,0.617816091954023
test_descriptive,warning_acid_base_balance,MCC,KNN,0.5166666666666667
test_descriptive,warning_buffer_capacity,AUPR,NNET,0.3333333333333333
test_descriptive,warning_buffer_capacity,MCC,NNET,0.0
test_descriptive,warning_buffer_capacity,MCC,RandomForest,0.0
test_descriptive,warning_buffer_capacity,MCC,XGBoost,0.0
test_descriptive,warning_buffer_capacity,MCC,GLMNET,0.0
test_descriptive,warning_acid_accumulation,AUPR,NNET,1.0
test_descriptive,warning_acid_accumulation,AUPR,KNN,1.0
test_descriptive,warning_acid_accumulation,MCC,KNN,0.6943650748294136
test_descriptive,warning_ammonia_toxicity,AUPR,RandomForest,1.0
test_descriptive,warning_ammonia_toxicity,AUPR,XGBoost,1.0
test_descriptive,warning_ammonia_toxicity,MCC,XGBoost,1.0
test_descriptive,warning_biogas_quality,AUPR,RandomForest,0.45
test_descriptive,warning_biogas_quality,MCC,XGBoost,0.4629629629629629
