target,feature,category,fold,importance,permutation_sd,selected_in_fold,fold_rank,positive_top10,positive_top20
warning_acid_base_balance,Season,Metadata: operation/context,1,0.01458333333333332,0.020390020205399685,True,12.0,False,True
warning_buffer_capacity,Season,Metadata: operation/context,1,0.0034860972360972417,0.003552619302213974,True,8.0,True,True
warning_acid_accumulation,Season,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Season,Metadata: operation/context,1,-0.00694444444444447,0.029720104313239955,True,271.0,False,False
warning_biogas_quality,Season,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_type,Metadata: substrate,1,9.881422924901129e-05,0.0004419106674900745,True,49.5,False,False
warning_buffer_capacity,substrate_type,Metadata: substrate,1,0.0017024642024642046,0.003319605482501111,True,13.0,False,True
warning_acid_accumulation,substrate_type,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_type,Metadata: substrate,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,substrate_type,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,HRT_d,Metadata: operation/context,1,0.04054677206851117,0.009651001347201073,True,7.0,True,True
warning_buffer_capacity,HRT_d,Metadata: operation/context,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,HRT_d,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,HRT_d,Metadata: operation/context,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,HRT_d,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,T_C,Metadata: operation/context,1,0.00019762845849802257,0.0006082875605247914,True,44.0,False,False
warning_buffer_capacity,T_C,Metadata: operation/context,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,T_C,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,T_C,Metadata: operation/context,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,T_C,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,162.5,False,False
warning_buffer_capacity,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,Q_total_Tpy,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_pH,Metadata: substrate,1,0.02767621870882738,0.02043240271951856,True,9.0,True,True
warning_buffer_capacity,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,substrate_avg_pH,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,162.5,False,False
warning_buffer_capacity,substrate_avg_ALK,Metadata: substrate,1,3.78787878787902e-05,0.002850263705307403,True,23.0,False,False
warning_acid_accumulation,substrate_avg_ALK,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_VS,Metadata: substrate,1,0.01501976284584979,0.019649084312823837,True,11.0,False,True
warning_buffer_capacity,substrate_avg_VS,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,substrate_avg_VS,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_VS,Metadata: substrate,1,0.12167529330572809,0.05342530465798271,True,2.0,True,True
warning_biogas_quality,substrate_avg_VS,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_COD,Metadata: substrate,1,0.0,0.0,True,162.5,False,False
warning_buffer_capacity,substrate_avg_COD,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,substrate_avg_COD,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_COD,Metadata: substrate,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,substrate_avg_COD,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_sCOD,Metadata: substrate,1,0.00029644268774703386,0.0007240070129101208,True,40.0,False,False
warning_buffer_capacity,substrate_avg_sCOD,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,substrate_avg_sCOD,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_sCOD,Metadata: substrate,1,-0.0022817460317460458,0.019718448174725352,True,268.0,False,False
warning_biogas_quality,substrate_avg_sCOD,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_TC,Metadata: substrate,1,9.881422924901129e-05,0.0004419106674900745,True,49.5,False,False
warning_buffer_capacity,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,substrate_avg_TC,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,139.0,False,False
warning_biogas_quality,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_Protein,Metadata: substrate,1,0.0004940711462450564,0.0008779874670342227,True,33.0,False,False
warning_buffer_capacity,substrate_avg_Protein,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
warning_acid_accumulation,substrate_avg_Protein,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_Protein,Metadata: substrate,1,0.008234126984126972,0.01647856769566797,True,5.0,True,True
warning_biogas_quality,substrate_avg_Protein,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_Lipid,Metadata: substrate,1,0.0010869565217391242,0.001008730801450667,True,26.0,False,False
warning_buffer_capacity,substrate_avg_Lipid,Metadata: substrate,1,0.0009430846930846982,0.0036580244460117217,True,14.0,False,True
warning_acid_accumulation,substrate_avg_Lipid,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_Lipid,Metadata: substrate,1,0.0018849206349206226,0.007324881796398593,True,6.0,True,True
warning_biogas_quality,substrate_avg_Lipid,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_TVFAs,Metadata: substrate,1,0.0,0.0,True,162.5,False,False
warning_buffer_capacity,substrate_avg_TVFAs,Metadata: substrate,1,0.0,0.0,True,140.5,False,False
