model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
GLMNET,warning_buffer_capacity,1.0,BAC_G::Pseudomonas,Bacteria,0.02302707174146803,0.04786287322760892,5,5,2,2,2,81.7,0.009704072949268725,0.4,0.4
GLMNET,warning_buffer_capacity,2.0,BAC_G::Sedimentibacter,Bacteria,0.010376058195330645,0.016815429974049466,5,5,3,3,3,105.8,0.009589266089894547,0.6,0.6
GLMNET,warning_buffer_capacity,3.0,BAC_P::Spirochaetota,Bacteria,0.008380796773110682,0.014796167974993958,5,5,3,3,3,106.9,0.027990558292719302,0.6,0.6
GLMNET,warning_buffer_capacity,4.0,ARC_G::Methanosaeta,Archaea,0.007255381980420682,0.01344251209481334,5,5,3,3,3,78.0,0.006048382033098987,0.6,0.6
GLMNET,warning_buffer_capacity,5.0,BAC_P::Verrucomicrobiota,Bacteria,0.0066613084627790515,0.011842190828112794,5,5,3,2,3,84.3,0.00833265768400622,0.4,0.6
GLMNET,warning_buffer_capacity,6.0,BAC_P::Proteobacteria,Bacteria,0.006408008099571569,0.016127099817348257,5,5,2,2,2,108.7,0.005075312853554399,0.4,0.4
GLMNET,warning_buffer_capacity,7.0,Season,Metadata: operation/context,0.0063800115433242394,0.013237186190173283,5,5,3,2,3,105.8,0.004878109461179202,0.4,0.6
GLMNET,warning_buffer_capacity,8.0,ARC_P::Thermoplasmatota,Archaea,0.0059204014939309105,0.012841570397552455,5,5,3,2,2,64.2,0.002487581648357854,0.4,0.6
GLMNET,warning_buffer_capacity,9.0,ARC_G::Methanomassiliicoccus,Archaea,0.0051716786395579,0.011238858832617256,5,5,4,2,3,39.0,0.005412492162130375,0.4,0.8
GLMNET,warning_buffer_capacity,10.0,BAC_G::SC103,Bacteria,0.003396273660979545,0.007295564150250909,5,5,2,1,2,83.5,0.003021637846529754,0.2,0.4
GLMNET,warning_buffer_capacity,11.0,BAC_G::Dechloromonas,Bacteria,0.003339297570334724,0.005915590672677498,5,5,3,3,3,80.9,0.0046280544002823085,0.6,0.6
GLMNET,warning_buffer_capacity,12.0,BAC_G::LD1-PA32,Bacteria,0.0028739177489177526,0.007719891345340118,5,5,1,1,1,136.7,0.0027954097076174113,0.2,0.2
GLMNET,warning_buffer_capacity,13.0,BAC_G::Bacteroidetes_vadinHA17,Bacteria,0.0021238859180035645,0.009938740089017926,5,5,1,1,1,139.9,0.0067678635902066395,0.2,0.2
GLMNET,warning_buffer_capacity,14.0,BAC_G::D8A-2,Bacteria,0.0020562770562770555,0.003608946320461702,5,5,2,2,2,81.8,0.003553171782113086,0.4,0.4
GLMNET,warning_buffer_capacity,15.0,substrate_avg_Lipid,Metadata: substrate,0.0020432535300956354,0.0035476310954417065,5,5,3,2,3,57.8,0.004503952604133217,0.4,0.6
GLMNET,warning_buffer_capacity,16.0,BAC_G::Fastidiosipila,Bacteria,0.0018725441225441223,0.0038625449042014918,5,5,3,2,3,83.2,0.005063840328717871,0.4,0.6
GLMNET,warning_buffer_capacity,17.0,BAC_P::unidentified,Bacteria,0.0018135194269095199,0.003910047978732371,5,5,2,1,2,105.7,0.0058613504813892475,0.2,0.4
GLMNET,warning_buffer_capacity,18.0,BAC_G::Tissierella,Bacteria,0.0012462121212121213,0.003075724921456754,5,5,2,1,2,111.7,0.004831563309775307,0.2,0.4
GLMNET,warning_buffer_capacity,19.0,BAC_G::Syner-01,Bacteria,0.0012337193250505966,0.0031085757669305544,5,5,1,0,1,134.5,0.003927146939860096,0.0,0.2
GLMNET,warning_buffer_capacity,20.0,ARC_P::unidentified,Archaea,0.001090463458110519,0.00269963359978273,5,5,1,0,1,133.6,0.0018357038409948484,0.0,0.2
