target,feature,category,fold,importance,permutation_sd,selected_in_fold,fold_rank,positive_top10,positive_top20
warning_acid_base_balance,Season,Metadata: operation/context,1,-0.05654761904761903,0.12921639260894338,True,240.0,False,False
warning_buffer_capacity,Season,Metadata: operation/context,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,Season,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Season,Metadata: operation/context,1,0.0061309523809523645,0.017985233994660767,True,26.0,False,False
warning_biogas_quality,Season,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_type,Metadata: substrate,1,0.0,0.0,True,116.0,False,False
warning_buffer_capacity,substrate_type,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_type,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_type,Metadata: substrate,1,-0.0008928571428571397,0.003992978531249611,True,234.0,False,False
warning_biogas_quality,substrate_type,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,HRT_d,Metadata: operation/context,1,-0.024345238095238083,0.023355556268111272,True,232.0,False,False
warning_buffer_capacity,HRT_d,Metadata: operation/context,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,HRT_d,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,HRT_d,Metadata: operation/context,1,-0.012499999999999956,0.008395756178243315,True,250.0,False,False
warning_biogas_quality,HRT_d,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,T_C,Metadata: operation/context,1,0.0,0.0,True,116.0,False,False
warning_buffer_capacity,T_C,Metadata: operation/context,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,T_C,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,T_C,Metadata: operation/context,1,-0.0050000000000000044,0.01025978352085155,True,245.5,False,False
warning_biogas_quality,T_C,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,Q_total_Tpy,Metadata: operation/context,1,-0.2333333333333333,0.1567207819938757,True,263.0,False,False
warning_buffer_capacity,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,Q_total_Tpy,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Q_total_Tpy,Metadata: operation/context,1,-0.026250000000000006,0.026562983741725214,True,265.0,False,False
warning_biogas_quality,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_pH,Metadata: substrate,1,-0.026547619047619035,0.03340732032353728,True,234.0,False,False
warning_buffer_capacity,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_pH,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_pH,Metadata: substrate,1,0.04931547619047619,0.06627426444975912,True,9.0,True,True
warning_biogas_quality,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_ALK,Metadata: substrate,1,-0.033333333333333326,0.1025978352085154,True,236.0,False,False
warning_buffer_capacity,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_ALK,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_ALK,Metadata: substrate,1,-0.04720238095238093,0.048156854931882986,True,274.0,False,False
warning_biogas_quality,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_VS,Metadata: substrate,1,0.027083333333333348,0.020390020205399716,True,4.0,True,True
warning_buffer_capacity,substrate_avg_VS,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_VS,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_VS,Metadata: substrate,1,0.18375000000000002,0.06349212549600149,True,1.0,True,True
warning_biogas_quality,substrate_avg_VS,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_COD,Metadata: substrate,1,-0.07499999999999998,0.1349138776626219,True,249.0,False,False
warning_buffer_capacity,substrate_avg_COD,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_COD,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_COD,Metadata: substrate,1,0.10625,0.0457934435665654,True,4.0,True,True
warning_biogas_quality,substrate_avg_COD,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_sCOD,Metadata: substrate,1,-0.06607142857142856,0.13666482188549964,True,245.0,False,False
warning_buffer_capacity,substrate_avg_sCOD,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_sCOD,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_sCOD,Metadata: substrate,1,0.13380952380952382,0.08418947963211094,True,2.0,True,True
warning_biogas_quality,substrate_avg_sCOD,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,116.0,False,False
warning_buffer_capacity,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_TC,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_TC,Metadata: substrate,1,-0.02375000000000002,0.0055901699437494795,True,260.5,False,False
warning_biogas_quality,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_Protein,Metadata: substrate,1,0.0,0.0,True,116.0,False,False
warning_buffer_capacity,substrate_avg_Protein,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_Protein,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_Protein,Metadata: substrate,1,-0.0062500000000000056,0.011106541457982991,True,248.0,False,False
warning_biogas_quality,substrate_avg_Protein,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_Lipid,Metadata: substrate,1,-0.02494047619047618,0.04752728470576207,True,233.0,False,False
warning_buffer_capacity,substrate_avg_Lipid,Metadata: substrate,1,0.0,0.0,True,138.5,False,False
warning_acid_accumulation,substrate_avg_Lipid,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_Lipid,Metadata: substrate,1,-0.003214285714285703,0.03348092103033818,True,238.0,False,False
warning_biogas_quality,substrate_avg_Lipid,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_TVFAs,Metadata: substrate,1,-0.28244047619047613,0.12179589326779203,True,266.0,False,False
