model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
NNET,warning_acid_base_balance,1.0,BAC_G::Lactobacillus,Bacteria,0.1206203928939997,0.2697153979837159,5,5,1,1,1,90.5,0.012025200724940425,0.2,0.2
NNET,warning_acid_base_balance,2.0,ARC_G::Methanimicrococcus,Archaea,0.06422108447108446,0.14547326116057235,5,5,1,1,1,121.6,0.014349969922991552,0.2,0.2
NNET,warning_acid_base_balance,3.0,BAC_G::Alkaliphilus,Bacteria,0.025854700854700857,0.038984541156555794,5,5,2,2,2,92.0,0.013970301552005132,0.4,0.4
NNET,warning_acid_base_balance,4.0,BAC_G::Guggenheimella,Bacteria,0.01757237478704871,0.04578890153707648,5,5,2,2,2,112.9,0.014765762548756079,0.4,0.4
NNET,warning_acid_base_balance,5.0,BAC_G::Gelria,Bacteria,0.0126926406926407,0.019943034294671202,5,5,2,2,2,88.7,0.005961895140149297,0.4,0.4
NNET,warning_acid_base_balance,6.0,BAC_G::WCHB1-41,Bacteria,0.012636724386724387,0.025915057722137754,5,5,2,2,2,96.3,0.008864281457187002,0.4,0.4
NNET,warning_acid_base_balance,7.0,BAC_G::Bacteroides,Bacteria,0.008854978354978353,0.01980033354102086,5,5,1,1,1,89.0,0.0015346031925423907,0.2,0.2
NNET,warning_acid_base_balance,8.0,BAC_G::Sphaerochaeta,Bacteria,0.008684941107709985,0.019142908196762988,5,5,2,1,2,101.6,0.003877308760535161,0.2,0.4
NNET,warning_acid_base_balance,9.0,substrate_avg_pH,Metadata: substrate,0.006395781119465327,0.015069966033162028,5,5,1,1,1,122.5,0.0036239535826930605,0.2,0.2
NNET,warning_acid_base_balance,10.0,HRT_d,Metadata: operation/context,0.005633928571428579,0.02287775859882771,5,5,2,2,2,106.4,0.007167983453215815,0.4,0.4
NNET,warning_acid_base_balance,11.0,BAC_G::Caldicoprobacter,Bacteria,0.0053387540821751385,0.011907734243990071,5,5,2,1,2,134.3,0.011206043975272962,0.2,0.4
NNET,warning_acid_base_balance,12.0,BAC_G::Syntrophaceticus,Bacteria,0.004413690476190481,0.01994640436932779,5,5,1,1,1,125.4,0.005664220901027736,0.2,0.2
NNET,warning_acid_base_balance,13.0,BAC_P::Acidobacteriota,Bacteria,0.003139138639138647,0.010855931476165799,5,5,1,1,1,127.9,0.005603140243475325,0.2,0.2
NNET,warning_acid_base_balance,14.0,BAC_G::LD1-PB3,Bacteria,0.0025,0.005590169943749475,5,5,1,0,1,90.8,0.006105792475542054,0.0,0.2
NNET,warning_acid_base_balance,15.0,BAC_P::Dependentiae,Bacteria,0.0016096681096681108,0.003666239377617776,5,5,1,1,1,123.0,0.004763235382260669,0.2,0.2
NNET,warning_acid_base_balance,16.0,BAC_G::MBA03,Bacteria,0.0014831349206349217,0.022161046947358685,5,5,1,1,1,168.6,0.00690938776976526,0.2,0.2
NNET,warning_acid_base_balance,17.0,BAC_G::Candidatus_Cloacimonas,Bacteria,0.0014010642135642184,0.009486462678171308,5,5,1,1,1,154.9,0.006685433406106322,0.2,0.2
NNET,warning_acid_base_balance,18.0,BAC_G::Paludibacter,Bacteria,0.0011160714285714287,0.0028845642819910894,5,5,1,0,1,110.8,0.003651843017458468,0.0,0.2
NNET,warning_acid_base_balance,19.0,BAC_G::Streptococcus,Bacteria,0.0009213659147869686,0.002130980038309865,5,5,1,1,1,116.4,0.004765367799233765,0.2,0.2
NNET,warning_acid_base_balance,20.0,BAC_G::Thermomonas,Bacteria,0.0008560606060606091,0.0019142097080111905,5,5,1,1,1,98.8,0.004599350212379103,0.2,0.2
