model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
NNET,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.17367675725260864,0.3008169676553246,3,5,1,1,1,89.33333333333333,0.06111311149851461,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,2.0,BAC_G::Bacteroides,Bacteria,0.03922514619883041,0.06318977800121274,3,5,2,1,1,70.33333333333333,0.008839820927976137,0.3333333333333333,0.6666666666666666
NNET,warning_biogas_quality,3.0,ARC_G::Methanomethylovorans,Archaea,0.03749338624338626,0.06375849460166728,3,5,2,2,2,47.0,0.007245703243012681,0.6666666666666666,0.6666666666666666
NNET,warning_biogas_quality,4.0,BAC_G::Petrimonas,Bacteria,0.037037037037037056,0.06415002990995845,3,5,1,1,1,90.33333333333333,0.0,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,4.0,BAC_G::Sphaerochaeta,Bacteria,0.037037037037037056,0.06415002990995845,3,5,1,1,1,90.33333333333333,0.0,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,4.0,BAC_P::unidentified,Bacteria,0.037037037037037056,0.06415002990995845,3,5,1,1,1,90.33333333333333,0.0,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,7.0,ARC_G::Methanospirillum,Archaea,0.03632275132275134,0.06477748087922638,3,5,1,1,1,129.83333333333334,0.006913614582478481,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,8.0,BAC_P::Thermotogota,Bacteria,0.0351851851851852,0.06094252841446052,3,5,1,1,1,91.33333333333333,0.008281733249999224,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,9.0,ARC_G::SCGC_AAA011-D5,Archaea,0.03333333333333335,0.0577350269189626,3,5,1,1,1,92.0,0.011399759467612828,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,9.0,BAC_G::Fermentimonas,Bacteria,0.03333333333333335,0.0577350269189626,3,5,1,1,1,92.0,0.011399759467612831,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,11.0,ARC_P::Nanoarchaeota,Archaea,0.03148148148148149,0.05452752542346468,3,5,1,0,1,93.16666666666667,0.013568427723426792,0.0,0.3333333333333333
NNET,warning_biogas_quality,11.0,BAC_G::Sedimentibacter,Bacteria,0.03148148148148149,0.05452752542346468,3,5,1,0,1,93.16666666666667,0.013568427723426793,0.0,0.3333333333333333
NNET,warning_biogas_quality,11.0,BAC_P::Actinobacteriota,Bacteria,0.03148148148148149,0.05452752542346468,3,5,1,0,1,93.16666666666667,0.013568427723426793,0.0,0.3333333333333333
NNET,warning_biogas_quality,14.0,substrate_avg_HPro,Metadata: substrate,0.03064814814814816,0.05526335192370821,3,5,1,0,1,134.16666666666666,0.017295207685926444,0.0,0.3333333333333333
NNET,warning_biogas_quality,15.0,substrate_avg_sCOD,Metadata: substrate,0.029629629629629645,0.051320023927966765,3,5,1,0,1,94.0,0.015199679290150439,0.0,0.3333333333333333
NNET,warning_biogas_quality,16.0,T_C,Metadata: operation/context,0.029444444444444457,0.06138071841052853,3,5,1,1,1,137.0,0.01683709818905275,0.3333333333333333,0.3333333333333333
NNET,warning_biogas_quality,17.0,BAC_G::Fastidiosipila,Bacteria,0.02777777777777779,0.048112522432468836,3,5,1,0,1,94.5,0.01645413549330813,0.0,0.3333333333333333
NNET,warning_biogas_quality,17.0,BAC_P::Spirochaetota,Bacteria,0.02777777777777779,0.048112522432468836,3,5,1,0,1,94.5,0.01645413549330813,0.0,0.3333333333333333
NNET,warning_biogas_quality,19.0,substrate_avg_Protein,Metadata: substrate,0.024074074074074085,0.04169751944147299,3,5,1,0,1,95.0,0.018124462404799743,0.0,0.3333333333333333
