model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
RandomForest,warning_acid_base_balance,1.0,BAC_P::Spirochaetota,Bacteria,0.05705554453716218,0.03952598128162789,5,5,4,4,4,55.8,0.07128708533775888,0.8,0.8
RandomForest,warning_acid_base_balance,2.0,ARC_P::Nanoarchaeota,Archaea,0.026176722808495267,0.02348412955566312,5,5,4,3,4,32.5,0.03234500838184756,0.6,0.8
RandomForest,warning_acid_base_balance,3.0,BAC_G::Alkaliphilus,Bacteria,0.024428894634776984,0.046187928187069405,5,5,3,2,2,83.4,0.01603659738939969,0.4,0.6
RandomForest,warning_acid_base_balance,4.0,BAC_P::Firmicutes,Bacteria,0.02386027764375289,0.04621917690355219,5,5,4,2,4,60.8,0.031767788864072916,0.4,0.8
RandomForest,warning_acid_base_balance,5.0,HRT_d,Metadata: operation/context,0.022015873015873027,0.03162058734676982,5,5,3,3,3,58.2,0.023765414093452064,0.6,0.6
RandomForest,warning_acid_base_balance,6.0,ARC_P::unidentified,Archaea,0.020740271854048954,0.03760325650723994,5,5,4,4,4,58.4,0.04829469470862703,0.8,0.8
RandomForest,warning_acid_base_balance,7.0,ARC_G::Methanospirillum,Archaea,0.01915960510078158,0.05448670206244328,5,5,1,1,1,166.9,0.015594888193210407,0.2,0.2
RandomForest,warning_acid_base_balance,8.0,BAC_P::Thermotogota,Bacteria,0.0181708035256797,0.03620357298719292,5,5,3,1,2,64.9,0.022597761192188294,0.2,0.6
RandomForest,warning_acid_base_balance,9.0,BAC_G::Proteiniphilum,Bacteria,0.018129153934301,0.020073898581737876,5,5,4,2,4,34.3,0.026844486529248257,0.4,0.8
RandomForest,warning_acid_base_balance,10.0,BAC_G::Fastidiosipila,Bacteria,0.014824327633151163,0.03370407942596872,5,5,2,1,1,116.7,0.014989294668734776,0.2,0.4
RandomForest,warning_acid_base_balance,11.0,BAC_G::Caldicoprobacter,Bacteria,0.014759524788936556,0.027270532852340088,5,5,2,1,2,114.9,0.012603737924843325,0.2,0.4
RandomForest,warning_acid_base_balance,12.0,ARC_G::Methanolinea,Archaea,0.014141760200583733,0.018827551808425404,5,5,3,1,3,86.6,0.0215290307853419,0.2,0.6
RandomForest,warning_acid_base_balance,13.0,ARC_G::Methanoculleus,Archaea,0.013660742851919334,0.035809203250107405,5,5,1,1,1,160.9,0.02022403076815717,0.2,0.2
RandomForest,warning_acid_base_balance,14.0,BAC_G::Sedimentibacter,Bacteria,0.013505213482767685,0.02307644736641059,5,5,3,2,3,86.3,0.03482634771884717,0.4,0.6
RandomForest,warning_acid_base_balance,15.0,ARC_P::Crenarchaeota,Archaea,0.011161706349206357,0.025205847293285413,5,5,1,1,1,137.1,0.017318487201120468,0.2,0.2
RandomForest,warning_acid_base_balance,16.0,Season,Metadata: operation/context,0.010147906058509779,0.019259574492558086,5,5,2,0,1,113.4,0.015188586825233216,0.0,0.4
RandomForest,warning_acid_base_balance,17.0,BAC_G::Guggenheimella,Bacteria,0.009468131541660967,0.014627145632336623,5,5,2,0,2,111.9,0.01387671036866514,0.0,0.4
RandomForest,warning_acid_base_balance,18.0,BAC_G::Candidatus_Cloacimonas,Bacteria,0.009444590797918975,0.016407071925455007,5,5,2,0,2,112.9,0.01633985217439227,0.0,0.4
RandomForest,warning_acid_base_balance,19.0,ARC_G::SCGC_AAA011-D5,Archaea,0.008708520646020658,0.03145723231777512,5,5,2,1,2,131.5,0.040031948450125907,0.2,0.4
RandomForest,warning_acid_base_balance,20.0,BAC_G::Lentimicrobiaceae,Bacteria,0.008207341269841276,0.008109519539999105,5,5,3,0,2,63.0,0.01436289121802754,0.0,0.6
RandomForest,warning_acid_base_balance,21.0,BAC_G::Sphaerochaeta,Bacteria,0.0070634063648769545,0.015978538237470995,5,5,4,2,3,65.2,0.01732555984877387,0.4,0.8
RandomForest,warning_acid_base_balance,22.0,BAC_G::Bacteroidetes_vadinHA17,Bacteria,0.006922352587213276,0.008355923436847181,5,5,3,1,2,90.2,0.01721065149684839,0.2,0.6
RandomForest,warning_acid_base_balance,23.0,ARC_G::Bathyarchaeia,Archaea,0.006453305681246861,0.01402162159131666,5,5,2,0,0,117.3,0.01284968722552233,0.0,0.4
RandomForest,warning_acid_base_balance,24.0,ARC_P::Halobacterota,Archaea,0.005821895424836606,0.008118805699153414,5,5,3,1,2,88.0,0.012556853529879277,0.2,0.6
