model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
RandomForest,warning_biogas_quality,1.0,BAC_P::Actinobacteriota,Bacteria,0.040622968684562895,0.06802732777760813,3,5,2,2,2,42.0,0.017046600440047268,0.6666666666666666,0.6666666666666666
RandomForest,warning_biogas_quality,2.0,BAC_G::Atopobium,Bacteria,0.023204110704110704,0.04019069868397258,3,5,1,1,1,87.16666666666667,0.010526526404497501,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,3.0,ARC_G::Methanospirillum,Archaea,0.022647537647537654,0.03922668587186414,3,5,1,1,1,87.5,0.011345929489513266,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,4.0,BAC_P::Cloacimonadota,Bacteria,0.022149570243582457,0.04409203062652132,3,5,1,1,1,183.66666666666666,0.02012361969738575,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,5.0,BAC_P::Spirochaetota,Bacteria,0.021005892255892264,0.036455152616088914,3,5,1,1,1,128.66666666666666,0.013462461579812629,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,6.0,substrate_avg_Lipid,Metadata: substrate,0.018618927368927382,0.03224892818541695,3,5,1,1,1,88.16666666666667,0.010641929996829306,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,7.0,ARC_P::Crenarchaeota,Archaea,0.01643398268398269,0.028464492979365163,3,5,1,1,1,88.5,0.012588340618269656,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,8.0,substrate_avg_sCOD,Metadata: substrate,0.012208393458393467,0.021145557748729,3,5,1,1,1,88.83333333333333,0.014287843955739898,0.3333333333333333,0.3333333333333333
RandomForest,warning_biogas_quality,9.0,ARC_G::Methanomassiliicoccus,Archaea,0.01197020974194888,0.019020312923560902,3,5,2,2,2,45.333333333333336,0.011430757040328898,0.6666666666666666,0.6666666666666666
RandomForest,warning_biogas_quality,10.0,BAC_P::Proteobacteria,Bacteria,0.010884727189075028,0.020775774129125478,3,5,1,1,1,139.16666666666666,0.0061372811049334045,0.3333333333333333,0.3333333333333333
