target,feature,category,fold,importance,permutation_sd,selected_in_fold,fold_rank,positive_top10,positive_top20
warning_acid_base_balance,Season,Metadata: operation/context,1,0.037499999999999964,0.012824729401064414,True,20.5,False,False
warning_buffer_capacity,Season,Metadata: operation/context,1,-0.017866577866577905,0.013981364399601078,True,271.0,False,False
warning_acid_accumulation,Season,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Season,Metadata: operation/context,1,-0.007142857142857162,0.008975440891964928,True,270.0,False,False
warning_biogas_quality,Season,Metadata: operation/context,1,0.012499999999999997,0.022213082915965958,True,19.5,False,True
warning_acid_base_balance,substrate_type,Metadata: substrate,1,0.03541666666666664,0.015264481188855124,True,24.0,False,False
warning_buffer_capacity,substrate_type,Metadata: substrate,1,-0.0019230769230769162,0.0026887938732395116,True,228.0,False,False
warning_acid_accumulation,substrate_type,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_type,Metadata: substrate,1,0.0,0.0,True,178.5,False,False
warning_biogas_quality,substrate_type,Metadata: substrate,1,0.0,0.0,True,168.0,False,False
warning_acid_base_balance,HRT_d,Metadata: operation/context,1,0.047499999999999966,0.012419330339509923,True,2.0,True,True
warning_buffer_capacity,HRT_d,Metadata: operation/context,1,-0.004249084249084245,0.004021672847886277,True,240.0,False,False
warning_acid_accumulation,HRT_d,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,HRT_d,Metadata: operation/context,1,0.02231060606060603,0.011157013046460617,True,8.0,True,True
warning_biogas_quality,HRT_d,Metadata: operation/context,1,0.0,0.0,True,168.0,False,False
warning_acid_base_balance,T_C,Metadata: operation/context,1,0.012499999999999989,0.019590097749234453,True,49.5,False,False
warning_buffer_capacity,T_C,Metadata: operation/context,1,0.0042261904761904615,0.002509826730753162,True,4.0,True,True
warning_acid_accumulation,T_C,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,T_C,Metadata: operation/context,1,0.007916666666666655,0.009676164924252039,True,33.0,False,False
warning_biogas_quality,T_C,Metadata: operation/context,1,0.0,0.0,True,168.0,False,False
warning_acid_base_balance,Q_total_Tpy,Metadata: operation/context,1,0.004166666666666663,0.012824729401064414,True,74.5,False,False
warning_buffer_capacity,Q_total_Tpy,Metadata: operation/context,1,0.0073074229691876495,0.0039509457170402796,True,2.0,True,True
warning_acid_accumulation,Q_total_Tpy,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Q_total_Tpy,Metadata: operation/context,1,0.001388888888888884,0.004274909800354794,True,70.0,False,False
warning_biogas_quality,Q_total_Tpy,Metadata: operation/context,1,0.007499999999999998,0.018317377426626157,True,33.0,False,False
warning_acid_base_balance,substrate_avg_pH,Metadata: substrate,1,0.04166666666666663,0.0,True,11.5,False,True
warning_buffer_capacity,substrate_avg_pH,Metadata: substrate,1,0.0011034798534798385,0.0069819136880830655,True,14.0,False,True
warning_acid_accumulation,substrate_avg_pH,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_pH,Metadata: substrate,1,0.014999999999999958,0.003419927840283869,True,14.0,False,True
warning_biogas_quality,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,168.0,False,False
warning_acid_base_balance,substrate_avg_ALK,Metadata: substrate,1,0.008333333333333326,0.017099639201419218,True,60.0,False,False
warning_buffer_capacity,substrate_avg_ALK,Metadata: substrate,1,0.0004761904761904745,0.0014656833601216436,True,19.0,False,True
warning_acid_accumulation,substrate_avg_ALK,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,178.5,False,False
warning_biogas_quality,substrate_avg_ALK,Metadata: substrate,1,0.009999999999999998,0.020519567041703077,True,23.5,False,False
warning_acid_base_balance,substrate_avg_VS,Metadata: substrate,1,0.0395833333333333,0.009316949906249115,True,17.5,False,True
warning_buffer_capacity,substrate_avg_VS,Metadata: substrate,1,-0.009106171606171626,0.00924910098839138,True,258.0,False,False
warning_acid_accumulation,substrate_avg_VS,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_VS,Metadata: substrate,1,0.0713750862663906,0.050422329509474575,True,1.0,True,True
warning_biogas_quality,substrate_avg_VS,Metadata: substrate,1,0.0024999999999999996,0.011180339887498947,True,56.5,False,False
warning_acid_base_balance,substrate_avg_COD,Metadata: substrate,1,0.037499999999999964,0.012824729401064416,True,20.5,False,False
warning_buffer_capacity,substrate_avg_COD,Metadata: substrate,1,-0.001785714285714296,0.004361280339672921,True,226.5,False,False
warning_acid_accumulation,substrate_avg_COD,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_COD,Metadata: substrate,1,0.01041666666666663,0.0061703008099905235,True,29.0,False,False
warning_biogas_quality,substrate_avg_COD,Metadata: substrate,1,0.0024999999999999996,0.011180339887498947,True,56.5,False,False
warning_acid_base_balance,substrate_avg_sCOD,Metadata: substrate,1,0.0020833333333333316,0.009316949906249115,True,86.0,False,False
warning_buffer_capacity,substrate_avg_sCOD,Metadata: substrate,1,-0.010901598401598439,0.005608796430539806,True,263.0,False,False
warning_acid_accumulation,substrate_avg_sCOD,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_sCOD,Metadata: substrate,1,0.040967643467643464,0.016957196795449263,True,4.0,True,True
warning_biogas_quality,substrate_avg_sCOD,Metadata: substrate,1,0.009999999999999998,0.020519567041703077,True,23.5,False,False
warning_acid_base_balance,substrate_avg_TC,Metadata: substrate,1,0.04166666666666663,0.0,True,11.5,False,True
warning_buffer_capacity,substrate_avg_TC,Metadata: substrate,1,-0.009020146520146549,0.00327190888162851,True,257.0,False,False
warning_acid_accumulation,substrate_avg_TC,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_TC,Metadata: substrate,1,0.017222222222222194,0.005224026066462559,True,10.0,True,True
warning_biogas_quality,substrate_avg_TC,Metadata: substrate,1,0.0,0.0,True,168.0,False,False
warning_acid_base_balance,substrate_avg_Protein,Metadata: substrate,1,0.0,0.0,True,185.0,False,False
warning_buffer_capacity,substrate_avg_Protein,Metadata: substrate,1,-0.0033424908424908363,0.003404133413628655,True,239.0,False,False
warning_acid_accumulation,substrate_avg_Protein,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_Protein,Metadata: substrate,1,0.019146270396270385,0.017096222336266176,True,9.0,True,True
