model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
SVM,warning_ammonia_toxicity,1.0,ARC_G::Methanimicrococcus,Archaea,0.04276470196470196,0.09562478063059239,5,5,1,1,1,117.2,0.025082934675883566,0.2,0.2
SVM,warning_ammonia_toxicity,2.0,BAC_G::W5053,Bacteria,0.03656089629324924,0.04786069990886701,5,5,3,3,3,55.9,0.013928603817369017,0.6,0.6
SVM,warning_ammonia_toxicity,3.0,substrate_avg_VS,Metadata: substrate,0.017070028723289592,0.03088708416936021,5,5,3,1,2,72.8,0.018287751717422276,0.2,0.6
SVM,warning_ammonia_toxicity,4.0,substrate_avg_Protein,Metadata: substrate,0.015230486942251653,0.02531641359470207,5,5,3,3,3,82.6,0.01344640131321596,0.6,0.6
SVM,warning_ammonia_toxicity,5.0,substrate_avg_Lipid,Metadata: substrate,0.013534948167301112,0.02800760952499675,5,5,3,2,3,86.0,0.01395832390740164,0.4,0.6
SVM,warning_ammonia_toxicity,6.0,BAC_G::Anaerovorax,Bacteria,0.01347085137085136,0.016963021327100283,5,5,3,3,3,55.4,0.010185113796581555,0.6,0.6
SVM,warning_ammonia_toxicity,7.0,BAC_G::Anaerofustis,Bacteria,0.0128655462184874,0.029111979951992283,5,5,1,1,1,132.3,0.006378708849976028,0.2,0.2
SVM,warning_ammonia_toxicity,8.0,substrate_avg_sCOD,Metadata: substrate,0.01229137553766037,0.027958630024335292,5,5,3,2,3,112.6,0.01570895355141662,0.4,0.6
SVM,warning_ammonia_toxicity,9.0,BAC_G::Acholeplasma,Bacteria,0.011302843233764282,0.02622526335446669,5,5,3,2,2,114.9,0.013683752097134776,0.4,0.6
SVM,warning_ammonia_toxicity,10.0,BAC_G::Lactobacillus,Bacteria,0.011052431228901819,0.024713987544466003,5,5,1,1,1,110.0,0.013920980127087285,0.2,0.2
SVM,warning_ammonia_toxicity,11.0,BAC_G::Atopobium,Bacteria,0.010571428571428579,0.023638432904997796,5,5,1,1,1,110.2,0.007012766902587553,0.2,0.2
SVM,warning_ammonia_toxicity,12.0,BAC_G::Streptococcus,Bacteria,0.00999913419913422,0.01522705218721154,5,5,2,1,2,99.4,0.005104630279494844,0.2,0.4
SVM,warning_ammonia_toxicity,13.0,BAC_G::Keratinibaculum,Bacteria,0.009967261904761897,0.022287475168591635,5,5,1,1,1,107.9,0.01489588021477858,0.2,0.2
SVM,warning_ammonia_toxicity,14.0,BAC_G::Clostridium_sensu_stricto_1,Bacteria,0.00921465201465202,0.014402330820471331,5,5,2,1,2,86.1,0.009138529348940194,0.2,0.4
SVM,warning_ammonia_toxicity,15.0,BAC_G::UCG-010,Bacteria,0.008350471614442209,0.022070898714149613,5,5,2,1,1,116.6,0.00820695144855553,0.2,0.4
SVM,warning_ammonia_toxicity,16.0,ARC_G::Methanomethylovorans,Archaea,0.00830904280904281,0.015016888109136046,5,5,3,1,1,86.6,0.008032068668116437,0.2,0.6
SVM,warning_ammonia_toxicity,17.0,HRT_d,Metadata: operation/context,0.008112993814464401,0.00960215725570145,5,5,3,2,2,78.8,0.009483953286398434,0.4,0.6
SVM,warning_ammonia_toxicity,18.0,substrate_avg_TC,Metadata: substrate,0.006761313414254592,0.01344208570402985,5,5,3,1,2,113.3,0.010858070228710135,0.2,0.6
SVM,warning_ammonia_toxicity,19.0,ARC_P::Halobacterota,Archaea,0.006531312070282669,0.015148455395870557,5,5,3,0,1,119.6,0.00568102329647102,0.0,0.6
SVM,warning_ammonia_toxicity,20.0,BAC_P::Caldatribacteriota,Bacteria,0.006132198193962905,0.014967649644935736,5,5,2,0,1,139.0,0.00840840947025257,0.0,0.4
SVM,warning_ammonia_toxicity,21.0,BAC_G::Bacteroidales_UCG-001,Bacteria,0.006130309505309505,0.013772581004363713,5,5,1,1,1,132.5,0.010892886298852987,0.2,0.2
SVM,warning_ammonia_toxicity,22.0,BAC_P::Bacteroidota,Bacteria,0.005171062318314651,0.013160628608715882,5,5,2,0,1,119.3,0.009451778403611446,0.0,0.4
SVM,warning_ammonia_toxicity,23.0,substrate_avg_HAc,Metadata: substrate,0.004187590187590187,0.00630879110238604,5,5,3,0,0,86.8,0.005819613165745462,0.0,0.6
SVM,warning_ammonia_toxicity,24.0,BAC_G::D8A-2,Bacteria,0.003895058645058637,0.006614210015686155,5,5,2,0,1,127.5,0.0064530288869487544,0.0,0.4
SVM,warning_ammonia_toxicity,25.0,substrate_avg_pH,Metadata: substrate,0.0037923694225164783,0.007846142373422838,5,5,3,0,2,90.2,0.005576242927617513,0.0,0.6
SVM,warning_ammonia_toxicity,26.0,ARC_G::Methanogenium,Archaea,0.003635398449446435,0.00950908943664765,5,5,2,1,1,124.2,0.0059828258987298395,0.2,0.4
SVM,warning_ammonia_toxicity,27.0,BAC_G::WCHB1-41,Bacteria,0.0036336421991607646,0.006286230217922667,5,5,2,1,1,114.5,0.005257916634215,0.2,0.4
SVM,warning_ammonia_toxicity,28.0,BAC_G::DTU014,Bacteria,0.0031957671957671915,0.004494745683585784,5,5,2,0,0,105.3,0.005747153301470137,0.0,0.4
SVM,warning_ammonia_toxicity,29.0,substrate_avg_TVFAs,Metadata: substrate,0.0027665343915343906,0.004582460959756434,5,5,2,0,0,126.8,0.00561024508772999,0.0,0.4
SVM,warning_ammonia_toxicity,30.0,BAC_G::Lentimicrobium,Bacteria,0.002753968253968258,0.006662641098480053,5,5,2,0,1,118.4,0.00587592442491656,0.0,0.4
SVM,warning_ammonia_toxicity,31.0,BAC_G::Fermentibacteraceae,Bacteria,0.0027146464646464552,0.0058606807905429974,5,5,2,0,1,89.3,0.000959928172158998,0.0,0.4
SVM,warning_ammonia_toxicity,32.0,BAC_P::Fermentibacterota,Bacteria,0.002569444444444436,0.005941458232279822,5,5,1,0,1,131.6,0.0007907353402927728,0.0,0.2
SVM,warning_ammonia_toxicity,33.0,BAC_P::Actinobacteriota,Bacteria,0.0024708994708994713,0.005055414695459148,5,5,2,0,0,113.1,0.005735164703587115,0.0,0.4
SVM,warning_ammonia_toxicity,34.0,BAC_G::Acetomicrobium,Bacteria,0.0024047619047619056,0.005377211088749496,5,5,1,0,1,113.4,0.005177883600216974,0.0,0.2
SVM,warning_ammonia_toxicity,35.0,BAC_G::Candidatus_Caldatribacterium,Bacteria,0.0023492063492063487,0.004516790014855331,5,5,2,0,0,92.1,0.005958107516079422,0.0,0.4
SVM,warning_ammonia_toxicity,36.0,ARC_G::Candidatus_Methanofastidiosum,Archaea,0.0023416572534219575,0.009848775432706418,5,5,3,0,2,118.5,0.009226390840265126,0.0,0.6
SVM,warning_ammonia_toxicity,36.0,ARC_P::Euryarchaeota,Archaea,0.0023416572534219575,0.009848775432706418,5,5,3,0,2,118.5,0.009226390840265126,0.0,0.6
SVM,warning_ammonia_toxicity,38.0,BAC_G::Proteiniphilum,Bacteria,0.0021903084660437585,0.005077037125764835,5,5,2,1,1,123.1,0.006404013718389469,0.2,0.4
SVM,warning_ammonia_toxicity,39.0,T_C,Metadata: operation/context,0.002177705627705635,0.01026671368305799,5,5,2,0,1,109.0,0.008207108026433579,0.0,0.4
SVM,warning_ammonia_toxicity,40.0,BAC_P::Verrucomicrobiota,Bacteria,0.002119514472455646,0.005088834987537043,5,5,1,0,0,135.2,0.0034157001260351977,0.0,0.2
SVM,warning_ammonia_toxicity,41.0,ARC_G::Methanoregula,Archaea,0.001904761904761907,0.004259177099999604,5,5,1,0,0,114.8,0.0035230643390086413,0.0,0.2
SVM,warning_ammonia_toxicity,42.0,BAC_G::unidentified,Bacteria,0.0018633909018970865,0.006896515173119906,5,5,2,0,1,120.7,0.0033267925315709074,0.0,0.4
SVM,warning_ammonia_toxicity,43.0,ARC_P::Crenarchaeota,Archaea,0.0018252427039191672,0.0061435917949987885,5,5,1,0,0,142.3,0.0017407280203509535,0.0,0.2
SVM,warning_ammonia_toxicity,44.0,ARC_G::Woesearchaeales,Archaea,0.0017849927849927804,0.002719050877534829,5,5,2,0,1,92.0,0.0020193859628342714,0.0,0.4
