model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
SVM,warning_ammonia_toxicity,1.0,ARC_G::Methanimicrococcus,Archaea,0.04276470196470196,0.09562478063059239,5,5,1,1,1,117.2,0.025082934675883566,0.2,0.2
SVM,warning_ammonia_toxicity,2.0,BAC_G::W5053,Bacteria,0.03656089629324924,0.04786069990886701,5,5,3,3,3,55.9,0.013928603817369017,0.6,0.6
SVM,warning_ammonia_toxicity,3.0,substrate_avg_VS,Metadata: substrate,0.017070028723289592,0.03088708416936021,5,5,3,1,2,72.8,0.018287751717422276,0.2,0.6
SVM,warning_ammonia_toxicity,4.0,substrate_avg_Protein,Metadata: substrate,0.015230486942251653,0.02531641359470207,5,5,3,3,3,82.6,0.01344640131321596,0.6,0.6
SVM,warning_ammonia_toxicity,5.0,substrate_avg_Lipid,Metadata: substrate,0.013534948167301112,0.02800760952499675,5,5,3,2,3,86.0,0.01395832390740164,0.4,0.6
SVM,warning_ammonia_toxicity,6.0,BAC_G::Anaerovorax,Bacteria,0.01347085137085136,0.016963021327100283,5,5,3,3,3,55.4,0.010185113796581555,0.6,0.6
SVM,warning_ammonia_toxicity,7.0,BAC_G::Anaerofustis,Bacteria,0.0128655462184874,0.029111979951992283,5,5,1,1,1,132.3,0.006378708849976028,0.2,0.2
SVM,warning_ammonia_toxicity,8.0,substrate_avg_sCOD,Metadata: substrate,0.01229137553766037,0.027958630024335292,5,5,3,2,3,112.6,0.01570895355141662,0.4,0.6
SVM,warning_ammonia_toxicity,9.0,BAC_G::Acholeplasma,Bacteria,0.011302843233764282,0.02622526335446669,5,5,3,2,2,114.9,0.013683752097134776,0.4,0.6
SVM,warning_ammonia_toxicity,10.0,BAC_G::Lactobacillus,Bacteria,0.011052431228901819,0.024713987544466003,5,5,1,1,1,110.0,0.013920980127087285,0.2,0.2
SVM,warning_ammonia_toxicity,11.0,BAC_G::Atopobium,Bacteria,0.010571428571428579,0.023638432904997796,5,5,1,1,1,110.2,0.007012766902587553,0.2,0.2
SVM,warning_ammonia_toxicity,12.0,BAC_G::Streptococcus,Bacteria,0.00999913419913422,0.01522705218721154,5,5,2,1,2,99.4,0.005104630279494844,0.2,0.4
SVM,warning_ammonia_toxicity,13.0,BAC_G::Keratinibaculum,Bacteria,0.009967261904761897,0.022287475168591635,5,5,1,1,1,107.9,0.01489588021477858,0.2,0.2
SVM,warning_ammonia_toxicity,14.0,BAC_G::Clostridium_sensu_stricto_1,Bacteria,0.00921465201465202,0.014402330820471331,5,5,2,1,2,86.1,0.009138529348940194,0.2,0.4
SVM,warning_ammonia_toxicity,15.0,BAC_G::UCG-010,Bacteria,0.008350471614442209,0.022070898714149613,5,5,2,1,1,116.6,0.00820695144855553,0.2,0.4
SVM,warning_ammonia_toxicity,16.0,ARC_G::Methanomethylovorans,Archaea,0.00830904280904281,0.015016888109136046,5,5,3,1,1,86.6,0.008032068668116437,0.2,0.6
SVM,warning_ammonia_toxicity,17.0,HRT_d,Metadata: operation/context,0.008112993814464401,0.00960215725570145,5,5,3,2,2,78.8,0.009483953286398434,0.4,0.6
SVM,warning_ammonia_toxicity,18.0,substrate_avg_TC,Metadata: substrate,0.006761313414254592,0.01344208570402985,5,5,3,1,2,113.3,0.010858070228710135,0.2,0.6
SVM,warning_ammonia_toxicity,19.0,ARC_P::Halobacterota,Archaea,0.006531312070282669,0.015148455395870557,5,5,3,0,1,119.6,0.00568102329647102,0.0,0.6
SVM,warning_ammonia_toxicity,20.0,BAC_P::Caldatribacteriota,Bacteria,0.006132198193962905,0.014967649644935736,5,5,2,0,1,139.0,0.00840840947025257,0.0,0.4
