model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
SVM,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.181547127622979,0.29306491443490684,3,5,2,1,1,77.33333333333333,0.09834881554779466,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,2.0,ARC_G::Methanosaeta,Archaea,0.1309126984126984,0.19093472833339944,3,5,2,2,2,48.666666666666664,0.09280643045829662,0.6666666666666666,0.6666666666666666
SVM,warning_biogas_quality,3.0,BAC_P::Chloroflexi,Bacteria,0.12916666666666668,0.2129896319855343,3,5,2,1,2,53.666666666666664,0.08144797069187519,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,4.0,BAC_P::Actinobacteriota,Bacteria,0.12407407407407407,0.19597282922445824,3,5,2,2,2,57.833333333333336,0.0935600702870883,0.6666666666666666,0.6666666666666666
SVM,warning_biogas_quality,5.0,ARC_P::Halobacterota,Archaea,0.1125,0.18413649828320294,3,5,2,1,2,54.666666666666664,0.08896444179358746,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,6.0,BAC_P::Spirochaetota,Bacteria,0.1025,0.17108112110925622,3,5,2,1,1,59.5,0.08987657413388116,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,7.0,BAC_P::Cloacimonadota,Bacteria,0.09000000000000001,0.13892443989449804,3,5,2,1,2,53.5,0.09387527417293008,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,8.0,BAC_P::Bacteroidota,Bacteria,0.07416666666666667,0.10955402016052782,3,5,2,1,2,53.5,0.09227774475057311,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,9.0,BAC_G::Bacteroides,Bacteria,0.05769230769230769,0.09992600812897369,3,5,1,1,1,104.83333333333333,0.001636347840949968,0.3333333333333333,0.3333333333333333
SVM,warning_biogas_quality,10.0,BAC_G::Fermentimonas,Bacteria,0.05527777777777779,0.08932747700538816,3,5,2,1,1,60.833333333333336,0.08963383012413224,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,11.0,BAC_G::Syntrophorhabdus,Bacteria,0.05416666666666666,0.06414501799308604,3,5,2,1,2,54.5,0.0814479706918752,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,12.0,BAC_P::Patescibacteria,Bacteria,0.054040404040404035,0.09360072545953023,3,5,1,1,1,105.5,0.10102471983527721,0.3333333333333333,0.3333333333333333
SVM,warning_biogas_quality,13.0,BAC_G::Caldicoprobacter,Bacteria,0.049999999999999996,0.08660254037844387,3,5,1,0,1,106.5,0.07836039099693788,0.0,0.3333333333333333
SVM,warning_biogas_quality,13.0,BAC_G::Fastidiosipila,Bacteria,0.049999999999999996,0.08660254037844387,3,5,1,0,1,106.5,0.07836039099693788,0.0,0.3333333333333333
SVM,warning_biogas_quality,13.0,substrate_avg_pH,Metadata: substrate,0.049999999999999996,0.08660254037844387,3,5,1,0,1,106.5,0.07836039099693788,0.0,0.3333333333333333
SVM,warning_biogas_quality,16.0,ARC_G::unidentified,Archaea,0.04583333333333334,0.07938566201357354,3,5,1,0,1,107.16666666666667,0.08322361197787125,0.0,0.3333333333333333
SVM,warning_biogas_quality,17.0,ARC_P::unidentified,Archaea,0.04444444444444445,0.07698003589195011,3,5,1,0,1,107.5,0.07979831627328976,0.0,0.3333333333333333
SVM,warning_biogas_quality,18.0,ARC_G::Methanoculleus,Archaea,0.04416666666666667,0.07010408927682703,3,5,2,0,1,63.166666666666664,0.0801494021954286,0.0,0.6666666666666666
SVM,warning_biogas_quality,19.0,substrate_avg_COD,Metadata: substrate,0.0425,0.07145802963978225,3,5,2,0,1,71.0,0.07777038968238618,0.0,0.6666666666666666
SVM,warning_biogas_quality,20.0,ARC_P::Micrarchaeota,Archaea,0.035833333333333335,0.05569634937168983,3,5,2,0,0,64.66666666666667,0.07450434928121898,0.0,0.6666666666666666
