model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
SVM,warning_buffer_capacity,1.0,BAC_G::Lactobacillus,Bacteria,0.10926552287581699,0.24432513674738512,5,5,1,1,1,101.7,0.024944362143316353,0.2,0.2
SVM,warning_buffer_capacity,2.0,BAC_P::Armatimonadota,Bacteria,0.07893253968253969,0.17630448535340437,5,5,2,1,1,84.7,0.027388522346548306,0.2,0.4
SVM,warning_buffer_capacity,3.0,BAC_G::Smithella,Bacteria,0.03640739978975273,0.0943898802710183,5,5,2,2,2,137.6,0.01635080111611508,0.4,0.4
SVM,warning_buffer_capacity,4.0,BAC_G::Butyrivibrio,Bacteria,0.026888278388278387,0.061378346504134824,5,5,2,1,1,106.5,0.006371264001437671,0.2,0.4
SVM,warning_buffer_capacity,5.0,BAC_G::Prevotella,Bacteria,0.023232277526395166,0.05196815096074013,5,5,1,1,1,119.7,0.010065921400774915,0.2,0.2
SVM,warning_buffer_capacity,6.0,BAC_G::Sphaerochaeta,Bacteria,0.02239188589188589,0.05536592906872733,5,5,1,1,1,196.2,0.03197170650380453,0.2,0.2
SVM,warning_buffer_capacity,7.0,BAC_G::Mesotoga,Bacteria,0.017049089799089798,0.039213406369057166,5,5,1,1,1,146.5,0.03487835259103893,0.2,0.2
SVM,warning_buffer_capacity,8.0,BAC_G::Syntrophorhabdus,Bacteria,0.015880952380952374,0.02905781437004026,5,5,3,3,3,60.3,0.009958463936613853,0.6,0.6
SVM,warning_buffer_capacity,9.0,BAC_P::Desulfobacterota,Bacteria,0.015668658139246363,0.05220649412552045,5,5,1,1,1,185.4,0.015416021892663173,0.2,0.2
SVM,warning_buffer_capacity,10.0,ARC_G::Methanomassiliicoccus,Archaea,0.015547154642742866,0.038987011475453595,5,5,3,3,3,109.2,0.02030291645127221,0.6,0.6
SVM,warning_buffer_capacity,11.0,BAC_G::WCHB1-02,Bacteria,0.010777777777777777,0.023483642849470382,5,5,2,1,2,84.6,0.015536520394584844,0.2,0.4
SVM,warning_buffer_capacity,12.0,Season,Metadata: operation/context,0.010318841289429514,0.03766444096903162,5,5,2,2,2,138.5,0.01627958858473377,0.4,0.4
SVM,warning_buffer_capacity,13.0,BAC_P::Thermotogota,Bacteria,0.007152777777777774,0.01704673699814573,5,5,2,2,2,132.0,0.02674122528337116,0.4,0.4
SVM,warning_buffer_capacity,14.0,BAC_G::Lentimicrobium,Bacteria,0.005793650793650792,0.012954997012498777,5,5,1,1,1,102.1,0.004311011695990534,0.2,0.2
SVM,warning_buffer_capacity,15.0,BAC_G::Sedimentibacter,Bacteria,0.0056822956455309295,0.020047085698445204,5,5,3,1,2,110.0,0.024587643451875633,0.2,0.6
SVM,warning_buffer_capacity,16.0,BAC_G::Dechloromonas,Bacteria,0.0045865164247517135,0.009988773422532963,5,5,2,1,2,103.1,0.014572051305758421,0.2,0.4
SVM,warning_buffer_capacity,17.0,BAC_G::DTU014,Bacteria,0.004390873015873015,0.011547596888103974,5,5,1,1,1,150.6,0.005599112941643007,0.2,0.2
SVM,warning_buffer_capacity,18.0,BAC_G::Exilispira,Bacteria,0.004315295815295814,0.010064856750563234,5,5,2,1,2,108.5,0.008948734456200614,0.2,0.4
SVM,warning_buffer_capacity,19.0,substrate_type,Metadata: substrate,0.0037820512820512823,0.009568260593356557,5,5,1,0,1,126.2,0.007942119746636554,0.0,0.2
SVM,warning_buffer_capacity,20.0,BAC_P::Proteobacteria,Bacteria,0.0036355425620131477,0.005060408413038808,5,5,3,1,3,101.5,0.015450922920501344,0.2,0.6
SVM,warning_buffer_capacity,21.0,BAC_G::Aminicenantales,Bacteria,0.0034802332170753153,0.009237165156186776,5,5,1,1,1,132.6,0.0045280965737945185,0.2,0.2
SVM,warning_buffer_capacity,22.0,BAC_G::Pelotomaculum,Bacteria,0.0033716422466422424,0.0057096655088334095,5,5,2,1,2,102.6,0.026460067112049884,0.2,0.4
SVM,warning_buffer_capacity,23.0,Q_total_Tpy,Metadata: operation/context,0.0032663398692810387,0.01688643262109057,5,5,2,1,2,139.4,0.012552668621286272,0.2,0.4
SVM,warning_buffer_capacity,24.0,BAC_G::ADurb.Bin063-1,Bacteria,0.0031550671550671537,0.005653926462353506,5,5,2,2,2,106.0,0.006256927990437493,0.4,0.4
SVM,warning_buffer_capacity,25.0,BAC_P::unidentified,Bacteria,0.002685556273791567,0.005679659015016009,5,5,2,0,2,102.1,0.009441356868640427,0.0,0.4
SVM,warning_buffer_capacity,26.0,ARC_P::Thermoplasmatota,Archaea,0.0025717485129249833,0.00714867651003177,5,5,2,1,1,124.8,0.00605881141487056,0.2,0.4
SVM,warning_buffer_capacity,27.0,BAC_G::Fermentimonas,Bacteria,0.0023106354429883805,0.002835471640066125,5,5,3,0,1,80.0,0.013581827532205711,0.0,0.6
SVM,warning_buffer_capacity,28.0,BAC_G::SC-I-84,Bacteria,0.00217628205128205,0.0036590468810506665,5,5,3,1,1,85.2,0.006033384514190611,0.2,0.6
SVM,warning_buffer_capacity,29.0,BAC_P::Acidobacteriota,Bacteria,0.002047924297924296,0.004757877619545651,5,5,1,1,1,128.1,0.0014558473105062608,0.2,0.2
SVM,warning_buffer_capacity,30.0,substrate_avg_ALK,Metadata: substrate,0.002013888888888888,0.0051755962839738386,5,5,2,1,2,128.1,0.0049810354146821705,0.2,0.4
SVM,warning_buffer_capacity,31.0,substrate_avg_Lipid,Metadata: substrate,0.0017906774597951044,0.0038132450529987484,5,5,2,0,1,125.4,0.010266917213515487,0.0,0.4
SVM,warning_buffer_capacity,32.0,BAC_G::Paludibacter,Bacteria,0.0017710622710622678,0.003004504844516995,5,5,3,1,1,80.4,0.00854963389420191,0.2,0.6
SVM,warning_buffer_capacity,33.0,BAC_P::Actinobacteriota,Bacteria,0.0017619047619047603,0.002894595793415072,5,5,2,2,2,82.1,0.003222054448926161,0.4,0.4
SVM,warning_buffer_capacity,34.0,ARC_G::Methanosarcina,Archaea,0.0015436507936507937,0.00355708096884179,5,5,2,1,1,99.3,0.004323556828135917,0.2,0.4
SVM,warning_buffer_capacity,35.0,BAC_P::Caldisericota,Bacteria,0.0014798534798534787,0.003852502174056963,5,5,1,1,1,130.5,0.0016856902626430277,0.2,0.2
SVM,warning_buffer_capacity,36.0,ARC_G::Methanimicrococcus,Archaea,0.001459688861862774,0.003263963521124463,5,5,1,1,1,110.8,0.007263156979728322,0.2,0.2
SVM,warning_buffer_capacity,37.0,substrate_avg_pH,Metadata: substrate,0.0014568070818070775,0.002643706439935674,5,5,3,1,2,68.7,0.0028489586545172195,0.2,0.6
SVM,warning_buffer_capacity,38.0,ARC_G::Methanocorpusculum,Archaea,0.0013333333333333326,0.0029814239699997177,5,5,1,0,0,105.6,0.011102920958070878,0.0,0.2
SVM,warning_buffer_capacity,39.0,BAC_G::Bacteroidales_UCG-001,Bacteria,0.0013095238095238086,0.0029281842562497227,5,5,1,0,0,105.8,0.019987390105203028,0.0,0.2
SVM,warning_buffer_capacity,40.0,BAC_G::SBR1031,Bacteria,0.0011593406593406574,0.003672923838114438,5,5,1,1,1,133.8,0.021270630112067666,0.2,0.2
SVM,warning_buffer_capacity,41.0,BAC_P::Planctomycetota,Bacteria,0.0008333333333333332,0.0018633899812498245,5,5,1,0,0,106.6,0.003726779962499649,0.0,0.2
SVM,warning_buffer_capacity,42.0,BAC_G::Guggenheimella,Bacteria,0.0008333333333333326,0.0018633899812498232,5,5,1,0,0,107.4,0.01008008864715499,0.0,0.2
SVM,warning_buffer_capacity,43.0,ARC_G::SCGC_AAA011-D5,Archaea,0.0007268009768009712,0.0029631831221569654,5,5,2,0,2,133.2,0.0388686019438232,0.0,0.4
SVM,warning_buffer_capacity,43.0,ARC_P::Nanoarchaeota,Archaea,0.0007268009768009712,0.0029631831221569654,5,5,2,0,2,133.2,0.0388686019438232,0.0,0.4
SVM,warning_buffer_capacity,45.0,BAC_G::009E01-B-SD-P15,Bacteria,0.0007217741408917854,0.003075069181911456,5,5,2,1,2,110.2,0.003223952191453573,0.2,0.4
SVM,warning_buffer_capacity,46.0,BAC_G::Ruminococcus,Bacteria,0.00041176388970506385,0.0005654979901950793,5,5,2,0,2,86.3,0.0031474111051944995,0.0,0.4
SVM,warning_buffer_capacity,47.0,BAC_G::RBG-16-49-21,Bacteria,0.00031342840166369583,0.0007008472121991321,5,5,1,0,1,105.7,0.000609391781044618,0.0,0.2
SVM,warning_buffer_capacity,48.0,BAC_P::Synergistota,Bacteria,0.0002632204396910271,0.0029427008393138315,5,5,1,1,1,131.5,0.0020972886446064473,0.2,0.2
SVM,warning_buffer_capacity,49.0,BAC_G::Candidatus_Competibacter,Bacteria,0.00025396825396825336,0.00035225938128844586,5,5,2,0,1,87.4,0.0006908952112022148,0.0,0.4
