target,feature,category,fold,importance,permutation_sd,selected_in_fold,fold_rank,positive_top10,positive_top20
warning_acid_base_balance,Season,Metadata: operation/context,1,0.008035714285714266,0.022042429303075817,True,6.0,True,True
warning_buffer_capacity,Season,Metadata: operation/context,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,Season,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Season,Metadata: operation/context,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,Season,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_type,Metadata: substrate,1,0.0,0.0,True,141.0,False,False
warning_buffer_capacity,substrate_type,Metadata: substrate,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,substrate_type,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_type,Metadata: substrate,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,substrate_type,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,HRT_d,Metadata: operation/context,1,-0.0016666666666666856,0.029526807458214375,True,273.0,False,False
warning_buffer_capacity,HRT_d,Metadata: operation/context,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,HRT_d,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,HRT_d,Metadata: operation/context,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,HRT_d,Metadata: operation/context,1,-0.03578744655757039,0.04811060176194399,True,275.0,False,False
warning_acid_base_balance,T_C,Metadata: operation/context,1,0.0,0.0,True,141.0,False,False
warning_buffer_capacity,T_C,Metadata: operation/context,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,T_C,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,T_C,Metadata: operation/context,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,T_C,Metadata: operation/context,1,-0.04235174332891051,0.04987757738406829,True,276.0,False,False
warning_acid_base_balance,Q_total_Tpy,Metadata: operation/context,1,-0.0098214285714286,0.0240646574791137,True,275.0,False,False
warning_buffer_capacity,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,Q_total_Tpy,Metadata: operation/context,1,,,True,,False,False
warning_ammonia_toxicity,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,Q_total_Tpy,Metadata: operation/context,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,141.0,False,False
warning_buffer_capacity,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,substrate_avg_pH,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,substrate_avg_pH,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,141.0,False,False
warning_buffer_capacity,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,134.5,False,False
warning_acid_accumulation,substrate_avg_ALK,Metadata: substrate,1,,,True,,False,False
warning_ammonia_toxicity,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,140.0,False,False
warning_biogas_quality,substrate_avg_ALK,Metadata: substrate,1,0.0,0.0,True,138.0,False,False
warning_acid_base_balance,substrate_avg_VS,Metadata: substrate,1,0.0,0.0,True,141.0,False,False
