model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
NNET,warning_acid_base_balance,1.0,BAC_G::Lactobacillus,Bacteria,0.1206203928939997,0.2697153979837159,5,5,1,1,1,90.5,0.012025200724940425,0.2,0.2
NNET,warning_acid_base_balance,2.0,ARC_G::Methanimicrococcus,Archaea,0.06422108447108446,0.14547326116057235,5,5,1,1,1,121.6,0.014349969922991552,0.2,0.2
NNET,warning_acid_base_balance,3.0,BAC_G::Alkaliphilus,Bacteria,0.025854700854700857,0.038984541156555794,5,5,2,2,2,92.0,0.013970301552005132,0.4,0.4
NNET,warning_acid_base_balance,4.0,BAC_G::Guggenheimella,Bacteria,0.01757237478704871,0.04578890153707648,5,5,2,2,2,112.9,0.014765762548756079,0.4,0.4
NNET,warning_acid_base_balance,5.0,BAC_G::Gelria,Bacteria,0.0126926406926407,0.019943034294671202,5,5,2,2,2,88.7,0.005961895140149297,0.4,0.4
NNET,warning_acid_base_balance,6.0,BAC_G::WCHB1-41,Bacteria,0.012636724386724387,0.025915057722137754,5,5,2,2,2,96.3,0.008864281457187002,0.4,0.4
NNET,warning_acid_base_balance,7.0,BAC_G::Bacteroides,Bacteria,0.008854978354978353,0.01980033354102086,5,5,1,1,1,89.0,0.0015346031925423907,0.2,0.2
NNET,warning_acid_base_balance,8.0,BAC_G::Sphaerochaeta,Bacteria,0.008684941107709985,0.019142908196762988,5,5,2,1,2,101.6,0.003877308760535161,0.2,0.4
NNET,warning_acid_base_balance,9.0,substrate_avg_pH,Metadata: substrate,0.006395781119465327,0.015069966033162028,5,5,1,1,1,122.5,0.0036239535826930605,0.2,0.2
NNET,warning_acid_base_balance,10.0,HRT_d,Metadata: operation/context,0.005633928571428579,0.02287775859882771,5,5,2,2,2,106.4,0.007167983453215815,0.4,0.4
NNET,warning_acid_base_balance,11.0,BAC_G::Caldicoprobacter,Bacteria,0.0053387540821751385,0.011907734243990071,5,5,2,1,2,134.3,0.011206043975272962,0.2,0.4
NNET,warning_acid_base_balance,12.0,BAC_G::Syntrophaceticus,Bacteria,0.004413690476190481,0.01994640436932779,5,5,1,1,1,125.4,0.005664220901027736,0.2,0.2
NNET,warning_acid_base_balance,13.0,BAC_P::Acidobacteriota,Bacteria,0.003139138639138647,0.010855931476165799,5,5,1,1,1,127.9,0.005603140243475325,0.2,0.2
NNET,warning_acid_base_balance,14.0,BAC_G::LD1-PB3,Bacteria,0.0025,0.005590169943749475,5,5,1,0,1,90.8,0.006105792475542054,0.0,0.2
NNET,warning_acid_base_balance,15.0,BAC_P::Dependentiae,Bacteria,0.0016096681096681108,0.003666239377617776,5,5,1,1,1,123.0,0.004763235382260669,0.2,0.2
NNET,warning_acid_base_balance,16.0,BAC_G::MBA03,Bacteria,0.0014831349206349217,0.022161046947358685,5,5,1,1,1,168.6,0.00690938776976526,0.2,0.2
NNET,warning_acid_base_balance,17.0,BAC_G::Candidatus_Cloacimonas,Bacteria,0.0014010642135642184,0.009486462678171308,5,5,1,1,1,154.9,0.006685433406106322,0.2,0.2
NNET,warning_acid_base_balance,18.0,BAC_G::Paludibacter,Bacteria,0.0011160714285714287,0.0028845642819910894,5,5,1,0,1,110.8,0.003651843017458468,0.0,0.2
NNET,warning_acid_base_balance,19.0,BAC_G::Streptococcus,Bacteria,0.0009213659147869686,0.002130980038309865,5,5,1,1,1,116.4,0.004765367799233765,0.2,0.2
NNET,warning_acid_base_balance,20.0,BAC_G::Thermomonas,Bacteria,0.0008560606060606091,0.0019142097080111905,5,5,1,1,1,98.8,0.004599350212379103,0.2,0.2
NNET,warning_acid_base_balance,21.0,ARC_G::Marine_Benthic_Group_D_and_DHVEG-1,Archaea,0.0006964285714285723,0.0015572616271873553,5,5,1,1,1,91.1,0.004273561682553426,0.2,0.2
NNET,warning_acid_base_balance,22.0,BAC_G::Thauera,Bacteria,0.0006883116883116883,0.0015391117247725826,5,5,1,0,0,92.8,0.0029778985963900373,0.0,0.2
NNET,warning_acid_base_balance,23.0,ARC_P::Holozoa,Archaea,0.0006593406593406592,0.001474330534615246,5,5,1,0,1,99.2,0.002948661069230491,0.0,0.2
NNET,warning_acid_base_balance,24.0,BAC_G::RBG-16-49-21,Bacteria,0.0006349206349206355,0.0014197256999998677,5,5,1,0,1,99.4,0.0028894488426997244,0.0,0.2
NNET,warning_acid_base_balance,25.0,ARC_G::Rhinosporideacae,Archaea,0.0005952380952380954,0.0013309928437498753,5,5,1,0,1,99.6,0.0026619856874997507,0.0,0.2
NNET,warning_acid_base_balance,26.0,BAC_G::Dokdonella,Bacteria,0.0004166666666666666,0.0009316949906249122,5,5,1,0,0,93.2,0.0018633899812498245,0.0,0.2
NNET,warning_acid_base_balance,26.0,BAC_G::Methylotenera,Bacteria,0.0004166666666666666,0.0009316949906249122,5,5,1,0,0,93.2,0.0018633899812498245,0.0,0.2
NNET,warning_acid_base_balance,28.0,BAC_G::Acholeplasma,Bacteria,0.00022441520467836456,0.027012933628785672,5,5,1,1,1,172.7,0.007772554668283941,0.2,0.2
NNET,warning_acid_base_balance,29.0,BAC_G::Lentimicrobium,Bacteria,0.00020535714285714436,0.0008825295566536849,5,5,1,1,1,109.8,0.003132665857768291,0.2,0.2
NNET,warning_acid_base_balance,30.0,ARC_G::RumEn_M2,Archaea,0.00012103174603174723,0.0024505012509077446,5,5,1,0,0,132.8,0.004757363906394847,0.0,0.2
NNET,warning_acid_base_balance,31.0,BAC_G::Babeliales,Bacteria,2.8860028860044906e-06,6.453298636366617e-06,5,5,1,0,1,100.6,0.004411416756252888,0.0,0.2
NNET,warning_acid_base_balance,32.0,ARC_G::Aenigmarchaeales,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Candidatus_Iainarchaeum,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Candidatus_Methanomethylicus,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Candidatus_Methanomethylophilus,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Hadarchaeales,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::LKM11,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Methanolacinia,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Methanolobus,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Methanoregula,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Nitrososphaeraceae,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Teleostei,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_G::Veneroida,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_P::Aenigmarchaeota,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_P::Cryptomycota,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_P::Hadarchaeota,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_P::Iainarchaeota,Archaea,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_P::Mollusca,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,ARC_P::Vertebrata,Archaea,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::113B434,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::AAP99,Bacteria,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::ADurb.Bin120,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::AKYH767,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::AUTHM297,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Acetobacter,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Acetothermiia,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Acinetobacter,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Actinomyces,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Aeriscardovia,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Anaerococcus,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Anaerostignum,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Arenimonas,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Atopobium,Bacteria,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Azospira,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::BD1-7_clade,Bacteria,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::BRH-c20a,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Bacillus,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Bacteroidetes_VC2.1_Bac22,Bacteria,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Bdellovibrio,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Bifidobacterium,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Caldisericum,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Candidatus_Accumulibacter,Bacteria,0.0,0.0,5,5,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Candidatus_Omnitrophus,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Caproiciproducens,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
NNET,warning_acid_base_balance,32.0,BAC_G::Chthonomonadales,Bacteria,0.0,0.0,5,4,0,0,0,117.9,0.0,0.0,0.0
