model,fold,target,samples,positives,baseline_aupr
NNET,1,warning_acid_base_balance,24,2,0.21428571428571427
NNET,1,warning_buffer_capacity,24,2,0.08333333333333333
NNET,1,warning_acid_accumulation,24,0,
NNET,1,warning_ammonia_toxicity,24,4,0.5595238095238095
NNET,1,warning_biogas_quality,24,1,0.16666666666666666
NNET,2,warning_acid_base_balance,19,4,0.8166666666666667
NNET,2,warning_buffer_capacity,19,2,0.09109311740890688
NNET,2,warning_acid_accumulation,19,1,0.058823529411764705
NNET,2,warning_ammonia_toxicity,19,2,0.29166666666666663
NNET,2,warning_biogas_quality,19,3,0.7192982456140351
NNET,3,warning_acid_base_balance,23,2,0.06926406926406926
NNET,3,warning_buffer_capacity,23,1,0.045454545454545456
NNET,3,warning_acid_accumulation,23,0,
NNET,3,warning_ammonia_toxicity,23,5,0.5833333333333333
NNET,3,warning_biogas_quality,23,0,
NNET,4,warning_acid_base_balance,20,3,0.42063492063492064
NNET,4,warning_buffer_capacity,20,2,0.10795454545454546
NNET,4,warning_acid_accumulation,20,2,0.09215686274509804
NNET,4,warning_ammonia_toxicity,20,6,0.5327380952380952
NNET,4,warning_biogas_quality,20,0,
NNET,5,warning_acid_base_balance,23,4,0.6846590909090909
NNET,5,warning_buffer_capacity,23,1,0.0625
NNET,5,warning_acid_accumulation,23,0,
NNET,5,warning_ammonia_toxicity,23,5,0.6509523809523808
NNET,5,warning_biogas_quality,23,1,0.2
RandomForest,1,warning_acid_base_balance,24,2,0.5
RandomForest,1,warning_buffer_capacity,24,2,0.18382352941176472
RandomForest,1,warning_acid_accumulation,24,0,
RandomForest,1,warning_ammonia_toxicity,24,4,0.7291666666666666
RandomForest,1,warning_biogas_quality,24,1,0.041666666666666664
RandomForest,2,warning_acid_base_balance,19,4,0.4714646464646465
RandomForest,2,warning_buffer_capacity,19,2,0.2361111111111111
RandomForest,2,warning_acid_accumulation,19,1,0.16666666666666666
RandomForest,2,warning_ammonia_toxicity,19,2,0.75
RandomForest,2,warning_biogas_quality,19,3,0.35555555555555557
RandomForest,3,warning_acid_base_balance,23,2,0.09728506787330317
RandomForest,3,warning_buffer_capacity,23,1,0.05
RandomForest,3,warning_acid_accumulation,23,0,
RandomForest,3,warning_ammonia_toxicity,23,5,1.0
RandomForest,3,warning_biogas_quality,23,0,
RandomForest,4,warning_acid_base_balance,20,3,0.8055555555555555
RandomForest,4,warning_buffer_capacity,20,2,0.08680555555555555
RandomForest,4,warning_acid_accumulation,20,2,0.1
RandomForest,4,warning_ammonia_toxicity,20,6,0.9761904761904763
RandomForest,4,warning_biogas_quality,20,0,
RandomForest,5,warning_acid_base_balance,23,4,0.6071428571428572
RandomForest,5,warning_buffer_capacity,23,1,0.058823529411764705
RandomForest,5,warning_acid_accumulation,23,0,
RandomForest,5,warning_ammonia_toxicity,23,5,0.5634920634920635
RandomForest,5,warning_biogas_quality,23,1,0.047619047619047616
KNN,1,warning_acid_base_balance,24,2,0.30952380952380953
KNN,1,warning_buffer_capacity,24,2,0.08333333333333333
KNN,1,warning_acid_accumulation,24,0,
KNN,1,warning_ammonia_toxicity,24,4,0.75
KNN,1,warning_biogas_quality,24,1,0.041666666666666664
KNN,2,warning_acid_base_balance,19,4,0.4007177033492823
KNN,2,warning_buffer_capacity,19,2,0.45
KNN,2,warning_acid_accumulation,19,1,0.05263157894736842
KNN,2,warning_ammonia_toxicity,19,2,0.5
KNN,2,warning_biogas_quality,19,3,0.5526315789473685
KNN,3,warning_acid_base_balance,23,2,0.08695652173913043
KNN,3,warning_buffer_capacity,23,1,0.043478260869565216
KNN,3,warning_acid_accumulation,23,0,
KNN,3,warning_ammonia_toxicity,23,5,0.925
KNN,3,warning_biogas_quality,23,0,
KNN,4,warning_acid_base_balance,20,3,0.6388888888888888
KNN,4,warning_buffer_capacity,20,2,0.1
KNN,4,warning_acid_accumulation,20,2,0.1
KNN,4,warning_ammonia_toxicity,20,6,0.8178571428571427
KNN,4,warning_biogas_quality,20,0,
KNN,5,warning_acid_base_balance,23,4,0.3458333333333333
KNN,5,warning_buffer_capacity,23,1,0.058823529411764705
KNN,5,warning_acid_accumulation,23,0,
KNN,5,warning_ammonia_toxicity,23,5,0.42329004329004327
KNN,5,warning_biogas_quality,23,1,0.043478260869565216
SVM,1,warning_acid_base_balance,24,2,0.2121212121212121
SVM,1,warning_buffer_capacity,24,2,0.5714285714285714
SVM,1,warning_acid_accumulation,24,0,
SVM,1,warning_ammonia_toxicity,24,4,0.5416666666666666
SVM,1,warning_biogas_quality,24,1,0.25
SVM,2,warning_acid_base_balance,19,4,0.8166666666666667
SVM,2,warning_buffer_capacity,19,2,0.7
SVM,2,warning_acid_accumulation,19,1,0.058823529411764705
SVM,2,warning_ammonia_toxicity,19,2,0.325
SVM,2,warning_biogas_quality,19,3,0.7192982456140351
SVM,3,warning_acid_base_balance,23,2,0.41666666666666663
SVM,3,warning_buffer_capacity,23,1,0.3333333333333333
SVM,3,warning_acid_accumulation,23,0,
SVM,3,warning_ammonia_toxicity,23,5,0.5742424242424242
SVM,3,warning_biogas_quality,23,0,
SVM,4,warning_acid_base_balance,20,3,0.4666666666666666
SVM,4,warning_buffer_capacity,20,2,0.11805555555555555
SVM,4,warning_acid_accumulation,20,2,0.10555555555555556
SVM,4,warning_ammonia_toxicity,20,6,0.22889343771696713
SVM,4,warning_biogas_quality,20,0,
SVM,5,warning_acid_base_balance,23,4,0.69375
SVM,5,warning_buffer_capacity,23,1,0.1111111111111111
SVM,5,warning_acid_accumulation,23,0,
SVM,5,warning_ammonia_toxicity,23,5,0.6699999999999999
SVM,5,warning_biogas_quality,23,1,1.0
XGBoost,1,warning_acid_base_balance,24,2,0.29166666666666663
XGBoost,1,warning_buffer_capacity,24,2,0.09545454545454546
XGBoost,1,warning_acid_accumulation,24,0,
XGBoost,1,warning_ammonia_toxicity,24,4,0.8928571428571428
XGBoost,1,warning_biogas_quality,24,1,0.058823529411764705
XGBoost,2,warning_acid_base_balance,19,4,0.24318181818181814
XGBoost,2,warning_buffer_capacity,19,2,0.11513157894736842
XGBoost,2,warning_acid_accumulation,19,1,0.25
XGBoost,2,warning_ammonia_toxicity,19,2,0.8333333333333333
XGBoost,2,warning_biogas_quality,19,3,0.2686868686868687
XGBoost,3,warning_acid_base_balance,23,2,0.15000000000000002
XGBoost,3,warning_buffer_capacity,23,1,0.047619047619047616
XGBoost,3,warning_acid_accumulation,23,0,
XGBoost,3,warning_ammonia_toxicity,23,5,0.9666666666666666
XGBoost,3,warning_biogas_quality,23,0,
XGBoost,4,warning_acid_base_balance,20,3,0.6333333333333333
XGBoost,4,warning_buffer_capacity,20,2,0.10049019607843138
XGBoost,4,warning_acid_accumulation,20,2,0.1
XGBoost,4,warning_ammonia_toxicity,20,6,0.915079365079365
XGBoost,4,warning_biogas_quality,20,0,
XGBoost,5,warning_acid_base_balance,23,4,0.8125
XGBoost,5,warning_buffer_capacity,23,1,0.09090909090909091
XGBoost,5,warning_acid_accumulation,23,0,
XGBoost,5,warning_ammonia_toxicity,23,5,0.4023809523809524
XGBoost,5,warning_biogas_quality,23,1,0.043478260869565216
GLMNET,1,warning_acid_base_balance,24,2,0.2121212121212121
GLMNET,1,warning_buffer_capacity,24,2,0.08712121212121213
GLMNET,1,warning_acid_accumulation,24,0,
GLMNET,1,warning_ammonia_toxicity,24,4,0.6666666666666666
GLMNET,1,warning_biogas_quality,24,1,0.5
GLMNET,2,warning_acid_base_balance,19,4,0.18621001031991744
GLMNET,2,warning_buffer_capacity,19,2,0.21929824561403508
GLMNET,2,warning_acid_accumulation,19,1,0.058823529411764705
GLMNET,2,warning_ammonia_toxicity,19,2,0.325
GLMNET,2,warning_biogas_quality,19,3,0.7916666666666666
GLMNET,3,warning_acid_base_balance,23,2,0.09545454545454546
GLMNET,3,warning_buffer_capacity,23,1,0.047619047619047616
GLMNET,3,warning_acid_accumulation,23,0,
GLMNET,3,warning_ammonia_toxicity,23,5,0.5976190476190476
GLMNET,3,warning_biogas_quality,23,0,
GLMNET,4,warning_acid_base_balance,20,3,0.3444444444444444
GLMNET,4,warning_buffer_capacity,20,2,0.1625
GLMNET,4,warning_acid_accumulation,20,2,0.19642857142857142
GLMNET,4,warning_ammonia_toxicity,20,6,0.47440476190476194
GLMNET,4,warning_biogas_quality,20,0,
GLMNET,5,warning_acid_base_balance,23,4,0.75
GLMNET,5,warning_buffer_capacity,23,1,0.09090909090909091
GLMNET,5,warning_acid_accumulation,23,0,
GLMNET,5,warning_ammonia_toxicity,23,5,0.6033333333333333
GLMNET,5,warning_biogas_quality,23,1,0.5
