model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
SVM,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.181547127622979,0.2930649144349068,3,5,2,1,1,77.33333333333333,0.0983488155477946,0.3333333333333333,0.6666666666666666
NNET,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.1736767572526086,0.3008169676553246,3,5,1,1,1,89.33333333333333,0.0611131114985146,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.1588977072310405,0.2680344116965448,3,5,2,2,2,48.66666666666666,0.0652075020651254,0.6666666666666666,0.6666666666666666
GLMNET,warning_biogas_quality,2.0,BAC_G::Bacteroides,Bacteria,0.1534481721981722,0.2591927017943632,3,5,2,2,2,48.0,0.0026273653239845,0.6666666666666666,0.6666666666666666
SVM,warning_biogas_quality,2.0,ARC_G::Methanosaeta,Archaea,0.1309126984126984,0.1909347283333994,3,5,2,2,2,48.66666666666666,0.0928064304582966,0.6666666666666666,0.6666666666666666
XGBoost,warning_acid_base_balance,1.0,BAC_P::Spirochaetota,Bacteria,0.1298357095261119,0.1438775467043875,5,5,4,4,4,56.0,0.0855653835140354,0.8,0.8
SVM,warning_biogas_quality,3.0,BAC_P::Chloroflexi,Bacteria,0.1291666666666666,0.2129896319855343,3,5,2,1,2,53.66666666666666,0.0814479706918751,0.3333333333333333,0.6666666666666666
SVM,warning_biogas_quality,4.0,BAC_P::Actinobacteriota,Bacteria,0.124074074074074,0.1959728292244582,3,5,2,2,2,57.833333333333336,0.0935600702870883,0.6666666666666666,0.6666666666666666
NNET,warning_acid_base_balance,1.0,BAC_G::Lactobacillus,Bacteria,0.1206203928939997,0.2697153979837159,5,5,1,1,1,90.5,0.0120252007249404,0.2,0.2
XGBoost,warning_ammonia_toxicity,1.0,BAC_P::Firmicutes,Bacteria,0.1196010765893892,0.1363442282850326,5,5,4,4,4,56.0,0.1298179084893166,0.8,0.8
SVM,warning_acid_base_balance,1.0,BAC_G::Lactobacillus,Bacteria,0.117828726227333,0.263473041546529,5,5,1,1,1,121.3,0.0172782540437377,0.2,0.2
SVM,warning_biogas_quality,5.0,ARC_P::Halobacterota,Archaea,0.1125,0.1841364982832029,3,5,2,1,2,54.66666666666666,0.0889644417935874,0.3333333333333333,0.6666666666666666
SVM,warning_buffer_capacity,1.0,BAC_G::Lactobacillus,Bacteria,0.1092655228758169,0.2443251367473851,5,5,1,1,1,101.7,0.0249443621433163,0.2,0.2
SVM,warning_buffer_capacity,2.0,BAC_P::Armatimonadota,Bacteria,0.0789325396825396,0.1763044853534043,5,5,2,1,1,84.7,0.0273885223465483,0.2,0.4
GLMNET,warning_acid_base_balance,1.0,ARC_G::Methanimicrococcus,Archaea,0.0784180472305472,0.1753480842702927,5,5,1,1,1,114.5,0.0131184444348837,0.2,0.2
KNN,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.0642836257309941,0.1113425058608239,3,5,1,1,1,92.5,0.0766175746831882,0.3333333333333333,0.3333333333333333
NNET,warning_acid_base_balance,2.0,ARC_G::Methanimicrococcus,Archaea,0.0642210844710844,0.1454732611605723,5,5,1,1,1,121.6,0.0143499699229915,0.2,0.2
SVM,warning_acid_base_balance,2.0,ARC_G::Methanimicrococcus,Archaea,0.0624138084138084,0.1395615183479239,5,5,1,1,1,134.3,0.020608724656608,0.2,0.2
GLMNET,warning_biogas_quality,3.0,BAC_P::Actinobacteriota,Bacteria,0.0613215488215488,0.0889450161888772,3,5,2,2,2,47.333333333333336,0.0386389078706048,0.6666666666666666,0.6666666666666666
XGBoost,warning_acid_accumulation,1.0,substrate_avg_TVFAs,Metadata: substrate,0.0604632867132867,0.085508000095583,2,5,1,1,1,69.75,0.0394380179140989,0.5,0.5
RandomForest,warning_acid_base_balance,1.0,BAC_P::Spirochaetota,Bacteria,0.0570555445371621,0.0395259812816278,5,5,4,4,4,55.8,0.0712870853377588,0.8,0.8
GLMNET,warning_ammonia_toxicity,1.0,BAC_G::Keratinibaculum,Bacteria,0.0545183982683982,0.1219068445525453,5,5,1,1,1,123.3,0.0202428405340061,0.2,0.2
KNN,warning_buffer_capacity,1.0,BAC_G::Pseudomonas,Bacteria,0.0527149122807017,0.1178741272875876,5,5,1,1,1,111.4,0.0330312093630339,0.2,0.2
SVM,warning_biogas_quality,13.0,substrate_avg_pH,Metadata: substrate,0.0499999999999999,0.0866025403784438,3,5,1,0,1,106.5,0.0783603909969378,0.0,0.3333333333333333
NNET,warning_ammonia_toxicity,1.0,ARC_G::Methanimicrococcus,Archaea,0.0461274225774225,0.1031440525099753,5,5,1,1,1,120.4,0.0242382930697512,0.2,0.2
SVM,warning_biogas_quality,16.0,ARC_G::unidentified,Archaea,0.0458333333333333,0.0793856620135735,3,5,1,0,1,107.16666666666669,0.0832236119778712,0.0,0.3333333333333333
KNN,warning_ammonia_toxicity,1.0,substrate_avg_VS,Metadata: substrate,0.0447738095238095,0.0796086213696223,5,5,2,2,2,81.3,0.0179091647867741,0.4,0.4
SVM,warning_ammonia_toxicity,1.0,ARC_G::Methanimicrococcus,Archaea,0.0427647019647019,0.0956247806305923,5,5,1,1,1,117.2,0.0250829346758835,0.2,0.2
GLMNET,warning_ammonia_toxicity,2.0,BAC_G::W5053,Bacteria,0.0427069555143858,0.060936922313416,5,5,3,3,3,60.6,0.0151663064559953,0.6,0.6
SVM,warning_biogas_quality,19.0,substrate_avg_COD,Metadata: substrate,0.0425,0.0714580296397822,3,5,2,0,1,71.0,0.0777703896823861,0.0,0.6666666666666666
SVM,warning_acid_base_balance,3.0,BAC_G::Guggenheimella,Bacteria,0.0416148414494002,0.0481682249328037,5,5,4,3,3,46.4,0.0457043650248793,0.6,0.8
SVM,warning_acid_base_balance,4.0,BAC_G::Alkaliphilus,Bacteria,0.0407583157583157,0.0592068162074032,5,5,4,2,2,43.1,0.0242443172054994,0.4,0.8
XGBoost,warning_ammonia_toxicity,2.0,ARC_G::Methanosarcina,Archaea,0.0406845238095238,0.089072389006227,5,5,2,2,2,84.0,0.0254062277724095,0.4,0.4
RandomForest,warning_biogas_quality,1.0,BAC_P::Actinobacteriota,Bacteria,0.0406229686845628,0.0680273277776081,3,5,2,2,2,42.0,0.0170466004400472,0.6666666666666666,0.6666666666666666
GLMNET,warning_ammonia_toxicity,3.0,ARC_G::Methanimicrococcus,Archaea,0.0396799866799866,0.0887271475627363,5,5,1,1,1,122.3,0.0194814005585039,0.2,0.2
NNET,warning_biogas_quality,2.0,BAC_G::Bacteroides,Bacteria,0.0392251461988304,0.0631897780012127,3,5,2,1,1,70.33333333333333,0.0088398209279761,0.3333333333333333,0.6666666666666666
