model,target,mean_spearman,mean_top10_jaccard,evaluable_fold_pairs
GLMNET,warning_acid_accumulation,-0.0016381013988194355,0.0,1
GLMNET,warning_acid_base_balance,0.009509839385337634,0.06150670794633643,10
GLMNET,warning_ammonia_toxicity,0.1515355939923933,0.1636437908496732,10
GLMNET,warning_biogas_quality,0.1468367064463333,0.12222222222222223,3
GLMNET,warning_buffer_capacity,0.02675144600381041,0.1284704408079021,10
KNN,warning_acid_accumulation,,,0
KNN,warning_acid_base_balance,0.008911556252959271,0.07205882352941176,6
KNN,warning_ammonia_toxicity,-0.009977978336457655,0.0365079365079365,10
KNN,warning_biogas_quality,-0.0052085832877104676,0.0,1
KNN,warning_buffer_capacity,-0.11212432631132961,0.01680672268907563,3
NNET,warning_acid_accumulation,-0.032397138814860865,0.0,1
NNET,warning_acid_base_balance,0.07097796732670736,0.034090909090909095,10
NNET,warning_ammonia_toxicity,0.042566144472682386,0.09614723082215341,10
NNET,warning_biogas_quality,0.02410429872498658,0.017543859649122806,3
NNET,warning_buffer_capacity,0.04058894004883923,0.03957688338493292,10
RandomForest,warning_acid_accumulation,-0.060867625990564826,0.0,1
RandomForest,warning_acid_base_balance,0.041279727519994314,0.16471055088702147,10
RandomForest,warning_ammonia_toxicity,-0.07645172688158691,0.05465580171462524,10
RandomForest,warning_biogas_quality,-0.02673140423736377,0.037037037037037035,3
RandomForest,warning_buffer_capacity,-0.038266529637796656,0.1378360730257015,10
SVM,warning_acid_accumulation,-0.0038043658996198566,0.0,1
SVM,warning_acid_base_balance,0.01897414216305442,0.05894835127033269,10
SVM,warning_ammonia_toxicity,-0.06081148011798441,0.08360994397759103,10
SVM,warning_biogas_quality,0.10545307500767477,0.04415954415954416,3
SVM,warning_buffer_capacity,0.007629103088965622,0.06787280701754386,10
XGBoost,warning_acid_accumulation,,0.0,0
XGBoost,warning_acid_base_balance,0.03829870849991607,0.2505905205905206,10
XGBoost,warning_ammonia_toxicity,0.028754923928891146,0.31626984126984126,10
XGBoost,warning_biogas_quality,-0.050909551617785105,0.13333333333333333,3
XGBoost,warning_buffer_capacity,0.03698210307547689,0.2744899544899545,10
