scope,block,feature,taxon,training_top_count,evaluation_top_count
final_training_union,BAC_P,BAC_P::Abditibacteriota,Abditibacteriota,1,0
final_training_union,BAC_P,BAC_P::Acetothermia,Acetothermia,1,5
final_training_union,BAC_P,BAC_P::Acidobacteriota,Acidobacteriota,21,8
final_training_union,BAC_P,BAC_P::Actinobacteriota,Actinobacteriota,67,17
final_training_union,BAC_P,BAC_P::Armatimonadota,Armatimonadota,2,0
final_training_union,BAC_P,BAC_P::Bacteroidota,Bacteroidota,109,29
final_training_union,BAC_P,BAC_P::Bdellovibrionota,Bdellovibrionota,1,0
final_training_union,BAC_P,BAC_P::Caldatribacteriota,Caldatribacteriota,39,9
final_training_union,BAC_P,BAC_P::Caldisericota,Caldisericota,12,4
final_training_union,BAC_P,BAC_P::Campilobacterota,Campilobacterota,2,2
final_training_union,BAC_P,BAC_P::Chloroflexi,Chloroflexi,52,16
final_training_union,BAC_P,BAC_P::Cloacimonadota,Cloacimonadota,107,26
final_training_union,BAC_P,BAC_P::Coprothermobacterota,Coprothermobacterota,7,0
final_training_union,BAC_P,BAC_P::Cyanobacteria,Cyanobacteria,2,0
final_training_union,BAC_P,BAC_P::Deinococcota,Deinococcota,2,1
final_training_union,BAC_P,BAC_P::Dependentiae,Dependentiae,5,2
final_training_union,BAC_P,BAC_P::Desulfobacterota,Desulfobacterota,73,28
final_training_union,BAC_P,BAC_P::Elusimicrobiota,Elusimicrobiota,2,0
final_training_union,BAC_P,BAC_P::Fermentibacterota,Fermentibacterota,8,3
final_training_union,BAC_P,BAC_P::Fibrobacterota,Fibrobacterota,1,0
final_training_union,BAC_P,BAC_P::Firmicutes,Firmicutes,109,29
final_training_union,BAC_P,BAC_P::Fusobacteriota,Fusobacteriota,1,0
final_training_union,BAC_P,BAC_P::Halanaerobiaeota,Halanaerobiaeota,2,0
final_training_union,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),5,1
final_training_union,BAC_P,BAC_P::Patescibacteria,Patescibacteria,15,3
final_training_union,BAC_P,BAC_P::Planctomycetota,Planctomycetota,15,0
final_training_union,BAC_P,BAC_P::Proteobacteria,Proteobacteria,92,27
final_training_union,BAC_P,BAC_P::Spirochaetota,Spirochaetota,91,21
final_training_union,BAC_P,BAC_P::Synergistota,Synergistota,93,20
final_training_union,BAC_P,BAC_P::Thermotogota,Thermotogota,65,12
final_training_union,BAC_P,BAC_P::Verrucomicrobiota,Verrucomicrobiota,70,18
final_training_union,BAC_P,BAC_P::WS1,WS1,2,0
final_training_union,BAC_P,BAC_P::unidentified,unidentified,16,8
final_training_union,BAC_G,BAC_G::009E01-B-SD-P15,009E01-B-SD-P15,14,6
final_training_union,BAC_G,BAC_G::113B434,113B434,1,0
final_training_union,BAC_G,BAC_G::AAP99,AAP99,4,4
final_training_union,BAC_G,BAC_G::ADurb.Bin063-1,ADurb.Bin063-1,6,5
final_training_union,BAC_G,BAC_G::ADurb.Bin120,ADurb.Bin120,3,2
final_training_union,BAC_G,BAC_G::AKYH767,AKYH767,2,1
final_training_union,BAC_G,BAC_G::AUTHM297,AUTHM297,2,0
final_training_union,BAC_G,BAC_G::Acetobacter,Acetobacter,1,0
final_training_union,BAC_G,BAC_G::Acetomicrobium,Acetomicrobium,12,0
final_training_union,BAC_G,BAC_G::Acetothermiia,Acetothermiia,1,8
final_training_union,BAC_G,BAC_G::Acholeplasma,Acholeplasma,35,7
final_training_union,BAC_G,BAC_G::Acidovorax,Acidovorax,3,3
final_training_union,BAC_G,BAC_G::Acinetobacter,Acinetobacter,2,0
final_training_union,BAC_G,BAC_G::Actinomyces,Actinomyces,4,0
final_training_union,BAC_G,BAC_G::Aeriscardovia,Aeriscardovia,1,0
final_training_union,BAC_G,BAC_G::Alkaliphilus,Alkaliphilus,20,1
final_training_union,BAC_G,BAC_G::Aminicenantales,Aminicenantales,9,5
final_training_union,BAC_G,BAC_G::Aminobacterium,Aminobacterium,8,0
final_training_union,BAC_G,BAC_G::Anaerococcus,Anaerococcus,2,0
