SampleID,bc22acbc6a8407cc340e8bb6c6842074,7f90457e0b5af1edd82418cb3c9089b4,1a8e3305231911ff8307602f1d620be0,4194fdb699f4d5c9620e1e7cfb8b009b,fc0651422f017372960928f220b834d7,7029dd7b1fe970d81fbff18315097ae2,d2eae9eee73c95835ab2e47bc463c38e,381cc4167053f528de8e10567d4a509e,8995879a30350364c8d6147a828733ee,de0cc0fb4800458938f4508ae73d22a4,a4b21ca3dc01eada0962e57c2fded727,9b62d6c84b96aa64eaeff3b764d77da1,a2ff073fb23039e822fba8a653a34527,b980bbc29499a5ae07b6c0afaccc728a,d43d3c9dc33aa66b585a098fc7709276,88fa6e2c26361b8b7ca8a72ae1ed781f,19d2984a92774f1291ebc1812f80368c,29605d99f5fbd1bb2e4a490a00b4d349,87078040a976e7ceb82734c0713fd4e2,52856184ae551af1f787a0e2cabeb489,02bc9f1c8263ce565cfa8174b56af2de,5cb290154506065751d3f3dcb3bd6e49,7fb850c5cd377da752f7b081daed5032,39003a99b6f7d9f46b1d35054fb105a4,ff2ddcb0273425f900af1f8d1b4d90a8,5b100fa0f8a80a2787b1ce75da347c96,783749c187ad3cb6e60ccecdd73fd8ef,9d23b3373cdd04079b0a346a91fddab8,58de505db56b2250b12c7cd7ec5bfa50,1050f5391c721945e2d13b52590863c8,d939e81b4199d074f14d7056eaa88d14,c83d66ff9b2828b3f564019f4b9c54a4,9a4d00f3f8a14dc8f2ff7fabf04f6ebb,98eadfe35eb7a1fc42331d68785b272e,925f2beecb4475f754479219e21c2da2,6d34ed1cd41fa02613b0316716db2dfd,25f31a7f3499828c16d4648976563910,02fa96f8e560df1558be520ea8974c36,52e86b2d78a48335b0ca8ebd5a0a8e33,12041ed58f0b14a5efb2687b72fc5883,f564537bd84fc6fc7664934190ec6824,ca8d0a8123dfcdaed30eb0c534b00db9,023699ea1718b4d160d27803ec78b3b8,e5f52b2c18e6f178fcc24bed0ff62f5b,a6cdde7256831dcfab80f676aa3f4af1,c4a2579e95fee657cb355e865aa027af,457c4253db2b49c51b3eee5a91a8c3e2,a875c453fc275b8f21ef13228c53d599,42a47c900cdc49f94a53eed8c41f0e26,3b768ad6b26d688837b3511e5d2316d2,eb0898e38a817c5648a19a5e3db2c1be,327914bbcbfe425fb2d5caaf9d8688a1,d7c555c6a185de9a0a44e98fb0be730d,ebb611e11f12869b1c6a129b7874f35c,5a72697a45f01e085759fa49e855d45e,55b24a137213d3162da4cfe59b919eb1,db32f914db89e6f6b0fe7d66afc46ba1,314b1f98dcfc0e5d25ba5e55d8b6ee76,aa2edf44a5b107222a97023841eea577,286ed5db3cf03aacbcee204d7d08e47a,abb98aa85e9528ef54e3078ff40ac726,ed701a469132c0a7dd6f90e9c705bdd0,c17275cccc27dc9a4ab351a310c063c8,7d08e012440864f4bdcbe45b245d6018,50a53e82bd7a1073e097d99b1c09ea4d,3aeb85bc05fe3a36283129a1ffeabb08,fe290f48286b86b1ae833009c9bf64a2,f96d60fc409a6ea2fa0d7f4982a9074a,7f9baea74fd8c885613b0289b667b7ef,cc5fece67be5e3c11717192e70c80cda,808302d4e71aa7321e30e37e3c206b34,6a00550a934a2665f470eeec33616366,4640abb4e57a2e5406a094ea8c767b29,Group
1-1,0.0,0.011771532786205753,0.0,0.0014921661278288984,0.0,0.0,0.0,0.0,0.009367487358036972,0.0,0.0,0.0,0.0,0.0,0.0,0.0025698416645942137,0.0,0.0,0.0014921661278288984,0.0,0.0013263698914034651,0.0,0.0,0.0,0.010776755367653153,0.0,0.005388377683826577,0.0,0.0,0.0,0.0,0.0,0.022631186272071623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024040454281687804,0.004642294619912128,0.0,0.0,0.0,0.0,0.004973887092762994,0.0,0.0,0.004808090856337561,0.010279366658376855,0.0,0.0,0.0,0.0,0.0,0.001740860482467048,0.0,0.002321147309956064,0.0,0.9018486280361436,0.0,0.0,0.0,0.0,0.0,0.00016579623642543314,0.0,0.0,Normal
1-10,0.013815933464653096,0.0,0.004951849420004377,0.007332020135697089,0.0,0.04246005690523091,8.207485226526592e-05,0.0016688553293937405,0.0028179032611074634,0.0005745239658568615,0.0,0.0,0.007058437294812869,0.01190085357846356,0.004842416283650689,0.008535784635587657,0.004213175749616984,0.0,0.0023528124316042898,0.0028179032611074634,0.001066973079448457,0.008672576056029765,0.009602757715036114,0.0,0.0,0.0,0.01482818997592471,0.0024075289997811337,0.0069216458743707595,0.0037480849201138103,0.0,0.011846137010286716,0.0,0.0006565988181221273,0.00013679142044210988,0.0035565769314948566,0.0,0.00013679142044210988,0.0,0.010998030203545634,0.0,0.0,0.0012311227839789888,0.003064127817903261,0.007167870431166557,0.011846137010286716,0.0,0.242804771284745,0.014417815714598381,0.030723353031297876,0.01025935653315824,0.0668636463121033,0.005690523090391771,0.0016688553293937405,0.0014226307725979427,0.0016414970453053185,0.0005745239658568615,0.0001094331363536879,0.0069490041584591815,0.005389581965419129,0.2955515430072226,0.0009575399430947691,0.011189538192164587,0.0,0.0,0.0018056467498358503,0.03674217553075071,0.005690523090391771,0.00027358284088421976,0.0,0.0,0.04536003501860363,0.0006018822499452834,Normal
1-11,0.018007160327531815,0.0,0.006522278543830421,0.0048562617418737375,0.0,0.0695118925241927,0.01244195526567651,0.0020204884619474672,0.00152422813796037,0.0,0.0,0.0,0.05285172450462586,0.01265463826167098,0.0020559356279465455,0.004643578745879267,0.003580163765906916,0.0,0.0007443904859806459,0.0070894331998156744,0.00304845627592074,0.009074474495764064,0.006734961539824891,0.0013824394739640567,0.0,0.0,0.010634149799723512,0.0013824394739640567,0.004501790081882954,0.0017723582999539186,0.0,0.0701499415121761,0.0,0.00035447165999078373,0.0,0.011803906277693099,0.0009925206479741945,0.0,0.0,0.022757080571408315,3.5447165999078376e-05,0.0,0.13753500407642408,0.00010634149799723511,0.0012052036439686648,0.007053986033816596,0.0,0.2909503385204353,0.0,0.010917727127716138,0.006557725709829499,0.10003190244939918,0.028251391301265465,0.001417886639963135,0.0013115451419658999,0.004111871255893091,0.0007798376519797242,3.5447165999078376e-05,0.00609691255184148,0.0031547977739179753,0.006167806883839637,0.0019141469639502322,0.007124880365814753,0.0,0.0,0.0,0.014994151217610153,0.0070894331998156744,0.0006380489879834107,0.0,0.0,0.019318705469497714,0.00010634149799723511,Normal
1-11b,0.03387589013224822,0.0,0.008646998982706003,0.002950152594099695,0.0,0.03397761953204476,0.011495422177009156,0.0019328585961342828,0.001525940996948118,0.0,0.0,0.0,0.061648016276703965,0.0,0.0017293997965412004,0.005696846388606307,0.0017293997965412004,0.0,0.0022380467955239063,0.007121057985757884,0.004170905391658189,0.011088504577822992,0.010783316378433367,0.0021363173957273654,0.0,0.0,0.009155645981688708,0.002034587995930824,0.004170905391658189,0.0,0.00254323499491353,0.04801627670396744,0.0,0.000508646998982706,0.0,0.014038657171922686,0.0,0.0001017293997965412,0.0,0.030010172939979655,0.0001017293997965412,0.0,0.14852492370295015,0.0002034587995930824,0.005493387589013225,0.004984740590030519,0.0,0.33316378433367244,0.0,0.01180061037639878,0.0046795523906408955,0.06734486266531027,0.03458799593082401,0.0,0.004170905391658189,0.0048830111902339775,0.0009155645981688708,0.0,0.008138351983723296,0.013326551373346898,0.006307222787385555,0.0023397761953204478,0.00590030518819939,0.0,0.0,0.0,0.009766022380467955,0.007934893184130213,0.0022380467955239063,0.0,0.0,0.008240081383519837,0.0016276703967446592,Normal
1-12,0.0,0.0,0.0,0.0004886988393402566,0.0,0.0017715332926084302,0.0,0.0,0.0018937080024434942,0.0,0.0037874160048869884,0.0009773976786805131,0.0,0.0,6.108735491753207e-05,0.0018937080024434942,0.0,0.005558949297495419,0.08436163714111179,0.0,0.0,0.00018326206475259622,0.0007330482590103849,0.0,0.0,0.0,0.0020158827122785583,0.0,0.0014050091631032375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015027489309712889,0.0,0.0,0.0,0.0,0.0,0.0,0.7836896762370189,0.0011606597434331094,0.0,0.004459376908979841,0.0,0.0,0.0013439218081857055,0.0012828344532681735,0.0,0.0,0.03213194868662187,0.0,0.0,0.01594379963347587,0.0,0.0,0.002443494196701283,0.0,0.0020158827122785583,0.0,0.0,0.0,0.0005497861942577886,6.108735491753207e-05,0.0,0.027306047648136836,0.002871105681124007,0.0,0.004581551618814905,Normal
1-13,0.0,0.0,0.0,0.0025545982768984173,0.007814065317571629,0.0007513524343818874,0.00045081146062913246,0.0,0.014576237227008616,0.024143458224804647,0.0,0.0,0.008865958725706271,0.0,0.0,0.0034061310358645563,0.0019535163293929072,0.0018533360048086556,0.4496092967341214,0.002304147465437788,0.0,0.0,0.009617311160088158,0.0,0.0008014425966740132,0.0,0.005209376878381086,0.0,0.003105590062111801,0.0,0.0012021638950110197,0.16559807653776798,0.001152073732718894,0.0,0.0,0.0021538769785614106,0.0,0.0,0.0,0.0013023442195952714,0.0,0.02013624524143458,0.0,0.0,0.011921458625525946,0.003806852334201563,0.011821278300941694,0.006060909637347225,0.0,0.0,0.0033059507112803044,0.0,0.0,0.006561811260268483,0.004758565417751954,0.0,0.0,0.0,0.0,0.0,0.20541975556000802,0.0,0.00395712282107794,0.007563614506111,0.0005009016229212583,0.0,0.00576036866359447,0.0,0.0,0.0,0.0,0.0,0.0,Normal
1-14,0.0,0.03477905073649754,0.0,0.0032733224222585926,0.0,0.0,0.0,0.0,0.5920621931260229,0.0,0.11439092822071545,0.0,0.0,0.0,0.0,0.002338087444470423,0.0,0.0,0.0019289221416880992,0.0,0.0007014262333411269,0.0,0.0,0.0,0.03133037175590367,0.0,0.005669862052840776,0.0,0.0036824877250409165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013444002805704934,0.003740939911152677,0.0,0.003624035538929156,0.0,0.0,0.00397474865559972,0.0,0.0,0.0019289221416880992,0.0033317746083703532,0.0,0.0,0.0,0.0,0.0,0.0011690437222352116,0.0,0.004091653027823241,0.0,0.18558569090483984,0.00011690437222352116,0.0009352349777881693,0.0,0.0,0.0,0.0,0.0,0.0,Normal
1-17,0.0,0.0,0.0,0.0019237243303034674,0.0011542345981820806,0.0,0.0,4.809310825758669e-05,0.002116096763333814,0.0010099552734093205,0.0,0.002212282979848988,0.03712787957485692,0.0,0.0,0.002164189871591401,0.002019910546818641,0.004328379743182802,0.2525369114605877,0.0015870725725003606,0.0003366517578031068,0.000769489732121387,0.0033184244697734813,0.0,0.0,0.013466070312124273,0.0035588900110614147,0.0,0.0024046554128793344,0.0,0.0010099552734093205,0.0,0.001538979464242774,0.0,0.0,0.0,0.0,0.00841629394507767,0.0,0.0,0.0,0.0,0.0,0.0,0.38561054200933004,0.003126052036743135,0.006588755831289376,0.027124513057278893,0.0,0.0012985139229548406,0.0024046554128793344,0.0,0.0,0.0014427932477276007,0.008608666378108016,0.0,0.0,0.011398066657048045,0.0,0.0,0.1839561390852691,0.0,0.0028374933871976146,0.0,0.0,0.0,0.004472659067955562,0.0009618621651517337,0.0016351656807579475,0.013033232337805992,0.002452748521136921,0.0,0.0,Normal
1-18,0.0,0.0,0.0049071726506910935,0.003189662222949211,0.0,0.0,0.0,0.0002453586325345547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022900139036558438,0.0,0.0,0.11163817780322238,0.0017992966385867342,0.0006542896867588124,0.021591559663040813,0.009323628036313078,0.0,0.0034350208554837654,0.029606608325836264,0.005888607180829312,0.0008178621084485156,0.003189662222949211,0.0,0.0,0.0,0.0,0.0,0.0023718001145006952,0.04301954690439192,0.0,0.0,0.0,0.022327635560644474,8.178621084485155e-05,0.0,0.0,0.0,0.0,0.0024535863253455467,0.0,0.6459474932526376,0.0,0.0,0.0034350208554837654,0.01627545595812546,0.0,0.0032714484337940625,0.0,0.0,0.0,0.0,0.0,0.0,0.004825386439846242,0.0012267931626727734,0.0034350208554837654,0.017011531855729123,0.0,0.0,0.010632207409830702,0.015130449006297538,0.004334669174777132,0.0025353725361903982,0.0,0.0,0.003107876012104359,Normal
1-2,0.0,0.0,0.0,0.0011324173335346519,0.01185263475766269,0.0,0.0,0.0004529669334138608,0.0,0.002491318133776234,0.0,0.0,0.0,0.0,0.0,0.0013589008002415823,0.0009814283557300317,0.0,0.0573758115657557,0.0,0.38170013589008,0.0,0.0,0.0010569228446323418,0.00015098897780462027,0.0012834063113392722,0.0037747244451155067,0.0,0.0,0.0,0.0006039559112184811,0.38736222255775327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014268458402536615,0.0,0.0,0.006794504001207912,0.0024158236448739243,0.0,0.00558659217877095,0.0,0.006719009512305601,0.001736373244753133,0.0,0.0,0.0030197795560924054,0.0013589008002415823,0.0,0.0,0.0,0.0,0.0,0.10018118677336554,0.0,0.0020383512003623737,0.004303185867431678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
