SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,F00035,F00036,F00037,F00038,F00039,F00040,F00041,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,18.0,0.0,0.0,65.0,0.0,2.0,31.0,0.0,27.0,21.0,0.0,0.0,0.0,11390.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,29.0,0.0,16.0,273.0,0.0,18.0,0.0,0.0,0.0,28.0,56.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,0,1,0,0
1-10,154.0,268.0,60.0,253.0,542.0,10.0,0.0,312.0,24.0,358.0,11479.0,1835.0,0.0,0.0,237.0,1015.0,433.0,66.0,1552.0,269.0,1184.0,103.0,0.0,702.0,14220.0,0.0,39.0,24.0,30.0,5050.0,0.0,0.0,0.0,409.0,433.0,182.0,37.0,208.0,21.0,112.0,375.0,0.0,0,0,0,0,0
1-11,101.0,137.0,116.0,127.0,300.0,18.0,0.0,131.0,10.0,214.0,224.0,603.0,0.0,0.0,120.0,4588.0,1979.0,0.0,1961.0,89.0,365.0,200.0,0.0,597.0,11561.0,0.0,86.0,43.0,39.0,4753.0,0.0,0.0,0.0,201.0,199.0,152.0,92.0,797.0,22.0,3.0,185.0,1.0,0,0,0,0,0
1-11b,17.0,29.0,48.0,41.0,90.0,22.0,0.0,56.0,5.0,114.0,62.0,98.0,0.0,0.0,56.0,1573.0,472.0,0.0,334.0,31.0,135.0,70.0,0.0,464.0,4517.0,1.0,41.0,25.0,21.0,1474.0,0.0,0.0,44.0,58.0,49.0,0.0,45.0,340.0,9.0,2.0,46.0,1.0,0,0,0,0,0
1-12,0.0,8.0,0.0,23.0,33.0,0.0,47.0,31.0,0.0,12.0,40.0,1.0,138.0,0.0,1004.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,13413.0,0.0,0.0,91.0,0.0,1486.0,16.0,0.0,0.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0,0,1,0,0
1-13,39.0,51.0,0.0,62.0,104.0,0.0,0.0,68.0,0.0,207.0,4298.0,0.0,0.0,0.0,1186.0,9.0,3306.0,0.0,15.0,0.0,0.0,448.0,5.0,0.0,542.0,37.0,0.0,84.0,0.0,9646.0,0.0,156.0,0.0,79.0,76.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,0,1,0,0
1-14,0.0,56.0,0.0,63.0,97.0,0.0,0.0,40.0,0.0,9.0,20.0,0.0,1957.0,0.0,15784.0,0.0,0.0,2.0,0.0,0.0,595.0,0.0,0.0,0.0,85.0,0.0,12.0,0.0,0.0,49.0,0.0,0.0,0.0,70.0,64.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0,0,0,0,0
1-15,29.0,56.0,1.0,77.0,125.0,0.0,0.0,69.0,0.0,92.0,4438.0,0.0,0.0,0.0,614.0,2350.0,14.0,0.0,0.0,0.0,518.0,10.0,0.0,0.0,4203.0,0.0,0.0,49.0,670.0,3638.0,0.0,32.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0,0,0,0,0
1-16,43.0,37.0,3.0,42.0,94.0,41.0,0.0,46.0,0.0,38.0,0.0,0.0,0.0,0.0,131.0,2274.0,0.0,0.0,0.0,12.0,200.0,19.0,0.0,170.0,2437.0,0.0,13.0,40.0,30.0,1777.0,5.0,0.0,0.0,53.0,59.0,0.0,9.0,159.0,0.0,0.0,33.0,0.0,0,0,0,0,0
1-17,42.0,40.0,0.0,50.0,74.0,34.0,51.0,45.0,0.0,69.0,3825.0,0.0,0.0,23.0,545.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,0.0,0.0,9810.0,0.0,7.0,143.0,280.0,5585.0,46.0,24.0,0.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0,0,0,0,0
