bacterium,archaeon,rho_conditioned,rho_raw,q,patristic_distance
F00067,F00309,0.6065334974166021,0.6629595720440469,5.1282023456753685e-05,1.07900647
F00167,F00182,0.5418560740109911,0.7376052823244414,5.1282023456753685e-05,1.1890991100000001
F00032,F00114,0.5249378409046803,0.9118927644301569,5.1282023456753685e-05,1.4269470700000002
F00137,F00182,0.516006109742482,0.7074218758918603,5.1282023456753685e-05,1.1710233700000001
F00144,F00114,0.5135813913134804,0.8790426243581457,5.1282023456753685e-05,1.1050151099999999
F00040,F00114,0.5118918511652117,0.9356878825723929,5.1282023456753685e-05,1.4024978899999998
F00169,F00047,0.5116954992020347,0.7828895246227645,5.1282023456753685e-05,1.2138382799999996
F00137,F00312,0.5005901974707128,0.7167052140578878,5.1282023456753685e-05,1.1397101
F00140,F00114,0.49917007048122175,0.866855103666987,5.1282023456753685e-05,1.3845752299999998
F00040,F00188,0.48495510161214095,0.10262129870841506,5.1282023456753685e-05,1.4023256699999997
F00157,F00312,0.47158033649246894,0.635141521819041,5.1282023456753685e-05,1.20424532
F00028,F00114,0.4679912052585795,0.8409960067490276,5.1282023456753685e-05,1.19689684
F00125,F00065,0.4616851108132851,0.6015333718426721,5.1282023456753685e-05,1.0686867100000002
F00067,F00312,0.46106865697540333,0.6104788019790447,5.1282023456753685e-05,1.10161389
F00145,F00047,0.454305930057604,0.7753185582286313,5.1282023456753685e-05,1.1257949299999996
F00231,F00065,0.45375797109059796,0.5974373785643018,5.1282023456753685e-05,1.23161154
F00276,F00047,0.44816878962713697,0.7546513725230543,5.1282023456753685e-05,1.3027548699999998
F00175,F00047,0.44347004148506,0.6949284114441231,5.1282023456753685e-05,1.3716319399999999
F00157,F00065,0.44121427707088506,0.5734824390566884,5.1282023456753685e-05,1.20585498
F00326,F00190,0.43736029900294315,0.5267461054957999,5.1282023456753685e-05,1.19445022
F00007,F00181,0.43648356465573307,0.19469667046432676,5.1282023456753685e-05,1.07368828
F00226,F00182,0.4357392537255501,0.704134122089824,5.1282023456753685e-05,1.0346724600000001
F00252,F00190,0.43324147410094765,0.36784257138877896,5.1282023456753685e-05,1.19719108
F00067,F00182,0.43177111753948166,0.6031681160942394,5.1282023456753685e-05,1.1329271600000002
F00231,F00312,0.4291272155236772,0.5722266997572997,5.1282023456753685e-05,1.23000188
F00104,F00047,0.42467961524147874,0.673822858564941,6.779657338350487e-05,1.0920559299999997
F00145,F00188,0.4173643630319484,0.11973588377790309,6.779657338350487e-05,1.0929742099999997
F00171,F00196,0.4139487521376106,-0.06848802138866496,6.779657338350487e-05,1.1917379599999998
F00028,F00188,0.4117523499448615,0.039811502115349916,6.779657338350487e-05,1.1967246199999997
F00043,F00182,0.41015413629109393,0.45096338035886746,6.779657338350487e-05,1.13632468
F00067,F00065,0.41013587099219384,0.532024776877958,6.779657338350487e-05,1.10322355
