SampleID,Actinopterygii,Aenigmarchaeia,Bathyarchaeia,Bivalvia,Hadarchaeia,Iainarchaeia,Ichthyosporea,LKM11,Lokiarchaeia,Methanomethylicia,Methanomicrobia,Methanosarcinia,Micrarchaeia,Nanoarchaeia,Nitrososphaeria,Odinarchaeia,Thermococci,Thermoplasmata,Unclassified,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0,0.0020425145623723428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9313109917542931,0.02594749981087828,0.0,0.0,0.0,0.0,0.0015886224374007112,0.013995007186625313,0.02511536424843029,0,0,1,0,0
1-10,0.0,0.0,0.007535258807860023,0.0,0.0,0.0,0.0,0.0,0.006422302906456969,0.03776751993285774,0.21560327683409658,0.2912112974146582,0.0,0.0019887244795562774,3.649035742305096e-05,0.0,0.27767337481070625,0.028845627542921783,0.1329161269134631,0,0,0,0,0
1-11,0.0,0.0,0.0057838293770333775,0.0,0.0,0.0,0.0,0.0,0.0011567658754066755,0.016194722255693458,0.3756115194601759,0.32938908302205083,0.0,0.0035425954934329438,7.229786721291722e-05,0.0,0.18857693698035907,0.03306422460537414,0.04660802506326064,0,0,0,0,0
1-11b,0.0,0.0,0.011509817197020988,0.0,0.0,0.0,0.0,0.0,0.0,0.027533288196795305,0.36500413751598587,0.351839313924622,0.0,0.012337320394192433,0.0004513653802753329,0.0,0.14887534792748064,0.037914691943127965,0.04453471752049951,0,0,0,0,0
1-12,0.0,0.0,0.0006467608062951385,0.0,0.0,0.0,0.0,0.0,0.0,0.00016169020157378463,0.13749056807157486,0.8003664977902339,0.0,0.00043117387086342567,0.0,0.0,0.0021558693543171285,0.03815888757141317,0.020588552333728576,0,0,1,0,0
1-13,0.0,0.0,0.006521533663085599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4693298887873728,0.3397498503512807,0.0,0.004914778992470306,0.0,0.0,0.136385117041051,0.01389370215179106,0.029205129012948552,0,0,1,0,0
1-14,0.0,0.0,0.0011818261402433685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744287840322157,0.004245819837170621,0.0,0.0012255974787709009,0.0,0.0,0.0008754267705506435,0.1331961831392804,0.11498730631182702,0,0,0,0,0
1-15,0.0,0.0,0.006513366560942456,0.0,0.0,0.0,0.00022655188038060717,0.0,0.0,0.0,0.41934753058450386,0.2421273221567739,0.0007929315813321251,0.002152242863615768,5.663797009515179e-05,0.0,0.25135931128228367,0.02939510647938378,0.04802899864068872,0,0,0,0,0
1-16,0.0,0.0,0.002673420571267764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34923315041508374,0.57105670465738,0.0,0.002462361052483467,0.0014070634585619812,0.0,0.011467567187280146,0.025678908118756155,0.036020824539186716,0,0,0,0,0
1-17,0.0,0.0,0.0030566138034907415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2923717551165057,0.48657747851510585,0.00039868875697705327,0.0010631700186054752,0.0,0.0,0.17117037299548152,0.00903694515814654,0.036324975635687075,0,0,0,0,0
1-18,0.0,0.0,0.01138532860649032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2528633760567221,0.5937414780474503,0.0,0.0003408781019907281,0.05835833106081265,0.0,0.045677665666757565,0.00920370875374966,0.028429233706026725,0,0,0,0,0
1-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343494847933826,0.006417798695047599,0.0,0.0,0.0,0.0,0.0011052875530359752,0.09027703497700289,0.067850393981531,0,0,0,0,0
1-2,0.0,0.0,0.001930916112422227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4524064935993707,0.4150754487592076,0.0,0.011657012086104555,0.0,0.0,0.09490095115497389,0.00994064220839591,0.014088536079525137,0,0,0,0,0
1-20,0.0,0.0,9.095043201455206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542519326966803,0.3906775807185084,0.0,0.0,0.0,0.0,0.0047748976807639835,0.018144611186903137,0.04379263301500682,0,1,1,0,0
1-21,0.0,0.0,0.004328198445571741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3298273374598594,0.3925629450365337,0.0,0.00027923860939172524,0.0,0.0,0.23483967049844093,0.012426118117931772,0.025736491832270676,0,0,0,0,0
