SampleID,ABY1,Abditibacteria,Acetothermiia,Acidimicrobiia,Acidobacteriae,Actinobacteria,Alphaproteobacteria,Aminicenantia,Anaerolineae,BD7-11,BRH-c20a,Babeliae,Bacilli,Bacteroidia,Bdellovibrionia,Berkelbacteria,Blastocatellia,Brachyspirae,Brevinematia,CK-2C2-2,CPR2,Caldatribacteriia,Caldisericia,Calditrichia,Campylobacteria,Chitinivibrionia,Chlamydiae,Chlorobia,Chloroflexia,Chthonomonadetes,Cloacimonadia,Clostridia,Coprothermobacteria,Coriobacteriia,Cyanobacteriia,D8A-2,DG-56,Dadabacteriia,Defferrisomatia,Dehalococcoidia,Deinococci,Desulfitobacteriia,Desulfobacteria,Desulfobulbia,Desulfomonilia,Desulfotomaculia,Desulfovibrionia,Desulfurellia,Desulfuromonadia,Dethiobacteria,Dictyoglomia,Elusimicrobia,Endomicrobia,FCPU426,Fermentibacteria,Fibrobacteria,Fimbriimonadia,Fusobacteriia,Gammaproteobacteria,Gemmatimonadetes,Gitt-GS-136,Gracilibacteria,Halanaerobiia,Holophagae,Hydrogenedentia,Hydrothermae,Ignavibacteria,JG30-KF-CM66,JS1,KD4-96,Kapabacteria,Kiritimatiellae,Kryptonia,LCP-89,Latescibacteria,Latescibacterota,Lentisphaeria,Leptospirae,Limnochordia,Lineage_IIa,Longimicrobia,MBNT15,MD2902-B12,MVP-15,Margulisbacteria,Marinimicrobia_(SAR406_clade),Methylomirabilia,Microgenomatia,Moorellia,Myxococcia,NB1-j,NKB15,Negativicutes,Nitrospiria,OC31,OLB14,OM190,Oligoflexia,Omnitrophia,PAUC34f,Parcubacteria,Phycisphaerae,Pla3_lineage,Pla4_lineage,Planctomycetes,Polyangia,RBG-16-55-12,Rhodothermia,Rs-M47,Rubrobacteria,SAR324_clade(Marine_group_B),SGST604,SHA-26,SJA-28,Saccharimonadia,Sericytochromatia,Spirochaetia,Subgroup_18,Subgroup_21,Subgroup_22,Sumerlaeia,Sva0485,Symbiobacteriia,Synergistia,Syntrophia,Syntrophobacteria,Syntrophomonadia,Syntrophorhabdia,TA06,TK10,Thermacetogenia,Thermoanaerobacteria,Thermoanaerobaculia,Thermodesulfovibrionia,Thermoleophilia,Thermotogae,Thermovenabulia,Unclassified,V2072-189E03,Vampirivibrionia,Verrucomicrobiae,Vicinamibacteria,WCHB1-81,WOR-1,WPS-2,WS1,WS2,WS4,WWE3,Zixibacteria,bacteriap25,c5LKS83,vadinHA49,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0,0.0,0.0,0.0,0.029291406418264054,0.0004846004738315744,0.0,0.0,0.0,0.0,0.0,0.08798190824897695,0.2141395649364635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00872280852896834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853435278914495,0.4407710531983631,0.0,0.0,0.0,0.008507430540598751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006999784622011631,0.0,0.0,0.0002692224854619858,0.0,0.0003769114796467801,0.020030152918371742,0.0,0.0,0.0,0.0,0.0,0.002153779883695886,0.0,0.0009692009476631488,0.004253715270299376,0.0,0.0,0.001346112427309929,0.00010768899418479432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002692224854619858,0.005169071720870127,0.0,0.0,0.0,0.0,0.0034998923110058154,0.0,0.016907172087012708,0.0,0.0,0.0,0.0,0.004522937755761361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032306698255438296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004307559767391773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014968770191686409,0.0,0.0,0.0,0.0,0.0,0.0,0.01060736592720224,0.0,0.0,0.01023045444755546,0.0,0.0,0.0,0.003176825328451432,0.0,0.0,0.0,0.0,0.0032306698255438293,0.0,0.02121473185440448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-10,0.0003643872221547431,0.0,0.05547795457305964,0.0017915705089274869,0.00018219361107737155,0.005435442730474918,0.012632090368031094,0.016549253006194583,0.012237337544030122,0.0,0.0,0.0006073120369245718,0.0,0.2978561885096563,0.0,0.0,0.0009413336572330863,0.03838212073363294,0.0,0.00027329041661605733,0.0,0.007864690878173205,0.015456091339730353,0.0,0.0,0.0,0.000971699259079315,0.0,0.0,0.007925422081865663,0.20502854366573545,0.01812826430219847,0.0,0.0064982387950929185,0.0,0.0025810761569294302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006073120369245718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05526539536013604,0.0021255921292360016,0.0,0.0,0.0,0.0005769464350783432,0.004706668286165431,0.0,0.0003036560184622859,0.0,6.073120369245719e-05,0.0,0.0,0.0006376776387708005,0.0,0.0,0.0,0.0,0.0,0.002064860925543544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005769464350783432,0.0,0.0,0.0,0.0,0.0,0.0004554840276934289,0.0,0.0,0.0,0.0,0.0,0.00018219361107737155,0.00012146240738491437,0.0,0.0,0.00027329041661605733,0.0,0.0,0.0013968176849265153,0.0,0.0,0.0,0.0,0.0,0.007378841248633548,0.0,0.0,0.002611441758775659,9.109680553868577e-05,0.0,0.038230292724401795,0.0,0.0003643872221547431,0.0,0.0007591400461557148,0.000668043240617029,0.0,0.003279484999392688,0.05954694522045427,0.0019130329163124012,0.000516215231385886,0.03085145147576825,0.0021255921292360016,0.0,0.0,0.0,0.001032430462771772,0.0,0.004737033888011661,0.007955787683711892,0.0,0.047916919713348716,0.0,0.0,0.004676302684319203,0.0004554840276934289,0.006558969998785376,0.0,0.0,0.000516215231385886,0.0,0.0,0.0,0.0005465808332321147,0.0,0.0007287744443094862,0.0,0,0,0,0,0
1-11,0.0,0.0,0.011049402459945916,0.012532348579570236,0.0004070832485243232,0.005437469105289174,0.015178389694978337,0.005873629728708092,0.017824430810386437,0.0,0.0,0.003053124363932424,0.0005815474978918903,0.1118897385943997,0.00014538687447297258,0.0,0.008170742345381059,0.009479224215637813,0.0,0.004012677735454043,0.0,0.0009886307464162135,0.01701026431333779,0.0004652379983135123,0.0,0.0,0.005524701229972958,0.0002035416242621616,0.0,0.0009595533715216191,0.032421273007472884,0.13878631037189962,0.0,0.004303451484399989,0.0,0.0009304759966270246,0.0,0.0011340176208891862,0.0,0.0,0.0,0.0005233927481027013,0.0,0.0006978569974702683,0.0,0.0,0.00302404698903783,0.0,0.00090139862173243,0.0,0.0,0.0002035416242621616,0.0,0.00026169637405135067,0.0006397022476810793,0.0002035416242621616,0.000726934372364863,0.0,0.26448780204123173,0.006367945101916199,0.0,0.00011630949957837807,0.0,0.000843243871943241,0.0011049402459945917,0.0,0.003111279113721613,0.0004361606234189177,0.0,0.001512023494518915,0.007123956849175657,0.0015411008694135094,0.0,5.8154749789189035e-05,0.0,0.0024134221162513446,0.0005524701229972958,0.0041580646099270155,0.0,0.0,0.0,0.0,0.0011630949957837807,0.0,0.0,0.0012212497455729697,0.0,0.0,0.0,0.0,0.0013375592451513477,0.0,0.0,0.0006397022476810793,0.0,0.0011630949957837807,0.0,0.0025588089907243173,0.0023843447413567503,0.0,0.0,0.0006106248727864848,0.0,0.0,0.009479224215637813,0.003053124363932424,2.9077374894594517e-05,0.0,0.0,0.0,0.03864383123491611,0.0,0.0,0.01648687156523509,0.0006978569974702683,0.0,0.008839521967956733,0.0,0.00031985112384053967,0.0,0.0026169637405135063,0.0,0.0,0.0019481841179378326,0.06277805239742956,0.0040417551103486375,0.0015992556192026984,0.01660318106481347,0.005582855979762147,0.0,0.0,0.0,0.009043063592218894,0.0,0.0037800587362972872,0.05245558430984851,0.0,0.02826320839754587,0.0,0.0,0.008287051844959438,0.0,0.0011630949957837807,0.0,0.0,0.0010758628710999972,0.0005815474978918903,0.0,0.0,0.001453868744729726,0.0,0.000726934372364863,0.0,0,0,0,0,0
1-11b,0.0,0.0,0.13999495614649593,0.006641073780368201,0.0003362569002718077,0.0030543335108022527,0.013954661361280018,0.004651553787093339,0.014290918261551825,0.0,0.0,0.0009247064757474711,0.00014010704177991985,0.12267772578249783,0.0,0.0,0.011040434892257684,0.01148877742595343,0.0,0.0008966850673914871,0.0,0.0017373273180710063,0.010199792641578167,0.00044834253369574353,0.0006725138005436154,0.0,0.0009247064757474711,0.0,0.00011208563342393588,0.0,0.006753159413792138,0.03087959200829434,0.0,0.01594418135455488,0.0,0.0,0.0,0.005380110404348923,0.0,0.00025219267520385576,0.0,0.0003642783086277916,0.0016252416846470703,0.004847703645585227,0.0,0.0,0.00776193011460756,0.0,0.002017541401630846,0.0,0.0,0.0010367921091714069,0.0,0.0004763639420517275,0.00022417126684787177,0.0008966850673914871,0.002746098018886429,0.0,0.21814666405133523,0.008826743632134952,0.0,0.00016812845013590384,0.0,0.0006725138005436154,0.0028301622439543812,0.0,0.0015131560512231346,0.0,0.0004203211253397596,0.003922997169837756,0.0041751898450416115,0.00022417126684787177,0.0003642783086277916,0.000980749292459439,0.0012049205593073107,0.0014010704177991986,0.004287275478465548,0.007733908706251577,0.0,0.0,0.0,0.0001961498584918878,0.0003082354919158237,0.00044834253369574353,0.0,0.0004203211253397596,0.0,0.0,0.0,0.0,0.002774119427242413,0.0,0.0005324067587636955,0.0024939053436825735,0.00011208563342393588,0.0012889847843752626,0.0,0.0005604281671196794,5.604281671196794e-05,0.0,0.0,0.0012329419676632947,0.0,0.0,0.01008770700815423,0.006388881105164346,0.0,0.0,0.0,0.0,0.016056266987978816,0.0,0.0,0.004987810687365147,0.0007005352088995993,0.0,0.003894975761481772,0.0,0.0003082354919158237,0.0,0.0008126208423235351,0.0006444923921876313,0.0,0.0014571132345111665,0.06349651133465968,0.005099896320789083,0.00218566985176675,0.010760220808697846,0.09871942163813154,0.0,0.0,0.0,0.001989519993274862,0.0,0.008210272648303304,0.04542270294505002,0.0,0.011544820242665395,0.0,0.0,0.009583321657746518,0.0005324067587636955,0.0011768991509513269,0.0,0.0,0.0005604281671196794,0.0,0.0,0.0,0.0010367921091714069,0.0,0.0016532630930030543,0.0,0,0,0,0,0
1-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019335414192194018,0.0,0.011849846697787476,0.006795016987542469,0.040079551418390744,0.4158495152335442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000690550506864072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026213297240560176,0.29309725713338675,0.0,0.0,0.0,0.007181725271386349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005773002237383642,0.0,0.002154517581415905,0.0,0.0,0.0,0.03143385907245256,0.0,0.0,0.0,0.0,0.0,0.0012706129326298925,0.0,0.0,0.0014915890948263956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181725271386349,0.0,0.0,0.0022097616219650305,0.0,0.0,0.0,0.0,0.0008286606082368865,0.003756594757340552,0.006684528906444217,0.0,0.0,0.0,0.0,0.0006076844460403834,0.0,0.0,0.0,0.0,0.00325939839239842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.286606082368864e-05,0.0,0.0,0.0,0.0009667707096097009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024473109963262712,0.0,0.0,0.0,0.0,0.0,0.0,0.007540811534955666,0.0,0.0,0.08272795072231583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7622020274562883e-05,0.0001657321216473773,0.0007734165676877607,0.01160124851531641,0.0,0.0,0.002789824047730851,0.0,0.0002485981824710659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-13,0.0,0.0,0.0,0.0006514104452248782,0.0,0.0010762433442845815,0.0012461765039084626,0.0,0.07734790982213663,0.0,0.0,0.0,0.011951965560212982,0.2282485555681432,0.0,0.0,0.0,0.0,0.0,0.00022657754616517504,0.0,0.008015180695593066,0.003030474679959216,0.0,0.00022657754616517504,0.0,0.0,0.0,0.0,0.0,0.0581171405913674,0.32392092443638837,0.0,0.0007646992183074657,0.0,0.008015180695593066,0.0,0.0002548997394358219,0.0,0.0002548997394358219,0.0008213436048487595,2.832219327064688e-05,0.0,0.0013311430837204033,0.0,0.011555454854423927,0.0029171859068766286,0.0,0.005692760847400022,0.00889316868698312,0.0,0.0,0.0,0.0,0.0,0.0002832219327064688,0.0,0.00011328877308258752,0.014472640761300556,0.0,0.0,0.0003965107057890563,0.0,0.0,0.0,0.0,0.0,0.0,0.004304973377138326,0.0,0.0,0.0015010762433442847,0.0,0.0,0.0,0.0,0.0002832219327064688,0.0,0.022997620935765267,0.0,0.0,0.0,0.0,0.0,0.0,0.016115327970998076,0.0,0.0,0.0006514104452248782,0.0,0.0,0.0,0.0,0.0,0.0,0.00011328877308258752,0.0,0.0,0.0,0.0,0.0,0.0004248328990597032,0.0,0.0,5.664438654129376e-05,0.0,0.0,0.00011328877308258752,0.0,0.0,0.011555454854423927,0.0,0.0,0.0,5.664438654129376e-05,0.0,0.005409538914693554,0.0,0.00031154412597711565,0.0,0.0,0.0,0.0,0.058740228843321626,0.0005947660586835844,0.0,0.025121785431063783,0.0,0.0,0.0,0.0,0.0,0.0006230882519542313,0.0,0.0016710094029681658,0.045995241871530534,0.0007363770250368188,0.016455194290245837,0.0,0.0,0.010026056417808996,0.0,0.0010762433442845815,0.0,0.0,0.0049563838223632035,0.0,0.0,0.0002548997394358219,0.0,0.0,0.0,0.0,0,0,1,0,0
1-14,0.0,0.0,0.0,0.0,0.0,0.0008475210010718648,0.0,0.0,0.00017448961786773688,0.0,0.0,0.0,0.005284542712565745,0.32043771966996537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011217189720068798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064561158611062645,0.4702993743300845,0.0,0.0,0.0,0.007104220156043573,0.0,0.0,0.0,0.0,0.0,0.00044868758880275197,0.0,0.0,0.0,0.00024927088266819554,0.0,0.0,0.0,0.003564573622155196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017448961786773688,0.0,0.0,0.0005733230301368498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007976668245382257,0.0007976668245382257,0.0,0.0,0.0,0.0,0.0,0.0,0.006306553331505347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026422713562828724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032405214746865417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009970835306727821,0.0,0.0,0.0,0.0,0.0,0.0,0.010170252012862377,0.0,0.0,0.07503053568312686,0.0,0.0,0.0,0.04893187426776678,0.0004985417653363911,0.0,0.0,0.0,0.0013709898546750755,0.004761073858962535,0.030411047685519853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022434379440137598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1-15,0.00013844140153040677,0.0,0.0,0.0020011075312122433,0.0005537656061216271,0.010622231171969391,0.025825614176399517,0.0027310712847362062,0.019419552960128875,0.0,0.0,0.0024541884816753927,0.014297221103503826,0.2098142368103101,0.0006922070076520339,0.0002265404752315747,0.008772150624244865,0.01369311316955296,0.0,0.0005034232782923883,0.0,0.001459927507047926,0.007098268223922674,0.0,0.0009690898107128474,0.0002265404752315747,0.0008306484091824406,0.0,0.0,0.00010068465565847765,0.10717881594844945,0.054936065243656865,0.0,0.00011327023761578735,0.0,0.0014725130890052356,0.0,0.00010068465565847765,0.0,2.5171163914619413e-05,0.0,0.0,0.0004027386226339106,0.0011327023761578735,0.0,0.0008684051550543697,0.0020262786951268626,0.0,0.00047825211437776884,0.0,0.0,0.0,0.00013844140153040677,0.0,0.0,0.0003901530406766009,0.0011830447039871124,0.00011327023761578735,0.21234393878372937,0.0010194321385420862,0.0,5.0342327829238826e-05,0.0,0.0047321788159484495,0.0018374949657672171,0.0,0.0022402335884011276,0.0,0.0019885219492549334,0.0,0.006431232380185259,0.0012585581957309706,0.0007173781715666532,0.0,0.0,0.0,0.0009942609746274667,0.0025800443012484898,0.0009061619009262988,0.0,0.0,0.0,0.00031463954893274265,0.0015606121627064035,0.0,0.0001636125654450262,0.0,0.0,0.0,0.0006670358437374144,0.0,0.00010068465565847765,0.0010571888844140153,0.0013844140153040677,0.0,0.0018249093838099075,0.00010068465565847765,0.0010068465565847766,0.0009942609746274667,0.0,0.00017619814740233588,0.00015102698348771646,0.0,0.0001636125654450262,0.009351087394281112,0.007173781715666533,0.00011327023761578735,0.0,0.0,0.0,0.000981675392670157,0.0,0.0,0.013655356423681032,0.00471959323399114,0.0,0.015782319774466372,0.0,0.0,0.0,0.0030708819975835684,0.00037756745871929116,0.0,0.011855618203785744,0.04504379782521144,0.00171163914619412,0.004228755537656061,0.019167841320982683,0.0,0.0,0.0,0.0,0.008507853403141362,0.0,0.0035365485300040272,0.040097664115988724,0.0,0.05937877567458719,0.0,0.0008054772452678212,0.006582259363672976,0.0009565042287555377,0.0016990535642368103,0.0005789367700362465,0.0006544502617801048,0.0,0.0,0.0,0.0,0.00017619814740233588,0.0,0.0,3.7756745871929116e-05,0,0,0,0,0
1-16,0.0,0.0,0.0,0.0033897539038665794,0.0012203114053919684,0.0036157374974576844,0.05062032496440758,0.0032315653883528057,0.005423606246186527,0.0,0.0,0.003751327653612348,0.0014236966396239633,0.22704571648098348,0.019637974283067048,0.00027118031230932634,0.0,0.00020338523423199477,0.0,0.0,0.0,0.006327540620550948,0.0055817947617003,0.0,0.00029377867166843687,0.0,0.0,0.0,0.0,0.0,0.10038191227316896,0.03608957989649952,0.006869901245169601,0.0,0.0,0.004677860387335879,0.0,0.0,0.0,0.0,0.00011299179679555264,0.0,0.0,0.0014462949989830739,0.0,0.0010169261711599738,0.003073376872839032,0.0,0.004587466949899437,0.0,0.0,0.0,0.0,0.0,0.0,0.00011299179679555264,0.00020338523423199477,0.00029377867166843687,0.4202164922826603,0.0005649589839777633,0.0,0.00029377867166843687,0.0,0.0004745655465413211,0.0025084178888612686,0.0,0.0010395245305190844,0.0002485819529502158,0.0,0.0,0.0021694424984746107,0.0018530654674470634,0.0,0.0,0.0,0.0,6.779507807733158e-05,0.003932114528485232,0.00011299179679555264,0.0,0.0004745655465413211,0.0,0.0,0.0018078687487288422,0.0,0.0006327540620550948,0.0,0.0,0.0,0.0,0.0,0.0,0.0010847212492373054,0.00020338523423199477,0.0,0.0008587376556462001,0.0,0.00036157374974576847,0.0,0.0,0.00020338523423199477,0.00027118031230932634,0.0,0.0,0.004361483356308332,0.0024632211701430475,0.0,0.0,0.0,0.0,0.0006779507807733159,0.0,0.0,0.0007231474994915369,0.0008361392962870895,0.00022598359359110527,0.013739802490339202,0.0,0.0,0.0,0.00042936882782310007,2.259835935911053e-05,0.0,0.004203294840794558,0.0031863686696345845,0.0,0.002350229373347495,0.0020338523423199476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029829834354025897,0.0,0.0030507785134799214,0.0,0.0,0.025174572326049128,0.001536688436419516,0.00027118031230932634,0.0,0.0010395245305190844,0.00040677046846398953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1-17,0.0,0.0,0.0,0.00034656038814763474,0.0,0.004707445272338705,0.008635129671345231,0.0,0.0010974412291341767,0.0,0.0,0.0028880032345636225,0.009992491191590135,0.23849130711026395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011840813261710854,0.0,0.0,0.0009241610350603593,0.0,0.00011552012938254491,0.0,0.0,0.0,0.10806908103737076,0.34751342921504075,0.0,0.0,0.0,0.009963611159244498,0.0,0.0,0.0,0.0,0.00037544042049327095,0.0,0.00028880032345636225,0.0012418413908623577,0.0,0.0030901634609830763,0.0012418413908623577,0.0,0.0,0.021082423612314445,0.0,0.0,0.0,0.0,0.053312539710044474,0.00017328019407381737,0.0,0.00020216022641945358,0.04690117252931323,0.0,0.0,0.0,0.0,0.0,0.0008375209380234506,0.0,0.0,0.0,0.007595448506902328,0.0,0.0007797608733321782,0.008866169930110322,0.0,0.0,0.0,0.0,0.0,0.001790562005429446,0.009068330156529775,0.0,0.0,0.0,0.0,0.0005198405822214521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040432045283890716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014440016172818113,0.0,0.0,0.00352336394616762,0.0,0.0,0.0,0.0,0.0,0.0010685611967885403,0.0,0.0,0.0008664009703690869,0.0,0.0,0.012389533876277942,0.0,0.0,0.0,0.0,0.0,0.0,0.012302893779241033,0.03939236411944781,0.0,0.02587650898169006,0.0008664009703690869,0.0,0.0,0.0,0.0,0.0,0.0,0.001270721423207994,0.00040432045283890716,0.0,0.008144169121469416,0.0,0.0,0.0015017616819730838,0.0,0.00034656038814763474,0.0,0.0,0.00020216022641945358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
