SampleID,Aenigmarchaeales,Bathyarchaeia,Hadarchaeales,Iainarchaeales,LKM11,Lokiarchaeia,Marine_Benthic_Group_D_and_DHVEG-1,Methanocorpusculaceae,Methanofastidiosaceae,Methanomassiliicoccaceae,Methanomethyliaceae,Methanomethylophilaceae,Methanomicrobiaceae,Methanomicrobiales,Methanoregulaceae,Methanosaetaceae,Methanosarcinaceae,Methanospirillaceae,Micrarchaeales,Nitrososphaeraceae,Odinarchaeia,Rhinosporideacae,SCGC_AAA011-D5,Teleostei,Unclassified,Veneroida,Woesearchaeales,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0020425145623723428,0.0,0.0,0.0,0.0,0.0,0.0,0.0015886224374007112,0.01316287162417732,0.0,0.0008321355624479915,0.9299493153793782,0.0,0.0,0.003404190937287238,0.022392011498600498,0.0013616763749148952,0.0,0.0,0.0,0.0,0.0,0.0,0.025266661623420835,0.0,0.0,0,0,1,0,0
1-10,0.0,0.007535258807860023,0.0,0.0,0.0,0.006422302906456969,0.0,0.0,0.27767337481070625,0.028754401649364155,0.03776751993285774,9.12258935576274e-05,0.004324107354631538,0.003046944844824755,0.10116951595540878,0.28796365560400666,0.0032476418106515354,0.1055483588461749,0.0,3.649035742305096e-05,0.0,0.0,0.0019887244795562774,0.0,0.13443047674651973,0.0,0.0,0,0,0,0,0
1-11,0.0,0.0057838293770333775,0.0,0.0,0.0,0.0011567658754066755,0.0,0.0004819857814194481,0.18857693698035907,0.03287143029280636,0.016194722255693458,0.00019279431256777926,0.0029883118448005785,0.004554765634413785,0.24516206771900229,0.32249668634775275,0.006892396674298108,0.12240028919146885,0.0,7.229786721291722e-05,0.0,0.0,0.0027473189540908544,0.0,0.046632124352331605,0.0,0.0007952765393420894,0,0,0,0,0
1-11b,0.0,0.011509817197020988,0.0,0.0,0.0,0.0,0.0,0.0023320544647558866,0.14887534792748064,0.037914691943127965,0.027533288196795305,0.0,0.00421274354923644,0.01158504476040021,0.23591363875724064,0.34303768900925297,0.008801624915368992,0.11088542842097344,0.0,0.0004513653802753329,0.0,0.0,0.0018054615211013315,0.0,0.044609945083878735,0.0,0.010531858873091101,0,0,0,0,0
1-12,0.0,0.0006467608062951385,0.0,0.0,0.0,0.0,0.0,0.0,0.0021558693543171285,0.00016169020157378463,0.00016169020157378463,0.037997197369839385,0.055837016276813624,0.0,0.0015630052818799182,0.7929287485178398,0.004904602781071467,0.08009054651288132,0.0,0.0,0.0,0.0,0.00043117387086342567,0.0,0.0231216988250512,0.0,0.0,0,0,1,0,0
1-13,0.0,0.006521533663085599,0.0,0.0,0.0,0.0,0.0,0.0033395293153964905,0.13540846224126524,0.013704672190542201,0.0,0.00018902996124885795,0.0392552219526795,0.0,0.10746353296997574,0.32283166881950787,0.016918181531772786,0.3192716045493211,0.0,0.0,0.0,0.0,0.004914778992470306,0.0,0.030181783812734318,0.0,0.0,0,0,1,0,0
1-14,0.0,0.0011818261402433685,0.0,0.0,0.0,0.0,0.0,0.0,0.0008754267705506435,0.026043946423881643,0.0,0.10715223671539875,0.7414427033178674,0.0,0.0007003414164405147,0.004245819837170621,0.0,0.0021447955878490764,0.0,0.0,0.0,0.0,0.0012255974787709009,0.0,0.11498730631182702,0.0,0.0,0,0,0,0,0
1-15,0.0,0.006513366560942456,0.0,0.0,0.0,0.0,0.0,0.0,0.25135931128228367,0.02939510647938378,0.0,0.0,0.034775713638423196,0.0,0.17478477571363843,0.23872904395106478,0.0033982782057091075,0.20973040326234707,0.0007929315813321251,5.663797009515179e-05,0.0,0.00022655188038060717,0.0018124150430448573,0.0,0.04808563661078387,0.0,0.00033982782057091076,0,0,0,0,0
1-16,0.0,0.002673420571267764,0.0,0.0,0.0,0.0,0.0,0.0011256507668495849,0.011467567187280146,0.02532714225411566,0.0,0.0003517658646404953,0.009216265653580977,0.0028844800900520613,0.18186295201913608,0.5661319825524131,0.004924722104966934,0.15414380188546503,0.0,0.0014070634585619812,0.0,0.0,0.002462361052483467,0.0,0.036020824539186716,0.0,0.0,0,0,0,0,0
1-17,0.0,0.0030566138034907415,0.0,0.0,0.0,0.0,0.0,0.001018871267830247,0.17117037299548152,0.0013289625232568443,0.0,0.007707982634889696,0.030034553025604677,0.0015061575263577568,0.01240365021706388,0.47492690706122087,0.009391335164348365,0.24740852307964917,0.00039868875697705327,0.0,0.0,0.0,0.0010631700186054752,0.0,0.03858421192522371,0.0,0.0,0,0,0,0,0
1-18,0.0,0.01138532860649032,0.0,0.0,0.0,0.0,0.0,0.005931278974638669,0.045677665666757565,0.006067630215434961,0.0,0.003136078538314699,0.02474775020452686,0.003613307881101718,0.03722388873738751,0.5910144532315245,0.002727024815925825,0.18134715025906736,0.0,0.05835833106081265,0.0,0.0,0.0003408781019907281,0.0,0.028429233706026725,0.0,0.0,0,0,0,0,0
1-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011052875530359752,0.0012479053018148109,0.0,0.08902912967518807,0.8313188576318323,0.0,0.0009626698042571398,0.00445680464933861,0.0019609940457089884,0.0020679573572931153,0.0,0.0,0.0,0.0,0.0,0.0,0.067850393981531,0.0,0.0,0,0,0,0,0
1-2,0.0,0.001930916112422227,0.0,0.0,0.0,0.0,0.0,0.0,0.09490095115497389,0.00994064220839591,0.0,0.0,0.010727311735679038,0.0,0.3871844382464421,0.40098691267968245,0.014088536079525137,0.05449474361724952,0.0,0.0,0.0,0.0,0.011227919616677394,0.0,0.014088536079525137,0.0,0.00042909246942716153,0,0,0,0,0
1-20,0.0,9.095043201455206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0047748976807639835,0.01296043656207367,0.0,0.005184174624829468,0.5321509777171441,0.0,0.001136880400181901,0.38922237380627556,0.001455206912232833,0.009231468849477035,0.0,0.0,0.0,0.0,0.0,0.0,0.04379263301500682,0.0,0.0,0,1,1,0,0
1-21,0.0,0.004328198445571741,0.0,0.0,0.0,0.0,0.0,0.00046539768231954206,0.23483967049844093,0.012426118117931772,0.0,0.0,0.003350863312700703,0.0041420393726439245,0.22278587052636478,0.3903290361613999,0.002233908875133802,0.09894354726113463,0.0,0.0,0.0,0.0,0.00027923860939172524,0.0,0.02587611113696654,0.0,0.0,0,0,0,0,0
1-22,0.0,0.005107733505244105,0.0,0.0,0.0,0.0,0.0,0.0,0.002603456398304034,0.0002231534055689172,0.0,0.04165530237286454,0.00711611415536436,0.0,0.0007934343309117057,0.1469093253328705,0.0498623887332325,0.7124544395130297,0.0022811237013711538,4.9589645681981605e-05,0.0,0.0,9.917929136396321e-05,0.0,0.030844759614192557,0.0,0.0,0,0,1,0,0
1-23,0.0,0.004223425138302302,0.0,0.0,0.0,0.0,0.0,0.0,0.1841651299744215,0.0308726429123788,0.0,0.0,0.07304740943429897,0.0015466063886740824,0.04491107013265124,0.22312771399678782,0.017191124858723456,0.39182678008446853,0.0,0.0,0.0,0.0,0.005472607221462138,0.0,0.02361548985783118,0.0,0.0,0,0,0,0,0
1-24,0.0,0.0010956175298804782,0.0,0.0,0.0,0.0,0.0,0.0,0.10946215139442231,0.005378486055776893,0.0,0.0,0.0061752988047808766,9.960159362549801e-05,0.40577689243027887,0.275199203187251,0.002390438247011952,0.14661354581673305,0.0,0.0,0.0,0.0,0.0,0.0,0.04721115537848605,0.0,0.000597609561752988,0,0,0,0,0
1-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009581564584596726,0.179805942995755,0.031170406306852638,0.0,0.0007883565797453002,0.008611279563371741,0.01291691934505761,0.6314129775621589,0.0724075197089145,0.003092783505154639,0.02031534263189812,0.0,0.00012128562765312311,0.0,0.0,0.0,0.0,0.02977562158884172,0.0,0.0,0,0,0,0,0
1-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004075504075504076,0.010296010296010296,0.0,0.0,0.1668811668811669,0.0,0.016945516945516947,0.03088803088803089,0.25975975975975973,0.4517374517374517,0.0,0.007293007293007293,0.0,0.0,0.0,0.0,0.052123552123552123,0.0,0.0,0,0,0,0,0
1-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014314928425357873,0.0,0.0,0.03016359918200409,0.8231083844580777,0.0,0.018916155419222903,0.018916155419222903,0.0,0.02044989775051125,0.0,0.0,0.0,0.0,0.0,0.0,0.07413087934560328,0.0,0.0,0,0,1,0,0
1-28,0.0,0.001986462625073573,0.0,0.0,0.0,0.0,0.0,0.0,0.033402001177163035,0.001618599175985874,0.0,0.05216303708063567,0.27839905826957034,0.0,0.0031636256621542084,0.36970276633313714,0.013095938787522072,0.2040906415538552,0.0011771630370806356,0.0,0.0,0.0,0.00044143613890523835,0.0,0.04075927015891701,0.0,0.0,0,1,1,0,0
1-29,0.0,0.005293647622852577,0.0,0.0,0.0,0.0,0.0,0.004594486616060727,0.199460647223332,0.01757890531362365,0.0,0.0,0.019476628046344386,0.007890531362365161,0.362365161805833,0.18487814622453055,0.009388733519776269,0.16250499400719137,0.0,0.0,0.0,0.0,0.0064922093487814626,0.0,0.02007590890930883,0.0,0.0,0,0,0,0,0
1-3,0.0,0.006626650660264106,0.0,0.0,0.0,0.0,0.0,0.0005762304921968788,0.21418967587034815,0.0030732292917166866,0.0,0.002376950780312125,0.018967587034813927,0.0,0.08336134453781513,0.3460984393757503,0.00460984393757503,0.0837454981992797,0.0,0.0,0.0,0.0,0.003481392557022809,0.0,0.23289315726290516,0.0,0.0,0,0,0,0,0
1-30,0.0,0.0009548058561425843,0.0,0.0,0.001591343093570974,0.0,0.0,0.0,0.25549013367281986,0.03859007001909612,0.0,0.0,0.00612667091024825,0.05609484404837683,0.36950986632718014,0.15125716104392106,0.007161043921069383,0.0792488860598345,0.0,0.0,0.0,0.0,0.0,0.0,0.033975175047740294,0.0,0.0,0,0,0,0,0
1-31,0.0,0.00045483259633607076,0.0,0.0,0.0,0.0,0.0,0.00030322173089071384,0.0012381554011370816,0.010789639924194567,0.0,0.00030322173089071384,0.1151737207833228,0.0,0.00197094125078964,0.01084017687934302,0.8062918509159823,0.008692356285533796,0.0,0.0,0.0,0.0,0.0036891977258370185,0.0,0.039974731522425776,0.0,0.0002779532533164877,0,0,1,0,0
1-32,0.0,0.00631911532385466,0.0,0.0,0.0,0.0,0.0,0.0001338795619460733,0.16065547433528798,0.05622941601735079,0.00024098321150293196,0.0,0.018769914584839478,0.0025704875893646077,0.21161003561196348,0.1707232173936327,0.004391249631831204,0.3356360617988058,0.0,0.0,0.0,0.0,0.0008568291964548692,0.0,0.03162235253166252,0.0,0.00024098321150293196,0,0,0,0,0
1-33,0.0,0.008948639848755383,6.301859048419283e-05,0.0,0.0,0.0002520743619367713,0.0,0.02548051675244197,0.1498372019745825,0.0178762735006827,0.002961873752757063,0.000756223085810314,0.00378111542905157,0.00048314252704547843,0.2657073836781851,0.16481462031299232,0.002961873752757063,0.021657388929734272,0.0,0.0002520743619367713,0.0,0.0,0.0,0.0,0.08417183069005356,0.0,0.24999474845079298,0,0,0,0,0
1-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10828126235861742,0.004231590603496006,0.0,0.0033219963616230325,0.16780036383769675,0.0,0.0014632603021434785,0.5523609902712964,0.004864351815233726,0.13782330143162225,0.0,0.0,0.0,0.0,0.0013841651506762635,0.0,0.018468717867594717,0.0,0.0,0,0,0,0,0
1-3b,0.0,0.006520653937351803,0.0,0.0,0.0,0.0,0.0,0.00012479720454261825,0.3016972419817796,0.011855734431548734,0.0,0.00015599650567827282,0.014008486209908898,0.0,0.18794459004118308,0.3014476475726944,0.0035879196306002744,0.14130163484337951,0.0,0.0,0.0,0.0,0.0033695245226506927,0.0,0.027985773118682142,0.0,0.0,0,0,0,0,0
