SampleID,Aenigmarchaeales,Bathyarchaeia,Candidatus_Iainarchaeum,Candidatus_Methanofastidiosum,Candidatus_Methanogranum,Candidatus_Methanomethylicus,Candidatus_Methanomethylophilus,Candidatus_Methanoplasma,Candidatus_Nitrocosmicus,Hadarchaeales,LKM11,Lokiarchaeia,Marine_Benthic_Group_D_and_DHVEG-1,Methanimicrococcus,Methanocalculus,Methanocorpusculum,Methanoculleus,Methanofollis,Methanogenium,Methanohalophilus,Methanolacinia,Methanolinea,Methanolobus,Methanomassiliicoccus,Methanomethylovorans,Methanomicrobium,Methanoregula,Methanosaeta,Methanosarcina,Methanosphaerula,Methanospirillum,Micrarchaeales,Nitrososphaeraceae,Odinarchaeia,Rhinosporideacae,RumEn_M2,SCGC_AAA011-D5,Teleostei,Unclassified,Veneroida,Woesearchaeales,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0020425145623723428,0.0,0.0015886224374007112,0.0,0.0,0.0,0.0008321355624479915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299493153793782,0.0,0.0,0.0,0.0,0.0,0.0,0.01316287162417732,0.0,0.0,0.0,0.003404190937287238,0.022392011498600498,0.0,0.0013616763749148952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025266661623420835,0.0,0.0,0,0,1,0,0
1-10,0.0,0.007535258807860023,0.0,0.27767337481070625,0.0,0.03776751993285774,0.0,0.0,3.649035742305096e-05,0.0,0.0,0.006422302906456969,0.0,0.0,0.0,0.0,0.004324107354631538,0.0,0.0,0.0,0.0,0.06199711726176358,0.0,0.021638781951869218,0.002809757521574924,0.0,0.03749384225218486,0.28796365560400666,0.0004378842890766115,0.0005838457187688153,0.1055483588461749,0.0,0.0,0.0,0.0,0.0,0.0019887244795562774,0.0,0.1457789779050886,0.0,0.0,0,0,0,0,0
1-11,0.0,0.0057838293770333775,0.0,0.18857693698035907,0.0,0.016194722255693458,0.0,0.0,7.229786721291722e-05,0.0,0.0,0.0011567658754066755,0.0,0.0,0.0,0.0004819857814194481,0.0028919146885166887,9.639715628388963e-05,0.0,0.0,0.0,0.21812266538137126,0.0,0.010001204964453548,0.00571153150982046,0.0,0.0232317146644174,0.32249668634775275,0.0011567658754066755,0.001012170140980841,0.12240028919146885,0.0,0.0,0.0,0.0,0.0,0.0027473189540908544,0.0,0.07706952644896975,0.0,0.0007952765393420894,0,0,0,0,0
1-11b,0.0,0.011509817197020988,0.0,0.14887534792748064,0.0,0.027533288196795305,0.0,0.0,0.0004513653802753329,0.0,0.0,0.0,0.0,0.0,0.0,0.0023320544647558866,0.00421274354923644,0.0,0.0,0.0,0.0,0.1814488828706838,0.0,0.010155721056194989,0.006845708267509215,0.0,0.04927405401339051,0.34303768900925297,0.0018806890844805537,0.001579778830963665,0.11088542842097344,0.0,0.0,0.0,0.0,0.0,0.0018054615211013315,0.0,0.08764011133679381,0.0,0.010531858873091101,0,0,0,0,0
1-12,0.0,0.0006467608062951385,0.0,0.0021558693543171285,0.003988358305486687,0.00016169020157378463,0.0,0.029104236283281234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05562142934138191,0.0,0.00021558693543171284,0.0,0.0,0.0015630052818799182,0.0,0.00016169020157378463,0.0,0.0,0.0,0.7929287485178398,0.004904602781071467,0.0,0.08009054651288132,0.0,0.0,0.0,0.0,0.0008623477417268513,0.00043117387086342567,0.0,0.027163953864395816,0.0,0.0,0,0,1,0,0
1-13,0.0,0.006521533663085599,0.0,0.13540846224126524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033395293153964905,0.03821555716581078,0.0008506348256198607,0.0,0.0,0.00018902996124885795,0.10746353296997574,0.0,0.013704672190542201,0.014271762074288775,0.0,0.0,0.32283166881950787,0.0026464194574840113,0.0,0.3192716045493211,0.0,0.0,0.0,0.0,0.0,0.004914778992470306,0.0,0.030370813773983176,0.0,0.0,0,0,1,0,0
1-14,0.0,0.0011818261402433685,0.0,0.0008754267705506435,0.0,0.0,0.0,0.10636435262190318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7414427033178674,0.0,0.0,0.0,0.0,0.0007003414164405147,0.0,0.026043946423881643,0.0,0.0,0.0,0.004245819837170621,0.0,0.0,0.0021447955878490764,0.0,0.0,0.0,0.0,0.0007878840934955791,0.0012255974787709009,0.0,0.11498730631182702,0.0,0.0,0,0,0,0,0
1-15,0.0,0.006513366560942456,0.0,0.25135931128228367,0.0,0.0,0.0,0.0,5.663797009515179e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034775713638423196,0.0,0.0,0.0,0.0,0.13389216130493883,0.0,0.02939510647938378,0.0005663797009515179,0.0,0.0028885364748527415,0.23872904395106478,0.002775260534662438,0.037947439963751696,0.20973040326234707,0.0007929315813321251,0.0,0.0,0.00022655188038060717,0.0,0.0018124150430448573,0.0,0.04819891255097417,0.0,0.00033982782057091076,0,0,0,0,0
1-16,0.0,0.002673420571267764,0.0,0.011467567187280146,0.0,0.0,0.0,0.0,0.0014070634585619812,0.0,0.0,0.0,0.0,0.0,0.0,0.0011256507668495849,0.009216265653580977,0.0,0.0,0.0,0.0,0.16124947235120304,0.0007738849022090896,0.014070634585619812,0.001336710285633882,0.0,0.018291824961305755,0.5661319825524131,0.0028141269171239624,0.002110595187842972,0.15414380188546503,0.0,0.0,0.0,0.0,0.0003517658646404953,0.002462361052483467,0.0,0.05037287181651892,0.0,0.0,0,0,0,0,0
1-17,0.0,0.0030566138034907415,0.0,0.17117037299548152,0.0018605475325595819,0.0,0.0,0.0033667050589173387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001018871267830247,0.028218304243820325,0.0,0.0018162487817843537,0.0,0.0,0.0,0.0,0.0012403650217063878,0.0014618587755825287,0.0,0.0,0.47492690706122087,0.007929476388765837,0.01240365021706388,0.24740852307964917,0.00039868875697705327,0.0,0.0,0.0,0.002037742535660494,0.0010631700186054752,0.0,0.0406219544608842,0.0,0.0,0,0,0,0,0
