SampleID,Aenigmarchaeota,Asgardarchaeota,Crenarchaeota,Cryptomycota,Euryarchaeota,Hadarchaeota,Halobacterota,Holozoa,Iainarchaeota,Micrarchaeota,Mollusca,Nanoarchaeota,Thermoplasmatota,Unclassified,Vertebrata,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0,0.0020425145623723428,0.0,0.0015886224374007112,0.0,0.9572584915651714,0.0,0.0,0.0,0.0,0.0,0.013995007186625313,0.02511536424843029,0.0,0,0,1,0,0
1-10,0.0,0.006422302906456969,0.045339269098140816,0.0,0.27767337481070625,0.0,0.5079822656862923,0.0,0.0,0.0,0.0,0.0019887244795562774,0.028845627542921783,0.1317484354759255,0.0,0,0,0,0,0
1-11,0.0,0.0011567658754066755,0.02205084949993975,0.0,0.18857693698035907,0.0,0.707434630678395,0.0,0.0,0.0,0.0,0.0035425954934329438,0.03306422460537414,0.04417399686709242,0.0,0,0,0,0,0
1-11b,0.0,0.0,0.03949447077409163,0.0,0.14887534792748064,0.0,0.7213571052433612,0.0,0.0,0.0,0.0,0.012337320394192433,0.037914691943127965,0.040021063717746184,0.0,0,0,0,0,0
1-12,0.0,0.0,0.0008084510078689231,0.0,0.0021558693543171285,0.0,0.9378570658618087,0.0,0.0,0.0,0.0,0.00043117387086342567,0.03815888757141317,0.020588552333728576,0.0,0,0,1,0,0
1-13,0.0,0.0,0.006521533663085599,0.0,0.136385117041051,0.0,0.8090797391386535,0.0,0.0,0.0,0.0,0.004914778992470306,0.01389370215179106,0.029205129012948552,0.0,0,0,1,0,0
1-14,0.0,0.0,0.0011818261402433685,0.0,0.0008754267705506435,0.0,0.7485336601593277,0.0,0.0,0.0,0.0,0.0012255974787709009,0.1331961831392804,0.11498730631182702,0.0,0,0,0,0,0
1-15,0.0,0.0005097417308563661,0.006570004531037608,0.0,0.25135931128228367,0.0,0.6614748527412777,0.00022655188038060717,0.0,0.0007929315813321251,0.0,0.002152242863615768,0.02939510647938378,0.04751925690983235,0.0,0,0,0,0,0
1-16,0.0,0.0,0.004080484029829745,0.0,0.011467567187280146,0.0,0.9209230336288167,0.0,0.0,0.0,0.0,0.002462361052483467,0.025678908118756155,0.035387645982833824,0.0,0,0,0,0,0
1-17,0.0,0.0,0.0030566138034907415,0.0,0.17117037299548152,0.0,0.7792593248870382,0.0,0.0,0.00039868875697705327,0.0,0.0010631700186054752,0.00903694515814654,0.03601488438026048,0.0,0,0,0,0,0
1-18,0.0,0.0,0.06974365966730298,0.0,0.045677665666757565,0.0,0.8466048541041723,0.0,0.0,0.0,0.0,0.0003408781019907281,0.00920370875374966,0.028429233706026725,0.0,0,0,0,0,0
1-19,0.0,0.0,0.0,0.0,0.0011052875530359752,0.0,0.8407672834884301,0.0,0.0,0.0,0.0,0.0,0.09027703497700289,0.067850393981531,0.0,0,0,0,0,0
1-2,0.0,0.0,0.001930916112422227,0.0,0.09490095115497389,0.0,0.8674819423585782,0.0,0.0,0.0,0.0,0.011657012086104555,0.00994064220839591,0.014088536079525137,0.0,0,0,0,0,0
1-20,0.0,0.0,9.095043201455206e-05,0.0,0.0047748976807639835,0.0,0.9331969076853115,0.0,0.0,0.0,0.0,0.0,0.018144611186903137,0.04379263301500682,0.0,0,1,1,0,0
1-21,0.0,0.0,0.004328198445571741,0.0,0.23483967049844093,0.0,0.7224368222646251,0.0,0.0,0.0,0.0,0.00027923860939172524,0.012426118117931772,0.02568995206403872,0.0,0,0,0,0,0
1-22,0.0,0.0,0.005157323150926087,0.0,0.002603456398304034,0.0,0.9256155314770276,0.0,0.0,0.0022811237013711538,0.0,9.917929136396321e-05,0.041878455778433465,0.022364930202573702,0.0,0,0,1,0,0
1-23,0.0,0.0,0.004223425138302302,0.0,0.1841651299744215,0.0,0.7533757658675867,0.0,0.0,0.0,0.0,0.005472607221462138,0.0308726429123788,0.02189042888584855,0.0,0,0,0,0,0
1-24,0.0,0.0,0.0010956175298804782,0.0,0.10946215139442231,0.0,0.8376494023904383,0.0,0.0,0.0,0.0,0.000597609561752988,0.005378486055776893,0.045816733067729085,0.0,0,0,0,0,0
1-25,0.0,0.0,0.00012128562765312311,0.0,0.179805942995755,0.0,0.7583383869011522,0.0,0.0,0.0,0.0,0.0,0.031958762886597936,0.02977562158884172,0.0,0,0,0,0,0
1-26,0.0,0.0,0.007293007293007293,0.0,0.004075504075504076,0.0,0.9262119262119262,0.0,0.0,0.0,0.0,0.0,0.010296010296010296,0.052123552123552123,0.0,0,0,0,0,0
1-27,0.0,0.0,0.0,0.0,0.014314928425357873,0.0,0.8813905930470347,0.0,0.0,0.0,0.0,0.0,0.03016359918200409,0.07413087934560328,0.0,0,0,1,0,0
1-28,0.0,0.0,0.001986462625073573,0.0,0.033402001177163035,0.0,0.8697027663331371,0.0,0.0,0.0011771630370806356,0.0,0.00044143613890523835,0.053781636256621544,0.039508534432018835,0.0,0,1,1,0,0
1-29,0.0,0.0,0.005293647622852577,0.0,0.199460647223332,0.0,0.7515980823012385,0.0,0.0,0.0,0.0,0.0064922093487814626,0.01757890531362365,0.019576508190171794,0.0,0,0,0,0,0
1-3,0.0,0.0,0.006626650660264106,0.0,0.21418967587034815,0.0,0.5374789915966387,0.0,0.0,0.0,0.0,0.003481392557022809,0.0054501800720288115,0.23277310924369748,0.0,0,0,0,0,0
1-30,0.0,0.0,0.0009548058561425843,0.001591343093570974,0.25549013367281986,0.0,0.6693984723106302,0.0,0.0,0.0,0.0,0.0,0.03859007001909612,0.033975175047740294,0.0,0,0,0,0,0
1-31,0.0,0.0,0.00045483259633607076,0.0,0.0012381554011370816,0.0,0.9464560960202147,0.0,0.0,0.0,0.0,0.003967150979153506,0.011092861655085282,0.03679090334807328,0.0,0,0,1,0,0
1-32,0.0,0.0,0.006560098535357592,0.0,0.16065547433528798,0.0,0.7439955016467186,0.0,0.0,0.0,0.0,0.001097812407957801,0.05622941601735079,0.03146169705732723,0.0,0,0,0,0,0
1-33,0.0,0.0005461611175296713,0.012162587963449217,0.0,0.14987921436823862,6.301859048419283e-05,0.48671358050624935,0.0,0.0,0.0,0.0,0.24999474845079298,0.018632496586493016,0.08200819241676295,0.0,0,0,0,0,0
1-34,0.0,0.0,0.0,0.0,0.10828126235861742,0.0,0.8645891006881278,0.0,0.0,0.0,0.0,0.0013841651506762635,0.007553586965119038,0.018191884837459465,0.0,0,0,0,0,0
