SampleID,Abditibacteriota,Acetothermia,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,CK-2C2-2,Caldatribacteriota,Caldisericota,Calditrichota,Campilobacterota,Chloroflexi,Cloacimonadota,Coprothermobacterota,Cyanobacteria,Dadabacteria,Deferrisomatota,Deinococcota,Dependentiae,Desulfobacterota,Dictyoglomota,Elusimicrobiota,FCPU426,Fermentibacterota,Fibrobacterota,Firmicutes,Fusobacteriota,Gemmatimonadota,Halanaerobiaeota,Hydrogenedentes,Hydrothermae,LCP-89,Latescibacterota,MBNT15,Margulisbacteria,Marinimicrobia_(SAR406_clade),Methylomirabilota,Myxococcota,NB1-j,NKB15,Nitrospirota,PAUC34f,Patescibacteria,Planctomycetota,Proteobacteria,SAR324_clade(Marine_group_B),Spirochaetota,Sumerlaeota,Sva0485,Synergistota,TA06,Thermotogota,Unclassified,Verrucomicrobiota,WOR-1,WPS-2,WS1,WS2,WS4,Zixibacteria,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0,0.0,0.029291406418264054,0.0,0.21440878742192548,0.0,0.0,0.00872280852896834,0.0,0.0,0.0,0.0,0.0853435278914495,0.0,0.0,0.0,0.0,0.0,0.0,0.001346112427309929,0.0,0.0,0.0,0.0,0.002153779883695886,0.609142795606289,0.0009692009476631488,0.0,0.00010768899418479432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001346112427309929,0.0004307559767391773,0.0047383157441309495,0.0,0.01949170794744777,0.0,0.0,0.01060736592720224,0.0,0.0032306698255438293,0.0,0.008668964031875942,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-10,0.0,0.05547795457305964,0.020830802866512815,0.02502125592129236,0.012966111988339609,0.3007712862868942,0.00018219361107737155,0.00027329041661605733,0.007925422081865663,0.015456091339730353,0.0,0.0,0.012237337544030122,0.20502854366573545,0.0,0.0,0.0,0.0,0.0,0.0006073120369245718,0.09282764484392081,0.0,0.0,0.0,0.0,0.0,0.06401068869184988,0.0,0.0021255921292360016,0.0,0.004706668286165431,0.0,0.0,0.0,0.0,0.0,0.0005769464350783432,0.0,0.0,0.0,0.0004554840276934289,0.0,0.0,0.0004554840276934289,0.0016701081015425725,0.06789748572816713,0.007378841248633548,0.07867727438357829,0.0007591400461557148,0.000668043240617029,0.003279484999392688,0.0021255921292360016,0.007955787683711892,0.00018219361107737155,0.006407141989554233,0.0,0.0,0.000516215231385886,0.0,0.0,0.0005465808332321147,0,0,0,0,0
1-11,0.0,0.011049402459945916,0.025384548282981013,0.02724550027623506,0.005466546480183769,0.13881538774679422,0.00270419586519729,0.004012677735454043,0.0009886307464162135,0.01701026431333779,0.0004652379983135123,0.0,0.02093570992410805,0.032421273007472884,0.0,0.0,0.0011340176208891862,0.0,0.0,0.003053124363932424,0.0895873920502457,0.0,0.0002035416242621616,0.00026169637405135067,0.0006397022476810793,0.0002035416242621616,0.15887877642406442,0.0,0.007531040097699979,0.0,0.0011049402459945917,0.0,5.8154749789189035e-05,0.0024134221162513446,0.0,0.0,0.0012212497455729697,0.0,0.003053124363932424,0.0013375592451513477,0.0,0.0006397022476810793,0.0,0.0013084818702567532,0.010089849088424297,0.27966619173621005,0.03864383123491611,0.02247681079352156,0.0026169637405135063,0.0,0.0019481841179378326,0.005582855979762147,0.05245558430984851,0.00598993922828647,0.01828966880869995,0.0,0.0,0.0010758628710999972,0.0005815474978918903,0.0,0.001453868744729726,0,0,0,0,0
1-11b,0.0,0.13999495614649593,0.021184184717123883,0.03502676044497997,0.002746098018886429,0.13383024630817944,0.0005604281671196794,0.0008966850673914871,0.002157648443410766,0.010199792641578167,0.00044834253369574353,0.0006725138005436154,0.019867178524392636,0.006753159413792138,0.0,0.0,0.005380110404348923,0.0,0.0,0.0009247064757474711,0.09793482220416398,0.0,0.0010367921091714069,0.0004763639420517275,0.00022417126684787177,0.0008966850673914871,0.03592344551237145,0.0,0.009134979124050775,0.0,0.0028301622439543812,0.0,0.000980749292459439,0.0026059909771065093,0.0001961498584918878,0.0,0.0004203211253397596,0.0,0.006388881105164346,0.002774119427242413,0.0,0.0024939053436825735,0.0,0.000980749292459439,0.011404713200885477,0.23210132541261524,0.016056266987978816,0.02356600442738252,0.0008126208423235351,0.0006444923921876313,0.0014571132345111665,0.09871942163813154,0.04542270294505002,0.007201501947487881,0.015075517695519377,0.0,0.0,0.0005604281671196794,0.0,0.0,0.0010367921091714069,0,0,0,0,0
1-12,0.0,0.0,0.0,0.0002762202027456288,0.0,0.4158495152335442,0.0,0.0,0.00787227577825042,0.0,0.0,0.0,0.00019335414192194018,0.026213297240560176,0.0,0.0,0.0,0.0,0.0,0.006795016987542469,0.005773002237383642,0.0,0.0,0.0,0.0,0.0012706129326298925,0.4907880562384333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.286606082368864e-05,0.0009667707096097009,0.0014915890948263956,0.0,0.028837389166643648,0.0,0.0,0.007540811534955666,0.0,0.0001657321216473773,5.5244040549125765e-05,0.005828246277932768,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-13,0.0,0.0,0.000934632377931347,0.005239605755069672,0.0002832219327064688,0.22836184434122578,0.0,0.00022657754616517504,0.012320154072731392,0.003030474679959216,0.0,0.00022657754616517504,0.07771609833465504,0.0581171405913674,0.0,0.0,0.0002548997394358219,0.0,0.0008213436048487595,0.0,0.01053585589668064,0.0,0.0,0.0,0.0,0.0002832219327064688,0.43004418262150224,0.00011328877308258752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016115327970998076,0.0,0.0,0.0,0.0,0.0,0.0,0.000708054831766172,0.00048147728560099697,0.015718817265209017,0.011555454854423927,0.005409538914693554,0.0,0.0,0.058740228843321626,0.0,0.045995241871530534,0.0,0.011810354593859748,0.0,0.0,0.0049563838223632035,0.0,0.0,0.0,0,0,1,0,0
1-14,0.0,0.0,0.0,0.0008475210010718648,0.0,0.32123538649450356,0.0,0.0,0.0011217189720068798,0.0,0.0,0.0,0.00017448961786773688,0.0064561158611062645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555325672408207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005733230301368498,0.00032405214746865417,0.00017448961786773688,0.0,0.0009970835306727821,0.0,0.0,0.010170252012862377,0.0,0.0013709898546750755,0.0,0.0007976668245382257,0.0,0.0,0.00022434379440137598,0.0,0.0,0.0,0,0,0,0,0
1-15,0.0,0.0,0.026253523962948045,0.01808548127265405,0.0033855215465163108,0.2328584373741442,0.0016990535642368103,0.0005034232782923883,0.0034484494563028593,0.007098268223922674,0.0,0.0009690898107128474,0.021269633507853405,0.10717881594844945,0.0,0.0008054772452678212,0.00010068465565847765,0.0,0.0,0.0024541884816753927,0.07076872734595248,0.0,0.00013844140153040677,0.0,0.0,0.0006166935159081756,0.1333064840918244,0.00011327023761578735,0.0013340716874748288,0.0,0.0018374949657672171,0.0,0.0,0.0,0.0,0.0,0.0001636125654450262,0.0,0.007840817559403947,0.0,0.00010068465565847765,0.0013844140153040677,0.0,0.005311115585984696,0.009804168344744261,0.23816955296012887,0.000981675392670157,0.033616089407974226,0.0030708819975835684,0.00037756745871929116,0.011855618203785744,0.0,0.040097664115988724,0.0009313330648409182,0.010659987917841321,0.0005789367700362465,0.0006544502617801048,0.0,0.0,0.0,0.00017619814740233588,0,0,0,0,0
1-16,0.0,0.0,0.006463130776705611,0.00727667171363359,0.00020338523423199477,0.23097783100946873,0.019999548032812817,0.0,0.006327540620550948,0.0055817947617003,0.0,0.00029377867166843687,0.006530925854782943,0.10038191227316896,0.006869901245169601,0.00022598359359110527,0.0,0.0,0.00011299179679555264,0.003751327653612348,0.014327359833676076,0.0,0.0,0.0,0.0,0.00011299179679555264,0.04919662832478362,0.00029377867166843687,0.0010395245305190844,0.0,0.0025084178888612686,0.0,0.0,0.0,0.0,0.0,0.0006327540620550948,0.0,0.0024632211701430475,0.0,0.0,0.00020338523423199477,0.0,0.0016044835144968476,0.004632663668617658,0.4708368172470679,0.0006779507807733159,0.01968317100178527,0.00042936882782310007,2.259835935911053e-05,0.004203294840794558,0.0,0.0029829834354025897,0.0006101557026959842,0.027095432871573524,0.0,0.0010395245305190844,0.00040677046846398953,0.0,0.0,0.0,0,0,0,0,0
1-17,0.0,0.0,0.0,0.006671287471841969,0.0,0.24013746895396523,0.0,0.0,0.008779529833073414,0.0,0.0,0.0009241610350603593,0.0010974412291341767,0.10806908103737076,0.0,0.0,0.0,0.0,0.00037544042049327095,0.0028880032345636225,0.04303124819499798,0.0,0.0,0.0,0.053312539710044474,0.00017328019407381737,0.43450008664009704,0.00020216022641945358,0.0,0.0,0.0008375209380234506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040432045283890716,0.0,0.0,0.003667764107895801,0.055536302200658465,0.0010685611967885403,0.01469993646392884,0.0,0.0,0.012302893779241033,0.0,0.00040432045283890716,0.00023104025876508982,0.01048345174146595,0.0,0.0,0.00020216022641945358,0.0,0.0,0.0,0,0,0,0,0
1-18,0.0,0.0,0.0022688598979013048,0.019452137065830304,0.0022688598979013048,0.15354843014914418,0.0005338493877414834,0.0,0.001868472857095192,0.003603483367255013,0.0,0.001167795535684495,0.005738880918220947,0.257949351039338,0.0,0.0,0.00016682793366921356,0.0,0.00016682793366921356,0.00036702145407226984,0.013813352907810885,0.0,0.0,0.0,0.0,0.00036702145407226984,0.3488705748890594,0.0008007740816122252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006339461479430116,0.0008341396683460679,0.0,0.0012345267091521805,0.0,0.0022688598979013048,0.00540522505088252,0.1101398018084148,0.0,0.03109672683594141,0.0002001935204030563,0.0,0.01131093390277268,0.0,0.0017016449234259785,0.007840912882453038,0.014046912014947783,0.0,0.0,0.0,0.0,0.00033365586733842713,0.0,0,0,0,0,0
1-19,0.0,0.0,0.0,0.01672547439779957,0.00013891590031394995,0.22179312644125246,0.0,0.0,0.0010835440224488094,0.0,0.0,0.0,0.0,0.026449587419776068,0.0,0.0,0.0,0.0,0.0,0.0,0.0005278804211930097,0.0,0.0,0.0,0.0,0.0,0.6747978773650432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011391103825743895,0.0013058094629511295,0.012169032867502014,0.0,0.0017781235240185592,0.0,0.0,0.030144750368127134,0.0,0.0028616675464673688,0.0,0.009085099880532325,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1-2,0.0,0.0,0.0,0.009401248362487478,0.0,0.3362872774909455,0.0,0.0,0.0042382677044000925,0.002465901209832781,0.0,0.0,0.019650150265854975,0.11439469831239886,0.0,0.00019264853201818603,0.0,0.0,0.0,0.0,0.030245819526855205,0.0,0.0,0.0,0.0,0.0,0.3375587578022656,0.0,0.0,0.0,0.00038529706403637206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046235647684364647,0.0018108962009709486,0.03837558757802265,0.010480080141789319,0.003005317099483702,0.0,0.0,0.028473453032287894,0.0,0.05744779224782307,0.0,0.0036603221083455345,0.0,0.0,0.0014641288433382138,0.0,0.0,0.0,0,0,0,0,0
1-20,0.0,0.0,0.0,0.00285403931758642,0.0,0.23897254584566888,0.0,0.0,0.006347042661498157,0.0,0.0,0.0,0.00046857361930523314,0.11079636216481012,0.0,0.0,0.0,0.0,0.0,0.0,0.0009371472386104663,0.0,0.0,0.0,0.0035143021447892483,0.0002981832122851483,0.6187727630934379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004472748184277225,0.00046857361930523314,0.0011714340482630828,0.0,0.0013844220570381888,0.0,0.0,0.007880556324678921,0.0,0.0,0.0,0.005345999020255159,0.0,0.0,0.00034078081404016953,0.0,0.0,0.0,0,1,1,0,0
