SampleID,Abditibacteriota,Acetothermia,Acidobacteriota,Actinobacteriota,Aenigmarchaeota,Armatimonadota,Asgardarchaeota,Bacteroidota,Bdellovibrionota,CK-2C2-2,Caldatribacteriota,Caldisericota,Calditrichota,Campilobacterota,Chloroflexi,Cloacimonadota,Coprothermobacterota,Crenarchaeota,Cryptomycota,Cyanobacteria,Dadabacteria,Deferrisomatota,Deinococcota,Dependentiae,Desulfobacterota,Dictyoglomota,Elusimicrobiota,Euryarchaeota,FCPU426,Fermentibacterota,Fibrobacterota,Firmicutes,Fusobacteriota,Gemmatimonadota,Hadarchaeota,Halanaerobiaeota,Halobacterota,Holozoa,Hydrogenedentes,Hydrothermae,Iainarchaeota,LCP-89,Latescibacterota,MBNT15,Margulisbacteria,Marinimicrobia_(SAR406_clade),Methylomirabilota,Micrarchaeota,Mollusca,Myxococcota,NB1-j,NKB15,Nanoarchaeota,Nitrospirota,PAUC34f,Patescibacteria,Planctomycetota,Proteobacteria,SAR324_clade(Marine_group_B),Spirochaetota,Sumerlaeota,Sva0485,Synergistota,TA06,Thermoplasmatota,Thermotogota,Unclassified,Verrucomicrobiota,Vertebrata,WOR-1,WPS-2,WS1,WS2,WS4,Zixibacteria,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0,0.0,0.029291406418263798,0.0,0.0,0.0,0.2144087874219239,0.0,0.0,0.0087228085289683,0.0,0.0,0.0,0.0,0.0853435278914494,0.0,0.0020425145623723,0.0,0.0,0.0,0.0,0.0,0.0,0.0013461124273097,0.0,0.0,0.0015886224374007,0.0,0.0,0.0021537798836958,0.6091427956062827,0.0009692009476631,0.0,0.0,0.0001076889941847,0.9572584915651704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013461124273099,0.0004307559767391,0.0047383157441308,0.0,0.0194917079474476,0.0,0.0,0.0106073659272021,0.0,0.0139950071866252,0.0032306698255438,0.0251153642484295,0.0086689640318758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-10,0.0,0.0554779545730596,0.02083080286651227,0.025021255921291757,0.0,0.0129661119883391,0.0064223029064569,0.30077128628689204,0.00018219361107737152,0.000273290416616,0.007925422081865557,0.0154560913397298,0.0,0.0,0.012237337544029486,0.20502854366573528,0.0,0.045339269098140456,0.0,0.0,0.0,0.0,0.0,0.0006073120369244858,0.09282764484391978,0.0,0.0,0.2776733748107048,0.0,0.0,0.0,0.06401068869184846,0.0,0.002125592129236,0.0,0.0,0.507982265686288,0.0,0.0047066682861653004,0.0,0.0,0.0,0.0,0.0,0.0,0.0005769464350783,0.0,0.0,0.0,0.0,0.0,0.0004554840276934,0.0019887244795562,0.0,0.0,0.00045548402769338576,0.0016701081015424,0.06789748572816509,0.0073788412486333,0.07867727438357801,0.0007591400461556571,0.000668043240617,0.0032794849993925002,0.002125592129236,0.028845627542921578,0.0079557876837118,0.13193062908700137,0.006407141989554043,0.0,0.0,0.0,0.0005162152313858,0.0,0.0,0.0005465808332321,0,0,0,0,0
1-11,0.0,0.0110494024599459,0.0253845482829797,0.027245500276233476,0.0,0.0054665464801836,0.0011567658754065,0.13881538774679025,0.002704195865197,0.004012677735454,0.0009886307464162,0.0170102643133375,0.0004652379983135,0.0,0.020935709924106996,0.032421273007472697,0.0,0.022050849499939316,0.0,0.0,0.0011340176208891,0.0,0.0,0.0030531243639322,0.08958739205024359,0.0,0.0002035416242621,0.1885769369803583,0.0002616963740513,0.000639702247681,0.0002035416242621,0.15887877642406242,0.0,0.007531040097699801,0.0,0.0,0.7074346306783905,0.0,0.0011049402459944,0.0,0.0,5.815474978918904e-05,0.002413422116251194,0.0,0.0,0.0012212497455729,0.0,0.0,0.0,0.0030531243639323,0.0013375592451512,0.0,0.0035425954934328,0.000639702247681,0.0,0.0013084818702565836,0.010089849088423367,0.27966619173620433,0.038643831234915695,0.022476810793521082,0.0026169637405133,0.0,0.0019481841179377,0.005582855979762,0.033064224605374,0.0524555843098484,0.0501639360953768,0.018289668808698877,0.0,0.0,0.0,0.0010758628710999,0.0005815474978918,0.0,0.0014538687447296,0,0,0,0,0
1-11b,0.0,0.1399949561464957,0.02118418471712287,0.03502676044497861,0.0,0.0027460980188863003,0.0,0.13383024630817564,0.0005604281671196,0.0008966850673914,0.0021576484434107,0.0101997926415778,0.0004483425336957,0.0006725138005435,0.0198671785243916,0.0067531594137919,0.0,0.0394944707740911,0.0,0.0,0.0053801104043488,0.0,0.0,0.0009247064757473679,0.0979348222041614,0.0,0.0010367921091712,0.1488753479274804,0.0004763639420517,0.0002241712668478,0.0008966850673914,0.035923445512368944,0.0,0.009134979124050601,0.0,0.0,0.7213571052433584,0.0,0.0028301622439543,0.0,0.0,0.0009807492924594,0.0026059909771064,0.0001961498584918,0.0,0.0004203211253397,0.0,0.0,0.0,0.0063888811051641,0.002774119427242252,0.0,0.0123373203941921,0.002493905343682368,0.0,0.000980749292459268,0.011404713200884452,0.23210132541260953,0.016056266987978383,0.0235660044273816,0.0008126208423234,0.0006444923921875,0.001457113234511,0.09871942163813127,0.0379146919431278,0.045422702945049895,0.0472225656652325,0.015075517695518768,0.0,0.0,0.0,0.0005604281671195001,0.0,0.0,0.0010367921091712,0,0,0,0,0
1-12,0.0,0.0,0.0,0.0002762202027455629,0.0,0.0,0.0,0.4158495152335414,0.0,0.0,0.0078722757782502,0.0,0.0,0.0,0.0001933541419219,0.02621329724056,0.0,0.0008084510078688847,0.0,0.0,0.0,0.0,0.0,0.0067950169875424,0.0057730022373836,0.0,0.0,0.0021558693543171,0.0,0.0,0.0012706129326298002,0.49078805623842453,0.0,0.0,0.0,0.0,0.9378570658618074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004311738708634,0.0,0.0,8.286606082368864e-05,0.0009667707096097,0.0014915890948263,0.0,0.028837389166642965,0.0,0.0,0.007540811534955299,0.0,0.03815888757141253,0.0001657321216473,0.020643796374276626,0.0058282462779325256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-13,0.0,0.0,0.0009346323779313,0.0052396057550693,0.0,0.0002832219327064,0.0,0.22836184434122345,0.0,0.0002265775461651,0.012320154072731094,0.0030304746799592,0.0,0.0002265775461651,0.07771609833465459,0.058117140591366995,0.0,0.006521533663085499,0.0,0.0,0.0002548997394358,0.0,0.0008213436048487,0.0,0.0105358558966804,0.0,0.0,0.1363851170410507,0.0,0.0,0.0002832219327064,0.43004418262149585,0.0001132887730825,0.0,0.0,0.0,0.8090797391386512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161153279709978,0.0,0.0,0.0,0.0,0.0,0.0,0.0049147789924703,0.0,0.0,0.0007080548317660938,0.00048147728560099377,0.015718817265207994,0.0115554548544237,0.0054095389146935,0.0,0.0,0.058740228843321,0.0,0.0138937021517909,0.0459952418715303,0.029205129012946984,0.0118103545938595,0.0,0.0,0.0,0.0049563838223632,0.0,0.0,0.0,0,0,1,0,0
1-14,0.0,0.0,0.0,0.0008475210010718,0.0,0.0,0.0,0.32123538649450123,0.0,0.0,0.0011217189720068195,0.0,0.0,0.0,0.0001744896178677,0.0064561158611061995,0.0,0.0011818261402431998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008754267705506,0.0,0.0,0.0,0.6555325672408131,0.0,0.0,0.0,0.0,0.7485336601593263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012255974787709,0.0,0.0,0.0005733230301368,0.0003240521474686,0.0001744896178677,0.0,0.0009970835306727,0.0,0.0,0.0101702520128622,0.0,0.13319618313928006,0.0013709898546749,0.11498730631182343,0.0007976668245382,0.0,0.0,0.0,0.0002243437944013,0.0,0.0,0.0,0,0,0,0,0
1-15,0.0,0.0,0.026253523962946383,0.018085481272652252,0.0,0.003385521546515897,0.0005097417308563,0.23285843737413456,0.0016990535642365456,0.0005034232782923,0.0034484494563026998,0.0070982682239222996,0.0,0.0009690898107126,0.021269633507851847,0.10717881594844876,0.0,0.006570004531037452,0.0,0.0008054772452677,0.0001006846556584,0.0,0.0,0.002454188481675168,0.07076872734595037,0.0,0.0001384414015304,0.2513593112822835,0.0,0.0,0.0006166935159080096,0.13330648409181817,0.0001132702376157,0.0013340716874745999,0.0,0.0,0.6614748527412764,0.0002265518803806,0.001837494965767,0.0,0.0,0.0,0.0,0.0,0.0,0.000163612565445,0.0,0.0007929315813321,0.0,0.007840817559403275,0.0,0.0001006846556584,0.0021522428636157,0.001384414015304,0.0,0.005311115585983781,0.009804168344743036,0.23816955296011696,0.000981675392669897,0.033616089407973,0.0030708819975833485,0.0003775674587192,0.011855618203785275,0.0,0.029395106479383752,0.0400976641159886,0.048450589974671596,0.010659987917840123,0.0,0.0005789367700362,0.00065445026178,0.0,0.0,0.0,0.0001761981474023097,0,0,0,0,0
1-16,0.0,0.0,0.006463130776705199,0.007276671713632932,0.0,0.0002033852342319,0.0,0.23097783100946576,0.019999548032812186,0.0,0.0063275406205507995,0.0055817947617002,0.0,0.0002937786716684,0.006530925854782699,0.10038191227316881,0.0068699012451696,0.0040804840298296,0.0,0.0002259835935911,0.0,0.0,0.0001129917967955,0.0037513276536121,0.014327359833675552,0.0,0.0,0.011467567187280099,0.0,0.0,0.0001129917967955,0.049196628324780355,0.0002937786716684,0.001039524530519,0.0,0.0,0.9209230336288143,0.0,0.0025084178888611,0.0,0.0,0.0,0.0,0.0,0.0,0.000632754062055,0.0,0.0,0.0,0.002463221170142821,0.0,0.0,0.0024623610524834,0.0002033852342319,0.0,0.0016044835144965,0.004632663668617258,0.4708368172470613,0.0006779507807733,0.0196831710017848,0.0004293688278231,2.259835935911053e-05,0.004203294840794321,0.0,0.0256789081187559,0.002982983435402542,0.0359978016855282,0.02709543287157283,0.0,0.0,0.001039524530519,0.0004067704684639,0.0,0.0,0.0,0,0,0,0,0
1-17,0.0,0.0,0.0,0.0066712874718415725,0.0,0.0,0.0,0.24013746895396096,0.0,0.0,0.008779529833073299,0.0,0.0,0.0009241610350603,0.0010974412291340002,0.10806908103736994,0.0,0.0030566138034907,0.0,0.0,0.0,0.0,0.0003754404204932,0.0028880032345636,0.04303124819499721,0.0,0.0,0.1711703729954814,0.0,0.0533125397100444,0.0001732801940738,0.4345000866400868,0.0002021602264194,0.0,0.0,0.0,0.7792593248870362,0.0,0.0008375209380233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000398688756977,0.0,0.0,0.0,0.0,0.0010631700186054,0.0004043204528389,0.0,0.0,0.0036677641078954,0.05553630220065517,0.0010685611967885,0.0146999364639284,0.0,0.0,0.012302893779240572,0.0,0.00903694515814624,0.0004043204528389,0.036245924639024235,0.0104834517414655,0.0,0.0,0.0,0.0002021602264194,0.0,0.0,0.0,0,0,0,0,0
