domain,model,loss,accuracy,mcc,roc_auc,aupr
ARC,CNN,weighted (pos_weight),0.6516,0.0901,0.5465,0.2932
ARC,CNN,unweighted,0.9161,0.0000,0.6043,0.2175
ARC,PMCNN,weighted (pos_weight),0.8452,0.0324,0.4405,0.2080
ARC,PMCNN,unweighted,0.9161,0.0000,0.4079,0.1642
ARC,MetaDR,weighted (pos_weight),0.8903,0.1373,0.6219,0.3674
ARC,MetaDR,unweighted,0.9290,0.1198,0.7078,0.4928
ARC,DeepPhylo,weighted (pos_weight),0.8065,0.0936,0.5583,0.1658
ARC,DeepPhylo,unweighted,0.8968,0.1446,0.4888,0.2334
BAC,CNN,weighted (pos_weight),0.7419,0.0736,0.6683,0.1898
BAC,CNN,unweighted,0.9161,0.0000,0.7306,0.2308
BAC,PMCNN,weighted (pos_weight),0.8581,0.1530,0.6412,0.2023
BAC,PMCNN,unweighted,0.8903,0.0513,0.6548,0.2257
BAC,MetaDR,weighted (pos_weight),0.8516,0.1511,0.6199,0.2034
BAC,MetaDR,unweighted,0.9161,0.1271,0.5926,0.2052
BAC,DeepPhylo,weighted (pos_weight),0.8774,0.0683,0.6711,0.3083
BAC,DeepPhylo,unweighted,0.8645,0.0516,0.8045,0.4979
merged,CNN,weighted (pos_weight),0.7548,0.0511,0.6942,0.2130
merged,CNN,unweighted,0.9032,0.0458,0.6612,0.2085
merged,PMCNN,weighted (pos_weight),0.8387,0.0887,0.5709,0.1879
merged,PMCNN,unweighted,0.8774,-0.0174,0.5626,0.1906
merged,MetaDR,weighted (pos_weight),0.8387,0.1422,0.6868,0.3814
merged,MetaDR,unweighted,0.9097,0.1183,0.6397,0.2173
merged,DeepPhylo,weighted (pos_weight),0.8710,0.0576,0.6407,0.1849
merged,DeepPhylo,unweighted,0.8452,0.0057,0.4649,0.1741
