domain,model,accuracy_mean,accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,aupr_mean,aupr_std
ARC,CNN,0.6690,0.0841,0.0381,0.1014,0.6226,0.1168,0.2866,0.0908
ARC,MetaDR,0.8135,0.0595,0.2606,0.0943,0.7440,0.0415,0.4673,0.0587
ARC,PMCNN,0.8699,0.0277,0.2135,0.1184,0.6922,0.1098,0.3836,0.1279
ARC,RF,0.9129,0.0201,0.1393,0.0732,0.8222,0.0507,0.5577,0.0866
ARC,DeepPhylo,0.8841,0.0285,0.1885,0.0661,0.7956,0.0150,0.4665,0.0808
BAC,CNN,0.7257,0.0666,0.2134,0.1181,0.7625,0.0959,0.4690,0.1691
BAC,MetaDR,0.8743,0.0411,0.2781,0.1427,0.7969,0.0787,0.4196,0.1039
BAC,PMCNN,0.8871,0.0245,0.3341,0.1723,0.7852,0.1174,0.4618,0.1632
BAC,RF,0.9271,0.0228,0.2693,0.1307,0.7887,0.1105,0.5190,0.1469
BAC,DeepPhylo,0.8857,0.0326,0.2516,0.1950,0.7865,0.1271,0.4377,0.1426
merged,CNN,0.7517,0.0632,0.2446,0.0573,0.7659,0.0314,0.4285,0.0541
merged,MetaDR,0.8685,0.0341,0.2291,0.0395,0.7563,0.0395,0.4172,0.0738
merged,PMCNN,0.8942,0.0187,0.3039,0.0793,0.8034,0.0288,0.5234,0.0439
merged,RF,0.9216,0.0243,0.1735,0.0612,0.8214,0.0602,0.5477,0.1261
merged,DeepPhylo,0.8901,0.0353,0.3307,0.1393,0.8076,0.0645,0.5287,0.0926
