SampleID,Round,Season,Site,No,HRT_d,T_C,Q_total_Tpy,substrate_type,substrate1_name,substrate1_Q,substrate1_pH,substrate1_ALK,substrate1_TS,substrate1_VS,substrate1_TSS,substrate1_VSS,substrate1_COD,substrate1_sCOD,substrate1_TC,substrate1_Protein,substrate1_Lipid,substrate1_TVFAs,substrate1_TVFAs_plus_EtOH,substrate1_EtOH,substrate1_HAc,substrate1_HPro,substrate1_i_HBut,substrate1_HBut,substrate1_i_HVal,substrate1_HVal,substrate1_i_HCap,substrate1_HCap,substrate2_name,substrate2_Q,substrate2_pH,substrate2_ALK,substrate2_TS,substrate2_VS,substrate2_TSS,substrate2_VSS,substrate2_COD,substrate2_sCOD,substrate2_TC,substrate2_Protein,substrate2_Lipid,substrate2_TVFAs,substrate2_TVFAs_plus_EtOH,substrate2_EtOH,substrate2_HAc,substrate2_HPro,substrate2_i_HBut,substrate2_HBut,substrate2_i_HVal,substrate2_HVal,substrate2_i_HCap,substrate2_HCap,substrate3_name,substrate3_Q,substrate3_pH,substrate3_ALK,substrate3_TS,substrate3_VS,substrate3_TSS,substrate3_VSS,substrate3_COD,substrate3_sCOD,substrate3_TC,substrate3_Protein,substrate3_Lipid,substrate3_TVFAs,substrate3_TVFAs_plus_EtOH,substrate3_EtOH,substrate3_HAc,substrate3_HPro,substrate3_i_HBut,substrate3_HBut,substrate3_i_HVal,substrate3_HVal,substrate3_i_HCap,substrate3_HCap,eff_pH,eff_ALK,eff_TS,eff_VS,eff_TSS,eff_VSS,eff_TC,eff_TKN,eff_TAN,eff_Lipid,eff_COD,eff_sCOD,eff_TVFAs,eff_TVFAs_plus_EtOH,eff_EtOH,eff_HAc,eff_HPro,eff_i_HBut,eff_HBut,eff_i_HVal,eff_HVal,eff_i_HCap,eff_HCap,eff_CO2,eff_CH4,eff_H2S,eff_O2
1-1,1,Summer,BSS,1,36.3,38,40179,FW,FW,40179,4.38,1.642,31.08,24.5,28.7,23.8,346.61,75.4,73.13,69.657,39.25,7.67,12.5,4.83,4.36,0.3,0,1.22,0,0.16,0,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,26.93,111.13,71.5,105.8,71,16.23,11.761312,7.606216,8.4,23.05,11.7,0.29,0.29,0,0.29,0,0,0,0,0,0,0,34.7,60.3,0.05,0.2
2-1,2,Fall,BSS,1,36.3,38,40179,FW,FW,40179,4.48,0,33.12,28.8,18.1,17.9,58.82,81.8,57.9,47.374,33.75,4.63,13.83,9.2,3.96,0.32,0,0.21,0,0,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,3.4738,29.38,20.7,135.8,99.5,4.31,12.83549,4.21247125,5.15,28.48,9.8,0.15,0.21,0.06,0.15,0,0,0,0,0,0,0,39.9,60.4,0.045,0.2
3-1,3,Winter,BSS,1,36.3,38,40179,FW,FW,40179,4.86,0.91,20.21,17.7,26.1,25.2,47.78,10.6,30.16,12.47,5.75,0.21,0.98,0.77,0.2,0,0,0,0,0,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,7.205,11.4,8.03,104.8,66.5,11.18,10.84055018,1.9543755,6.03,118.74,5.7,0.02,0.02,0,0.02,0,0,0,0,0,0,0,42.7,62.2,0.042,0
4-1,4,Spring,BSS,1,36.3,38,40179,FW,FW,40179,4.86,1.21,192.03,174.13,111,105.5,60.31,13.4,84.87,10.57,4.45,0.63,0.63,0,0.59,0,0,0.03,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,13.535,130.15,76.51,108.8,68.8,15.93,11.113594,1.9913,3.8,149.61,7.2,0,0,0,0,0,0,0,0,0,0,0,37.6,66.1,0.006,0.1
1-2,1,Summer,BSN,2,28,35~38,124985,1SC/2SC/Fww,1SC,48333,5.18,0.394,18.85,12.93,16.4,13.2,23.69,3.5,2.65,5.071,1.4,1.39,1.42,0.03,0.86,0.24,0.03,0.18,0.04,0.03,0,0,2SC,45386,6.71,2.306,34.93,24.82,30.1,24.6,20.79,2.5,4.78,20.151,2.43,1.16,1.16,0,0.63,0.21,0.08,0.07,0.14,0.02,0.02,0,Fww,31266,3.66,,81.82,69.63,40.8,37,112.92,67.5,20.19,21.789,7.42,0.07,0.18,0.11,0.07,0,0,0,0,0,0,0,7.56,6.184,30.65,18.67,27.9,19.3,3.41,3.1058725,1.4282788,1.5,30.13,1.2,0.08,0.08,0,0.08,0,0,0,0,0,0,0,28.6,58.2,0.003,1.7
2-2,2,Fall,BSN,2,28,35~38,124985,MSC/Fww,MSC,93719,5.98,0.1725,32.5,23.15,30.7,22.3,41.04,2.5,5.83,10.627,3.37,0.8,0.8,0,0.45,0.2,0.04,0.04,0.07,0,0,0,Fww,31266,4.02,0,49.67,39.12,14.3,13.1,112.03,70.3,7.43,15.549,6.77,11.66,17.85,6.19,9.69,1.82,0.05,0.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6.69,1.1783,32.13,20.05,29.5,19.7,5.76,3.210514,1.1261428,2.67,30.95,0.6,0.16,0.23,0.08,0.13,0.02,0,0,0,0,0,0,46.3,51.6,2.533,0.5
3-2,3,Winter,BSN,2,28,35~38,124985,MSC/Fww,MSC,93719,6.04,0.675,44.63,33.75,36.8,29.2,64.15,2,12.56,17.67,3.87,0.02,0.02,0,0.02,0,0,0,0,0,0,0,Fww,31266,3.57,,62.88,51.22,20.2,18.5,120.02,44.4,18.03,18.06,6.75,4.59,8.16,3.57,4.07,0.52,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.63,2.8513,29.03,17.37,25,17.1,5.6,3.21647879,0.6412464,2.03,31.78,1.1,0.01,0.01,0,0.01,0,0,0,0,0,0,0,42.9,58.6,1.687,0
4-2,4,Spring,BSN,2,28,35~38,124985,MSC/Fww,MSC,93719,5.78,8.8,32.77,24.78,29.7,24.6,51.73,1.6,22.52,17.67,2.4,1.11,1.11,0,0.25,0.2,0.03,0.18,0.06,0.07,0.32,0,Fww,31266,3.55,,66.63,52.75,21.8,20.8,109.24,40.4,11.77,21.05,5.4,4.12,4.12,0,3.96,0.17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.46,4.443,25.78,15.88,31,25.1,11.2,2.6239,0.59835,1.7,24.13,0.8,0,0,0,0,0,0,0,0,0,0,0,44.8,56.1,0.917,0.1
1-3,1,Summer,BSI,3,25,35,326166,MSC,MSC,326166,5.71,,37.03,29.12,36.6,29.9,53.29,0.3,8.68,12.287,4.43,0.75,0.75,0,0.52,0.1,0.03,0.05,0.04,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,4.34,29.57,20.87,29.2,21.4,6.65,2.926281,1.0796604,2.05,26.3,0.3,0.01,0.01,0,0.01,0,0,0,0,0,0,0,31.97,67.14,7.321,0.1
2-3,2,Fall,BSI,3,25,35,326166,MSC,MSC,326166,5.79,0.1198,37.5,30.37,39,32.5,55.53,1.4,9.11,12.054,4.6,0.07,0.07,0,0.07,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,4.6,30.9,21.22,25.8,18.7,5.11,3.465055,1.3247496,2.9,27.46,0.6,0,0,0,0,0,0,0,0,0,0,0,32.76,66.69,3.022,0.2
