feature,reduced_feature,label,n_members
023699ea1718b4d160d27803ec78b3b8,F00000,023699ea1718b4d160d27803ec78b3b8,1
02bc9f1c8263ce565cfa8174b56af2de,F00001,02bc9f1c8263ce565cfa8174b56af2de,1
02fa96f8e560df1558be520ea8974c36,F00002,02fa96f8e560df1558be520ea8974c36,1
1050f5391c721945e2d13b52590863c8,F00003,1050f5391c721945e2d13b52590863c8,1
10a3f0c3d01c25568231cc8e34ac71e9,F00004,10a3f0c3d01c25568231cc8e34ac71e9,1
12041ed58f0b14a5efb2687b72fc5883,F00005,12041ed58f0b14a5efb2687b72fc5883,1
16c2f15da415b4546ce1c002e9d4af2f,F00006,16c2f15da415b4546ce1c002e9d4af2f,1
17f5ad00f1550adc7f09ec9878c74854,F00007,17f5ad00f1550adc7f09ec9878c74854,1
19d2984a92774f1291ebc1812f80368c,F00008,19d2984a92774f1291ebc1812f80368c,1
1a433b76c67f913b4f7cc8407901424b,F00009,1a433b76c67f913b4f7cc8407901424b,1
1a8e3305231911ff8307602f1d620be0,F00010,1a8e3305231911ff8307602f1d620be0,1
1ddf7a4f8fa50bc3afd457f1b0144ae0,F00011,1ddf7a4f8fa50bc3afd457f1b0144ae0,1
25f31a7f3499828c16d4648976563910,F00012,25f31a7f3499828c16d4648976563910,1
286ed5db3cf03aacbcee204d7d08e47a,F00013,286ed5db3cf03aacbcee204d7d08e47a,1
29605d99f5fbd1bb2e4a490a00b4d349,F00014,29605d99f5fbd1bb2e4a490a00b4d349,1
314b1f98dcfc0e5d25ba5e55d8b6ee76,F00015,314b1f98dcfc0e5d25ba5e55d8b6ee76,1
327914bbcbfe425fb2d5caaf9d8688a1,F00016,327914bbcbfe425fb2d5caaf9d8688a1,1
32ca5d025a945643ba997f7d6807fd55,F00017,32ca5d025a945643ba997f7d6807fd55,1
381cc4167053f528de8e10567d4a509e,F00018,381cc4167053f528de8e10567d4a509e,1
38b4614f196a6b70fbaaf8e7a4e8c93c,F00019,38b4614f196a6b70fbaaf8e7a4e8c93c,1
39003a99b6f7d9f46b1d35054fb105a4,F00020,39003a99b6f7d9f46b1d35054fb105a4,1
3aeb85bc05fe3a36283129a1ffeabb08,F00021,3aeb85bc05fe3a36283129a1ffeabb08,1
3b768ad6b26d688837b3511e5d2316d2,F00022,3b768ad6b26d688837b3511e5d2316d2,1
403f44e3acc590aac28fbbf90db56c82,F00023,403f44e3acc590aac28fbbf90db56c82,1
4194fdb699f4d5c9620e1e7cfb8b009b,F00024,4194fdb699f4d5c9620e1e7cfb8b009b,1
42a47c900cdc49f94a53eed8c41f0e26,F00025,42a47c900cdc49f94a53eed8c41f0e26,1
44af561c5cc186bab14bb642db029507,F00026,44af561c5cc186bab14bb642db029507,1
457c4253db2b49c51b3eee5a91a8c3e2,F00027,457c4253db2b49c51b3eee5a91a8c3e2,1
4640abb4e57a2e5406a094ea8c767b29,F00028,4640abb4e57a2e5406a094ea8c767b29,1
4750ce969c821602aaf6c14b59b54fb5,F00029,4750ce969c821602aaf6c14b59b54fb5,1
50a53e82bd7a1073e097d99b1c09ea4d,F00030,50a53e82bd7a1073e097d99b1c09ea4d,1
52856184ae551af1f787a0e2cabeb489,F00031,52856184ae551af1f787a0e2cabeb489,1
52e86b2d78a48335b0ca8ebd5a0a8e33,F00032,52e86b2d78a48335b0ca8ebd5a0a8e33,1
555475266b6cb0a520bef6c39a48d159,F00033,555475266b6cb0a520bef6c39a48d159,1
55b24a137213d3162da4cfe59b919eb1,F00034,55b24a137213d3162da4cfe59b919eb1,1
58de505db56b2250b12c7cd7ec5bfa50,F00035,58de505db56b2250b12c7cd7ec5bfa50,1
5a72697a45f01e085759fa49e855d45e,F00036,5a72697a45f01e085759fa49e855d45e,1
5b100fa0f8a80a2787b1ce75da347c96,F00037,5b100fa0f8a80a2787b1ce75da347c96,1
5cb290154506065751d3f3dcb3bd6e49,F00038,5cb290154506065751d3f3dcb3bd6e49,1
5f82594b470d8305c49e494a0b1f8e2d,F00039,5f82594b470d8305c49e494a0b1f8e2d,1
632f8d81d529f701f53503c07bcedfea,F00040,632f8d81d529f701f53503c07bcedfea,1
6a00550a934a2665f470eeec33616366,F00041,6a00550a934a2665f470eeec33616366,1
6d34ed1cd41fa02613b0316716db2dfd,F00042,6d34ed1cd41fa02613b0316716db2dfd,1
7029dd7b1fe970d81fbff18315097ae2,F00043,7029dd7b1fe970d81fbff18315097ae2,1
783749c187ad3cb6e60ccecdd73fd8ef,F00044,783749c187ad3cb6e60ccecdd73fd8ef,1
78977f9f4a20502c6b3b7ebac9c44e8a,F00045,78977f9f4a20502c6b3b7ebac9c44e8a,1
7d08e012440864f4bdcbe45b245d6018,F00046,7d08e012440864f4bdcbe45b245d6018,1
7e1358d4c75d76660cd41807786b38a1,F00047,7e1358d4c75d76660cd41807786b38a1,1
7f90457e0b5af1edd82418cb3c9089b4,F00048,7f90457e0b5af1edd82418cb3c9089b4,1
7f9baea74fd8c885613b0289b667b7ef,F00049,7f9baea74fd8c885613b0289b667b7ef,1
7fb850c5cd377da752f7b081daed5032,F00050,7fb850c5cd377da752f7b081daed5032,1
808302d4e71aa7321e30e37e3c206b34,F00051,808302d4e71aa7321e30e37e3c206b34,1
848d410ed3344d3265fb12d6cc553dd7,F00052,848d410ed3344d3265fb12d6cc553dd7,1
87078040a976e7ceb82734c0713fd4e2,F00053,87078040a976e7ceb82734c0713fd4e2,1
88fa6e2c26361b8b7ca8a72ae1ed781f,F00054,88fa6e2c26361b8b7ca8a72ae1ed781f,1
8995879a30350364c8d6147a828733ee,F00055,8995879a30350364c8d6147a828733ee,1
8e333f1b211b57d7155127a48676195a,F00056,8e333f1b211b57d7155127a48676195a,1
925f2beecb4475f754479219e21c2da2,F00057,925f2beecb4475f754479219e21c2da2,1
94dd0e8babaa6ccb7b9e12f497ea4773,F00058,94dd0e8babaa6ccb7b9e12f497ea4773,1
98eadfe35eb7a1fc42331d68785b272e,F00059,98eadfe35eb7a1fc42331d68785b272e,1
9a4d00f3f8a14dc8f2ff7fabf04f6ebb,F00060,9a4d00f3f8a14dc8f2ff7fabf04f6ebb,1
9b62d6c84b96aa64eaeff3b764d77da1,F00061,9b62d6c84b96aa64eaeff3b764d77da1,1
9d23b3373cdd04079b0a346a91fddab8,F00062,9d23b3373cdd04079b0a346a91fddab8,1
a2ff073fb23039e822fba8a653a34527,F00063,a2ff073fb23039e822fba8a653a34527,1
a4b21ca3dc01eada0962e57c2fded727,F00064,a4b21ca3dc01eada0962e57c2fded727,1
