feature,reduced_feature,label,n_members
00dc33ec884559af84fbee215340a0a7,F00000,00dc33ec884559af84fbee215340a0a7,1
00fb9ba9e561d2fb9491e29c03c1a54d,F00001,00fb9ba9e561d2fb9491e29c03c1a54d,1
00fc496e7c7ae9ed1cd417cbb1eeac63,F00002,00fc496e7c7ae9ed1cd417cbb1eeac63,1
017db127fef383cc799fa2f1cb602e42,F00003,017db127fef383cc799fa2f1cb602e42,1
0247e2c1c5332be818ada86088173ada,F00004,0247e2c1c5332be818ada86088173ada,1
02656ed7904185a45b3392df3865559d,F00005,02656ed7904185a45b3392df3865559d,1
0288460a8fc8f72d19bd9217c24f5135,F00006,0288460a8fc8f72d19bd9217c24f5135,1
02df43114f2adb3c04cd092ba73f196e,F00007,02df43114f2adb3c04cd092ba73f196e,1
02ebf2e144b48b9364db8bbc1601eecb,F00008,02ebf2e144b48b9364db8bbc1601eecb,1
031f8476e1271966343ab51e5443b59f,F00009,031f8476e1271966343ab51e5443b59f,1
032633d0ae178a54397ed0a169940075,F00010,032633d0ae178a54397ed0a169940075,1
03c4257a646710da0577fb8e0ba616fe,F00011,03c4257a646710da0577fb8e0ba616fe,1
040ecdadcc91fdc72f813492cb08c526,F00012,040ecdadcc91fdc72f813492cb08c526,1
04203cd4051206a8542e4479f465cb72,F00013,04203cd4051206a8542e4479f465cb72,1
0438841f927b7d59d259c48e2e65d221,F00014,0438841f927b7d59d259c48e2e65d221,1
044ede9d0e4b57586490ed30ba8f3503,F00015,044ede9d0e4b57586490ed30ba8f3503,1
0476084d84ffac011128194827de75a1,F00016,0476084d84ffac011128194827de75a1,1
056f8f654a0421a8ee6fc20631e5e685,F00017,056f8f654a0421a8ee6fc20631e5e685,1
05ce748890eaa48a73fa4242c742a300,F00018,05ce748890eaa48a73fa4242c742a300,1
0642c986d8924269a6cc25897269c82b,F00019,0642c986d8924269a6cc25897269c82b,1
06b53ea272d39303859601d5c8551d44,F00020,06b53ea272d39303859601d5c8551d44,1
07f71f08a0e8cb59853231df31e7589d,F00021,07f71f08a0e8cb59853231df31e7589d,1
08fe4403784eeb61e1575052647a0ade,F00022,08fe4403784eeb61e1575052647a0ade,1
0997a18d287cf7a7a8f56292898359fe,F00023,0997a18d287cf7a7a8f56292898359fe,1
0a1ec22d7b03eca64d3db89c75e1ec7f,F00024,0a1ec22d7b03eca64d3db89c75e1ec7f,1
0ba20949217a070e80efb95e916cc8b8,F00025,0ba20949217a070e80efb95e916cc8b8,1
0bca5b2c428c5d7f446a0984d6227232,F00026,0bca5b2c428c5d7f446a0984d6227232,1
0c580e732f78fa92a5a0f60dc298dff6,F00027,0c580e732f78fa92a5a0f60dc298dff6,1
0c791a1336913b1f34a8324f9d99c277,F00028,0c791a1336913b1f34a8324f9d99c277,1
0d327886ed690b00cca8435fc2d75dc0,F00029,0d327886ed690b00cca8435fc2d75dc0,1
0d65543f374036f1abd01a8e561f157b,F00030,0d65543f374036f1abd01a8e561f157b,1
0e20bfe5c8fd584d19a3c7deeac3c9fb,F00031,0e20bfe5c8fd584d19a3c7deeac3c9fb,1
0eea472c01ef9c1499f8038cfc249a61,F00032,0eea472c01ef9c1499f8038cfc249a61,1
