feature,reduced_feature,label,n_members
00dc33ec884559af84fbee215340a0a7,F00000,00dc33ec884559af84fbee215340a0a7,1
00fb9ba9e561d2fb9491e29c03c1a54d,F00001,00fb9ba9e561d2fb9491e29c03c1a54d,1
00fc496e7c7ae9ed1cd417cbb1eeac63,F00002,00fc496e7c7ae9ed1cd417cbb1eeac63,1
017db127fef383cc799fa2f1cb602e42,F00003,017db127fef383cc799fa2f1cb602e42,1
023699ea1718b4d160d27803ec78b3b8,F00004,023699ea1718b4d160d27803ec78b3b8,1
0247e2c1c5332be818ada86088173ada,F00005,0247e2c1c5332be818ada86088173ada,1
02656ed7904185a45b3392df3865559d,F00006,02656ed7904185a45b3392df3865559d,1
0288460a8fc8f72d19bd9217c24f5135,F00007,0288460a8fc8f72d19bd9217c24f5135,1
02bc9f1c8263ce565cfa8174b56af2de,F00008,02bc9f1c8263ce565cfa8174b56af2de,1
02df43114f2adb3c04cd092ba73f196e,F00009,02df43114f2adb3c04cd092ba73f196e,1
02ebf2e144b48b9364db8bbc1601eecb,F00010,02ebf2e144b48b9364db8bbc1601eecb,1
02fa96f8e560df1558be520ea8974c36,F00011,02fa96f8e560df1558be520ea8974c36,1
031f8476e1271966343ab51e5443b59f,F00012,031f8476e1271966343ab51e5443b59f,1
032633d0ae178a54397ed0a169940075,F00013,032633d0ae178a54397ed0a169940075,1
040ecdadcc91fdc72f813492cb08c526,F00014,040ecdadcc91fdc72f813492cb08c526,1
0438841f927b7d59d259c48e2e65d221,F00015,0438841f927b7d59d259c48e2e65d221,1
044ede9d0e4b57586490ed30ba8f3503,F00016,044ede9d0e4b57586490ed30ba8f3503,1
05ce748890eaa48a73fa4242c742a300,F00017,05ce748890eaa48a73fa4242c742a300,1
06b53ea272d39303859601d5c8551d44,F00018,06b53ea272d39303859601d5c8551d44,1
08fe4403784eeb61e1575052647a0ade,F00019,08fe4403784eeb61e1575052647a0ade,1
0997a18d287cf7a7a8f56292898359fe,F00020,0997a18d287cf7a7a8f56292898359fe,1
0a1ec22d7b03eca64d3db89c75e1ec7f,F00021,0a1ec22d7b03eca64d3db89c75e1ec7f,1
0ba20949217a070e80efb95e916cc8b8,F00022,0ba20949217a070e80efb95e916cc8b8,1
0c580e732f78fa92a5a0f60dc298dff6,F00023,0c580e732f78fa92a5a0f60dc298dff6,1
0d327886ed690b00cca8435fc2d75dc0,F00024,0d327886ed690b00cca8435fc2d75dc0,1
0d65543f374036f1abd01a8e561f157b,F00025,0d65543f374036f1abd01a8e561f157b,1
0e20bfe5c8fd584d19a3c7deeac3c9fb,F00026,0e20bfe5c8fd584d19a3c7deeac3c9fb,1
0eea472c01ef9c1499f8038cfc249a61,F00027,0eea472c01ef9c1499f8038cfc249a61,1
0f002d2fba0fbf1de7a03c6203bca498,F00028,0f002d2fba0fbf1de7a03c6203bca498,1
0f9eea73c587247148c0720f59e019dd,F00029,0f9eea73c587247148c0720f59e019dd,1
0fdc03d592d1dec4d1bd1a4ef62bd98a,F00030,0fdc03d592d1dec4d1bd1a4ef62bd98a,1
0fe29e58f5543d48fccdc5ae22ede89b,F00031,0fe29e58f5543d48fccdc5ae22ede89b,1
