feature,reduced_feature,label,n_members
19d2984a92774f1291ebc1812f80368c,F00000,19d2984a92774f1291ebc1812f80368c,1
4194fdb699f4d5c9620e1e7cfb8b009b,F00001,4194fdb699f4d5c9620e1e7cfb8b009b,1
55b24a137213d3162da4cfe59b919eb1,F00002,55b24a137213d3162da4cfe59b919eb1,1
58de505db56b2250b12c7cd7ec5bfa50,F00003,58de505db56b2250b12c7cd7ec5bfa50,1
783749c187ad3cb6e60ccecdd73fd8ef,F00004,783749c187ad3cb6e60ccecdd73fd8ef,1
7f9baea74fd8c885613b0289b667b7ef,F00005,7f9baea74fd8c885613b0289b667b7ef,1
808302d4e71aa7321e30e37e3c206b34,F00006,808302d4e71aa7321e30e37e3c206b34,1
88fa6e2c26361b8b7ca8a72ae1ed781f,F00007,88fa6e2c26361b8b7ca8a72ae1ed781f,1
98eadfe35eb7a1fc42331d68785b272e,F00008,98eadfe35eb7a1fc42331d68785b272e,1
38b4614f196a6b70fbaaf8e7a4e8c93c,F00009,Bathyarchaeia,3
7fb850c5cd377da752f7b081daed5032,F00009,Bathyarchaeia,3
ff99ce9f30cb848340bb383b42d8d180,F00009,Bathyarchaeia,3
1050f5391c721945e2d13b52590863c8,F00010,Candidatus_Methanofastidiosum,5
16c2f15da415b4546ce1c002e9d4af2f,F00010,Candidatus_Methanofastidiosum,5
78977f9f4a20502c6b3b7ebac9c44e8a,F00010,Candidatus_Methanofastidiosum,5
abb98aa85e9528ef54e3078ff40ac726,F00010,Candidatus_Methanofastidiosum,5
fcbf3bff176f502b94454a3fff27335a,F00010,Candidatus_Methanofastidiosum,5
6a00550a934a2665f470eeec33616366,F00011,Candidatus_Methanomethylicus,2
d43d3c9dc33aa66b585a098fc7709276,F00011,Candidatus_Methanomethylicus,2
1a433b76c67f913b4f7cc8407901424b,F00012,Candidatus_Methanoplasma,2
a4b21ca3dc01eada0962e57c2fded727,F00012,Candidatus_Methanoplasma,2
8e333f1b211b57d7155127a48676195a,F00013,Methanocorpusculum,1
10a3f0c3d01c25568231cc8e34ac71e9,F00014,Methanoculleus,14
50a53e82bd7a1073e097d99b1c09ea4d,F00014,Methanoculleus,14
555475266b6cb0a520bef6c39a48d159,F00014,Methanoculleus,14
5a72697a45f01e085759fa49e855d45e,F00014,Methanoculleus,14
7d08e012440864f4bdcbe45b245d6018,F00014,Methanoculleus,14
848d410ed3344d3265fb12d6cc553dd7,F00014,Methanoculleus,14
8995879a30350364c8d6147a828733ee,F00014,Methanoculleus,14
be9a41b79221b8bac88367688262c956,F00014,Methanoculleus,14
cc5fece67be5e3c11717192e70c80cda,F00014,Methanoculleus,14
d86b959bbfa24418060a39909a555364,F00014,Methanoculleus,14
de0cc0fb4800458938f4508ae73d22a4,F00014,Methanoculleus,14
ebb611e11f12869b1c6a129b7874f35c,F00014,Methanoculleus,14
f28904ec5741bc0ea948cd3e414c47b9,F00014,Methanoculleus,14
ff2ddcb0273425f900af1f8d1b4d90a8,F00014,Methanoculleus,14
023699ea1718b4d160d27803ec78b3b8,F00015,Methanolinea__b1,6
42a47c900cdc49f94a53eed8c41f0e26,F00015,Methanolinea__b1,6
5f82594b470d8305c49e494a0b1f8e2d,F00015,Methanolinea__b1,6
925f2beecb4475f754479219e21c2da2,F00015,Methanolinea__b1,6
b980bbc29499a5ae07b6c0afaccc728a,F00015,Methanolinea__b1,6
d2eae9eee73c95835ab2e47bc463c38e,F00015,Methanolinea__b1,6
c83d66ff9b2828b3f564019f4b9c54a4,F00016,Methanolinea__b2,1
3aeb85bc05fe3a36283129a1ffeabb08,F00017,Methanolinea__b3,1
7029dd7b1fe970d81fbff18315097ae2,F00018,Methanolinea__b4,1
4750ce969c821602aaf6c14b59b54fb5,F00019,Methanolinea__b5,1
381cc4167053f528de8e10567d4a509e,F00020,Methanomassiliicoccus,3
3b768ad6b26d688837b3511e5d2316d2,F00020,Methanomassiliicoccus,3
7f90457e0b5af1edd82418cb3c9089b4,F00020,Methanomassiliicoccus,3
52856184ae551af1f787a0e2cabeb489,F00021,Methanomethylovorans__b1,2
ca8d0a8123dfcdaed30eb0c534b00db9,F00021,Methanomethylovorans__b1,2
32ca5d025a945643ba997f7d6807fd55,F00022,Methanomethylovorans__b2,1
286ed5db3cf03aacbcee204d7d08e47a,F00023,Methanoregula,2
bc22acbc6a8407cc340e8bb6c6842074,F00023,Methanoregula,2
02fa96f8e560df1558be520ea8974c36,F00024,Methanosaeta__b1,13
17f5ad00f1550adc7f09ec9878c74854,F00024,Methanosaeta__b1,13
314b1f98dcfc0e5d25ba5e55d8b6ee76,F00024,Methanosaeta__b1,13
403f44e3acc590aac28fbbf90db56c82,F00024,Methanosaeta__b1,13
52e86b2d78a48335b0ca8ebd5a0a8e33,F00024,Methanosaeta__b1,13
5cb290154506065751d3f3dcb3bd6e49,F00024,Methanosaeta__b1,13
7e1358d4c75d76660cd41807786b38a1,F00024,Methanosaeta__b1,13
a2ff073fb23039e822fba8a653a34527,F00024,Methanosaeta__b1,13
a6cdde7256831dcfab80f676aa3f4af1,F00024,Methanosaeta__b1,13
a875c453fc275b8f21ef13228c53d599,F00024,Methanosaeta__b1,13
affb92affb42b1e328ff172e448b9d90,F00024,Methanosaeta__b1,13
c0ae40a2b35c2deb05c5fdafc48da2df,F00024,Methanosaeta__b1,13
f96d60fc409a6ea2fa0d7f4982a9074a,F00024,Methanosaeta__b1,13
f8710826ee1989b105979994923f5f3b,F00025,Methanosaeta__b2,1
02bc9f1c8263ce565cfa8174b56af2de,F00026,Methanosaeta__b3,1
29605d99f5fbd1bb2e4a490a00b4d349,F00027,Methanosarcina,5
44af561c5cc186bab14bb642db029507,F00027,Methanosarcina,5
94dd0e8babaa6ccb7b9e12f497ea4773,F00027,Methanosarcina,5
9a4d00f3f8a14dc8f2ff7fabf04f6ebb,F00027,Methanosarcina,5
d939e81b4199d074f14d7056eaa88d14,F00027,Methanosarcina,5
1ddf7a4f8fa50bc3afd457f1b0144ae0,F00028,Methanosphaerula,3
39003a99b6f7d9f46b1d35054fb105a4,F00028,Methanosphaerula,3
5b100fa0f8a80a2787b1ce75da347c96,F00028,Methanosphaerula,3
12041ed58f0b14a5efb2687b72fc5883,F00029,Methanospirillum,15
1a8e3305231911ff8307602f1d620be0,F00029,Methanospirillum,15
25f31a7f3499828c16d4648976563910,F00029,Methanospirillum,15
327914bbcbfe425fb2d5caaf9d8688a1,F00029,Methanospirillum,15
457c4253db2b49c51b3eee5a91a8c3e2,F00029,Methanospirillum,15
4640abb4e57a2e5406a094ea8c767b29,F00029,Methanospirillum,15
6d34ed1cd41fa02613b0316716db2dfd,F00029,Methanospirillum,15
87078040a976e7ceb82734c0713fd4e2,F00029,Methanospirillum,15
9d23b3373cdd04079b0a346a91fddab8,F00029,Methanospirillum,15
aa2edf44a5b107222a97023841eea577,F00029,Methanospirillum,15
b409e30f6f5f285720e9ed414ccfd84c,F00029,Methanospirillum,15
e1091d46caa149938c27c77d49258ad7,F00029,Methanospirillum,15
ed701a469132c0a7dd6f90e9c705bdd0,F00029,Methanospirillum,15
f186861cde475b7d61373839592619fc,F00029,Methanospirillum,15
fe290f48286b86b1ae833009c9bf64a2,F00029,Methanospirillum,15
9b62d6c84b96aa64eaeff3b764d77da1,F00030,RumEn_M2,1
fc0651422f017372960928f220b834d7,F00031,SCGC_AAA011_D5,1
632f8d81d529f701f53503c07bcedfea,F00032,Woesearchaeales,1
c17275cccc27dc9a4ab351a310c063c8,F00033,c17275cccc27dc9a4ab351a310c063c8,1
c4a2579e95fee657cb355e865aa027af,F00034,c4a2579e95fee657cb355e865aa027af,1
c7296ef1f151ce35671f25582df609dc,F00035,c7296ef1f151ce35671f25582df609dc,1
cca7777d25945dbdb89d6cccbce09c5d,F00036,cca7777d25945dbdb89d6cccbce09c5d,1
d7c555c6a185de9a0a44e98fb0be730d,F00037,d7c555c6a185de9a0a44e98fb0be730d,1
db32f914db89e6f6b0fe7d66afc46ba1,F00038,db32f914db89e6f6b0fe7d66afc46ba1,1
e5f52b2c18e6f178fcc24bed0ff62f5b,F00039,e5f52b2c18e6f178fcc24bed0ff62f5b,1
eb0898e38a817c5648a19a5e3db2c1be,F00040,eb0898e38a817c5648a19a5e3db2c1be,1
f564537bd84fc6fc7664934190ec6824,F00041,f564537bd84fc6fc7664934190ec6824,1
