SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,Group
1-1,16.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,28.0,0.0,0.0,11390.0,0.0,0.0,0.0,0.0,18.0,29.0,0.0,273.0,0.0,0.0,142.0,0.0,21.0,65.0,74.0,60.0,0.0,0.0,0.0,Warning
1-10,39.0,0.0,66.0,60.0,0.0,1658.0,1552.0,0.0,312.0,0.0,0.0,51.0,409.0,433.0,37.0,237.0,1015.0,30.0,436.0,702.0,5050.0,14169.0,103.0,24.0,390.0,0.0,1184.0,358.0,11479.0,795.0,701.0,529.0,177.0,0.0,0.0,Normal
1-11,86.0,0.0,0.0,116.0,0.0,545.0,1961.0,0.0,131.0,0.0,0.0,27.0,201.0,1979.0,92.0,120.0,4588.0,39.0,142.0,597.0,4753.0,11534.0,201.0,43.0,949.0,0.0,365.0,214.0,224.0,427.0,336.0,286.0,58.0,0.0,0.0,Normal
1-11b,41.0,0.0,0.0,48.0,44.0,81.0,334.0,0.0,56.0,0.0,0.0,0.0,58.0,472.0,45.0,56.0,1573.0,21.0,69.0,464.0,1474.0,4517.0,71.0,25.0,340.0,0.0,135.0,114.0,62.0,131.0,78.0,63.0,17.0,1.0,0.0,Normal
1-12,0.0,0.0,0.0,0.0,0.0,0.0,29.0,47.0,31.0,0.0,16.0,0.0,33.0,0.0,0.0,1004.0,0.0,0.0,0.0,0.0,1486.0,13413.0,0.0,91.0,0.0,138.0,0.0,12.0,40.0,56.0,27.0,22.0,1.0,0.0,0.0,Warning
1-13,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,68.0,0.0,0.0,6.0,79.0,3306.0,0.0,1186.0,9.0,0.0,0.0,0.0,9646.0,536.0,453.0,84.0,0.0,0.0,0.0,192.0,4298.0,166.0,127.0,105.0,0.0,37.0,156.0,Warning
1-14,12.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,70.0,0.0,0.0,15784.0,0.0,0.0,0.0,0.0,49.0,85.0,0.0,0.0,0.0,1957.0,595.0,0.0,20.0,160.0,120.0,68.0,0.0,0.0,0.0,Normal
1-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,71.0,14.0,0.0,614.0,2350.0,670.0,0.0,0.0,3638.0,4203.0,10.0,49.0,0.0,0.0,518.0,92.0,4438.0,202.0,127.0,117.0,0.0,0.0,32.0,Normal
1-16,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,5.0,0.0,53.0,0.0,9.0,131.0,2274.0,30.0,53.0,170.0,1777.0,2437.0,19.0,40.0,159.0,0.0,200.0,38.0,0.0,136.0,96.0,76.0,0.0,0.0,0.0,Normal
1-17,7.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,45.0,23.0,46.0,0.0,59.0,0.0,0.0,545.0,0.0,280.0,34.0,0.0,5585.0,9810.0,33.0,143.0,0.0,0.0,28.0,69.0,3825.0,124.0,105.0,92.0,0.0,0.0,24.0,Normal
1-18,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,87.0,0.0,0.0,42.0,0.0,0.0,321.0,29.0,517.0,53.0,0.0,2616.0,8481.0,23.0,17.0,49.0,0.0,3.0,115.0,59.0,111.0,69.0,42.0,0.0,0.0,0.0,Normal
1-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,53.0,0.0,0.0,20479.0,0.0,0.0,0.0,0.0,58.0,96.0,0.0,32.0,0.0,957.0,35.0,0.0,31.0,130.0,72.0,101.0,0.0,0.0,0.0,Normal
1-2,5056.0,27.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,27.0,5131.0,0.0,150.0,0.0,31.0,0.0,0.0,760.0,164.0,189.0,8.0,44.0,0.0,95.0,0.0,1327.0,50.0,47.0,36.0,0.0,0.0,157.0,Normal
1-20,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,88.0,0.0,0.0,11083.0,0.0,0.0,0.0,0.0,203.0,8029.0,0.0,22.0,0.0,97.0,285.0,0.0,105.0,211.0,149.0,147.0,0.0,0.0,0.0,Warning
1-21,0.0,0.0,0.0,0.0,0.0,0.0,4171.0,0.0,45.0,0.0,0.0,0.0,54.0,196.0,0.0,71.0,192.0,115.0,82.0,0.0,2126.0,7932.0,17.0,31.0,66.0,0.0,201.0,39.0,4637.0,122.0,82.0,85.0,0.0,0.0,0.0,Normal
1-22,0.0,13.0,0.0,0.0,0.0,0.0,0.0,342.0,62.0,0.0,504.0,17.0,93.0,0.0,0.0,261.0,32.0,0.0,0.0,0.0,21005.0,5902.0,33.0,1978.0,0.0,79.0,0.0,96.0,51.0,204.0,127.0,126.0,0.0,0.0,0.0,Warning
1-23,730.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,40.0,0.0,0.0,1214.0,569.0,154.0,26.0,14.0,6495.0,3006.0,237.0,22.0,314.0,0.0,205.0,64.0,3096.0,96.0,102.0,61.0,0.0,4.0,92.0,Normal
1-24,0.0,0.0,3.0,0.0,6.0,0.0,119.0,0.0,39.0,0.0,0.0,0.0,44.0,3422.0,14.0,62.0,198.0,30.0,0.0,0.0,1471.0,2755.0,0.0,24.0,0.0,0.0,54.0,11.0,1099.0,99.0,92.0,53.0,0.0,0.0,0.0,Normal
1-25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,158.0,0.0,0.0,31.0,36.0,0.0,141.0,8911.0,18.0,0.0,0.0,335.0,1188.0,25.0,0.0,0.0,0.0,472.0,0.0,2965.0,89.0,91.0,30.0,0.0,0.0,0.0,Normal
1-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,56.0,23.0,0.0,0.0,2106.0,144.0,0.0,529.0,0.0,0.0,0.0,0.0,19.0,60.0,52.0,32.0,0.0,0.0,0.0,Normal
