feature,reduced_feature,label,n_members
017db127fef383cc799fa2f1cb602e42,F00000,017db127fef383cc799fa2f1cb602e42,1
0247e2c1c5332be818ada86088173ada,F00001,0247e2c1c5332be818ada86088173ada,1
02ebf2e144b48b9364db8bbc1601eecb,F00002,02ebf2e144b48b9364db8bbc1601eecb,1
032633d0ae178a54397ed0a169940075,F00003,032633d0ae178a54397ed0a169940075,1
03c4257a646710da0577fb8e0ba616fe,F00004,03c4257a646710da0577fb8e0ba616fe,1
04203cd4051206a8542e4479f465cb72,F00005,04203cd4051206a8542e4479f465cb72,1
056f8f654a0421a8ee6fc20631e5e685,F00006,056f8f654a0421a8ee6fc20631e5e685,1
0642c986d8924269a6cc25897269c82b,F00007,0642c986d8924269a6cc25897269c82b,1
08fe4403784eeb61e1575052647a0ade,F00008,08fe4403784eeb61e1575052647a0ade,1
0997a18d287cf7a7a8f56292898359fe,F00009,0997a18d287cf7a7a8f56292898359fe,1
0c791a1336913b1f34a8324f9d99c277,F00010,0c791a1336913b1f34a8324f9d99c277,1
0e20bfe5c8fd584d19a3c7deeac3c9fb,F00011,0e20bfe5c8fd584d19a3c7deeac3c9fb,1
0fe29e58f5543d48fccdc5ae22ede89b,F00012,0fe29e58f5543d48fccdc5ae22ede89b,1
11a92e5adb54c33e50abea20a4552431,F00013,11a92e5adb54c33e50abea20a4552431,1
12b0f1a55a7d82c23f3e4f41d991d9aa,F00014,12b0f1a55a7d82c23f3e4f41d991d9aa,1
12e9b7352b61020a62dbc22aaab8bdb6,F00015,12e9b7352b61020a62dbc22aaab8bdb6,1
13524c7ee4f8d0cf97053eca3d593108,F00016,13524c7ee4f8d0cf97053eca3d593108,1
13961e14b66c043810d6b495e26d2d71,F00017,13961e14b66c043810d6b495e26d2d71,1
14de578b5b76a433794d04871c7e8ecc,F00018,14de578b5b76a433794d04871c7e8ecc,1
1502f157f6a70d689f3da006e7a97331,F00019,1502f157f6a70d689f3da006e7a97331,1
150f0b4d5e04f366148249ca6deecd35,F00020,150f0b4d5e04f366148249ca6deecd35,1
15b0bfccf0cb7d4be743f9d80cdbee05,F00021,15b0bfccf0cb7d4be743f9d80cdbee05,1
15d88423fe5bbffade21404ba8389e46,F00022,15d88423fe5bbffade21404ba8389e46,1
16ef1ff98dad2cf16777aaa2c0d33635,F00023,16ef1ff98dad2cf16777aaa2c0d33635,1
17a5cac34951320aff4351a4cecce389,F00024,17a5cac34951320aff4351a4cecce389,1
1860ac1348a4ec068aa2d397cd2b1007,F00025,1860ac1348a4ec068aa2d397cd2b1007,1
1985fcfffa80a9760bb4df268659bdc4,F00026,1985fcfffa80a9760bb4df268659bdc4,1
1b0e73089c1018dcb1edadc122fa7908,F00027,1b0e73089c1018dcb1edadc122fa7908,1
1b33a7a47879e83b9e8c83ecdaaa0dc7,F00028,1b33a7a47879e83b9e8c83ecdaaa0dc7,1
1b61f5d09de7591c6bd04b63f6f256fa,F00029,1b61f5d09de7591c6bd04b63f6f256fa,1
1b9bdb8182f6ee15da8d4ff1bdff03c8,F00030,1b9bdb8182f6ee15da8d4ff1bdff03c8,1
1ce759a51bda6ccfa8244bc3c73acd10,F00031,1ce759a51bda6ccfa8244bc3c73acd10,1
1d2bad57aa5d98c59111d1467367f052,F00032,1d2bad57aa5d98c59111d1467367f052,1
1dc18145189a835521f8ae22571a29f5,F00033,1dc18145189a835521f8ae22571a29f5,1
1e3053fb3f6be2394a9b54ad727e0d1e,F00034,1e3053fb3f6be2394a9b54ad727e0d1e,1
221cc07a7c08f5abc845249e0c5d74c9,F00035,221cc07a7c08f5abc845249e0c5d74c9,1
2261c757650bb2863b5a85471b882d39,F00036,2261c757650bb2863b5a85471b882d39,1
2399e6c4417e9ab477e3cab37679e68b,F00037,2399e6c4417e9ab477e3cab37679e68b,1
240fc39195a17393766eecf6b20bb803,F00038,240fc39195a17393766eecf6b20bb803,1
25292f588c57c81b19488c5370b8ecef,F00039,25292f588c57c81b19488c5370b8ecef,1
25488e7508f23e737a455c5f6ab2f320,F00040,25488e7508f23e737a455c5f6ab2f320,1
259daa46614f55a905ae384e84509a9f,F00041,259daa46614f55a905ae384e84509a9f,1
268c21529f8215f0ceb9af6a628b64aa,F00042,268c21529f8215f0ceb9af6a628b64aa,1
26dfde9921f01f30c8b635b3015daaa3,F00043,26dfde9921f01f30c8b635b3015daaa3,1
2707ee58f4f033beacef4e1f074e27a0,F00044,2707ee58f4f033beacef4e1f074e27a0,1
2a7d97f121d5e05eea35eafde6beadc4,F00045,2a7d97f121d5e05eea35eafde6beadc4,1
2affb53ec13ff9d1bb32c13d57d38aaa,F00046,2affb53ec13ff9d1bb32c13d57d38aaa,1
2bd4a356fbe963c2c7e5d021661cee3c,F00047,2bd4a356fbe963c2c7e5d021661cee3c,1
2e0e86641b84e69a13a4792cb8b6ce68,F00048,2e0e86641b84e69a13a4792cb8b6ce68,1
2ef0e295d5dc31de6e9ad11b99788d67,F00049,2ef0e295d5dc31de6e9ad11b99788d67,1
31eeeb0a7a2e9195b9e9caf7d24f90e5,F00050,31eeeb0a7a2e9195b9e9caf7d24f90e5,1
33abb774bb089c7a1c33cdc1341c8751,F00051,33abb774bb089c7a1c33cdc1341c8751,1
358916cb8381dc17230d5da3f3af965c,F00052,358916cb8381dc17230d5da3f3af965c,1
35cf714df5b7b7a72602016dea770658,F00053,35cf714df5b7b7a72602016dea770658,1
35f9d4ff42ea1470daeb4a8e28463324,F00054,35f9d4ff42ea1470daeb4a8e28463324,1
361f2df80441ef8eb137e2ec8402ed36,F00055,361f2df80441ef8eb137e2ec8402ed36,1
36371e7fe48a4e48035f8ffeb4f37f68,F00056,36371e7fe48a4e48035f8ffeb4f37f68,1
36d00c9285ae46741b64615ab17c0a0d,F00057,36d00c9285ae46741b64615ab17c0a0d,1
37e0ef0746288b7f27e5a4dc74e4e52d,F00058,37e0ef0746288b7f27e5a4dc74e4e52d,1
380838ded61a8565fe3b24891b27ddd1,F00059,380838ded61a8565fe3b24891b27ddd1,1
393eda0648ea391c4a63da7a83582db0,F00060,393eda0648ea391c4a63da7a83582db0,1
39ff182e02f3725bc7639a275c5e492a,F00061,39ff182e02f3725bc7639a275c5e492a,1
3a0f4c2cc7c4f255d83b89e35c600e79,F00062,3a0f4c2cc7c4f255d83b89e35c600e79,1
3b78e9e70e3d141ba9821984aacf2442,F00063,3b78e9e70e3d141ba9821984aacf2442,1
3bdb54d153e29e5031cd86dbebb82c0f,F00064,3bdb54d153e29e5031cd86dbebb82c0f,1
3d0372c2617dde0afd7c0c7eb0b491fa,F00065,3d0372c2617dde0afd7c0c7eb0b491fa,1
