feature,reduced_feature,label,n_members
017db127fef383cc799fa2f1cb602e42,F00000,017db127fef383cc799fa2f1cb602e42,1
02ebf2e144b48b9364db8bbc1601eecb,F00001,02ebf2e144b48b9364db8bbc1601eecb,1
032633d0ae178a54397ed0a169940075,F00002,032633d0ae178a54397ed0a169940075,1
08fe4403784eeb61e1575052647a0ade,F00003,08fe4403784eeb61e1575052647a0ade,1
0997a18d287cf7a7a8f56292898359fe,F00004,0997a18d287cf7a7a8f56292898359fe,1
0e20bfe5c8fd584d19a3c7deeac3c9fb,F00005,0e20bfe5c8fd584d19a3c7deeac3c9fb,1
0fe29e58f5543d48fccdc5ae22ede89b,F00006,0fe29e58f5543d48fccdc5ae22ede89b,1
12e9b7352b61020a62dbc22aaab8bdb6,F00007,12e9b7352b61020a62dbc22aaab8bdb6,1
131bc03bfe9ddbd4b1aa03e0ad02a1ec,F00008,131bc03bfe9ddbd4b1aa03e0ad02a1ec,1
13524c7ee4f8d0cf97053eca3d593108,F00009,13524c7ee4f8d0cf97053eca3d593108,1
136cf543a8c4936751779cd3a3eccc92,F00010,136cf543a8c4936751779cd3a3eccc92,1
13961e14b66c043810d6b495e26d2d71,F00011,13961e14b66c043810d6b495e26d2d71,1
150f0b4d5e04f366148249ca6deecd35,F00012,150f0b4d5e04f366148249ca6deecd35,1
15b0bfccf0cb7d4be743f9d80cdbee05,F00013,15b0bfccf0cb7d4be743f9d80cdbee05,1
1860ac1348a4ec068aa2d397cd2b1007,F00014,1860ac1348a4ec068aa2d397cd2b1007,1
1b9bdb8182f6ee15da8d4ff1bdff03c8,F00015,1b9bdb8182f6ee15da8d4ff1bdff03c8,1
1ce759a51bda6ccfa8244bc3c73acd10,F00016,1ce759a51bda6ccfa8244bc3c73acd10,1
1d2bad57aa5d98c59111d1467367f052,F00017,1d2bad57aa5d98c59111d1467367f052,1
1dc18145189a835521f8ae22571a29f5,F00018,1dc18145189a835521f8ae22571a29f5,1
25488e7508f23e737a455c5f6ab2f320,F00019,25488e7508f23e737a455c5f6ab2f320,1
268c21529f8215f0ceb9af6a628b64aa,F00020,268c21529f8215f0ceb9af6a628b64aa,1
26dfde9921f01f30c8b635b3015daaa3,F00021,26dfde9921f01f30c8b635b3015daaa3,1
2a7d97f121d5e05eea35eafde6beadc4,F00022,2a7d97f121d5e05eea35eafde6beadc4,1
2bd4a356fbe963c2c7e5d021661cee3c,F00023,2bd4a356fbe963c2c7e5d021661cee3c,1
33b18ef5ceb971d2966993e0b5e29188,F00024,33b18ef5ceb971d2966993e0b5e29188,1
35f9d4ff42ea1470daeb4a8e28463324,F00025,35f9d4ff42ea1470daeb4a8e28463324,1
380838ded61a8565fe3b24891b27ddd1,F00026,380838ded61a8565fe3b24891b27ddd1,1
393eda0648ea391c4a63da7a83582db0,F00027,393eda0648ea391c4a63da7a83582db0,1
3a0f4c2cc7c4f255d83b89e35c600e79,F00028,3a0f4c2cc7c4f255d83b89e35c600e79,1
438b96dda03253c86b040473e331369b,F00029,438b96dda03253c86b040473e331369b,1
445dc53b12d6e5b8232ccee00874e771,F00030,445dc53b12d6e5b8232ccee00874e771,1
4476427f8828518c98d3d71b4d592064,F00031,4476427f8828518c98d3d71b4d592064,1
4789eb27dd9afd4ee5fe92d02321b207,F00032,4789eb27dd9afd4ee5fe92d02321b207,1
49f6afb1b07502b16816d4121a14e8ad,F00033,49f6afb1b07502b16816d4121a14e8ad,1
4bb10f8e91c3ae34f5d998d4ead84548,F00034,4bb10f8e91c3ae34f5d998d4ead84548,1
52c5115c499531effd32b37858a16f6e,F00035,52c5115c499531effd32b37858a16f6e,1
53449f1b4520e07e70f05798c49b802f,F00036,53449f1b4520e07e70f05798c49b802f,1
54ba53dda656cb7f5c8efe55176ce429,F00037,54ba53dda656cb7f5c8efe55176ce429,1
58cd46522591ccafb0c31dd05d0be3d8,F00038,58cd46522591ccafb0c31dd05d0be3d8,1
591e6c81a105e23ccd3963c6b96fbce6,F00039,591e6c81a105e23ccd3963c6b96fbce6,1
59cf2ee462acd159fd9ceca618e5b2c1,F00040,59cf2ee462acd159fd9ceca618e5b2c1,1
5aa09eb09a50bade68b903bb336193f0,F00041,5aa09eb09a50bade68b903bb336193f0,1
5b84e1329943a7797ba1b4db68e0c3ad,F00042,5b84e1329943a7797ba1b4db68e0c3ad,1
5fd87bc6841dfd02ed2058e28acf51da,F00043,5fd87bc6841dfd02ed2058e28acf51da,1
62730fd9676d050cb6a25c5f3c1d5bc2,F00044,62730fd9676d050cb6a25c5f3c1d5bc2,1
632f8d81d529f701f53503c07bcedfea,F00045,632f8d81d529f701f53503c07bcedfea,1
64bf06784d4036c609bb6a107b54bda0,F00046,64bf06784d4036c609bb6a107b54bda0,1
67b14a73f9790200deb5606115a1ab53,F00047,67b14a73f9790200deb5606115a1ab53,1
67ef391681c045c1255a7b89bc189edf,F00048,67ef391681c045c1255a7b89bc189edf,1
6e5610da04142634ba5a18089e430d11,F00049,6e5610da04142634ba5a18089e430d11,1
70b74619fa1ec573c877652a81f10358,F00050,70b74619fa1ec573c877652a81f10358,1
746d271153e4337960cdc2acc332c6be,F00051,746d271153e4337960cdc2acc332c6be,1
76c6914a9a22e780ad4bf453262d3d50,F00052,76c6914a9a22e780ad4bf453262d3d50,1
794f4f3e96f4881ecccf348627074851,F00053,794f4f3e96f4881ecccf348627074851,1
7afcdd58921f1fec0d4f86b5e78e8f5c,F00054,7afcdd58921f1fec0d4f86b5e78e8f5c,1
7df44d94b4cb3b97ddcc23dde6d9542b,F00055,7df44d94b4cb3b97ddcc23dde6d9542b,1
7f5c79ea96a9d794058e2c0855b1052c,F00056,7f5c79ea96a9d794058e2c0855b1052c,1
8016f2c0aacca2419718513cd7540535,F00057,8016f2c0aacca2419718513cd7540535,1
808302d4e71aa7321e30e37e3c206b34,F00058,808302d4e71aa7321e30e37e3c206b34,1
80fa627a5ed632377f103fe128c42df6,F00059,80fa627a5ed632377f103fe128c42df6,1
81c74800741a624c673eb7875e98d42a,F00060,81c74800741a624c673eb7875e98d42a,1
826d64eb7bb6ed875d0bfb64469d0849,F00061,826d64eb7bb6ed875d0bfb64469d0849,1
835807472970ae51e3ba46cfe94841e5,F00062,835807472970ae51e3ba46cfe94841e5,1
84200ca4854972287bcccee2ef82a544,F00063,84200ca4854972287bcccee2ef82a544,1
842ac4c7c442860a7c32508c2fa2ca23,F00064,842ac4c7c442860a7c32508c2fa2ca23,1
84da95dbd943c32745805c8616d77378,F00065,84da95dbd943c32745805c8616d77378,1
85060abda17f88dbfcbf5bb6a054a8cc,F00066,85060abda17f88dbfcbf5bb6a054a8cc,1
8579a1043170f9ebc303ce683b5e7581,F00067,8579a1043170f9ebc303ce683b5e7581,1
88029399fd54b2ef548289cd0cd41f53,F00068,88029399fd54b2ef548289cd0cd41f53,1
88d1cd7d40bc0fb3016ace37e5cf0dcd,F00069,88d1cd7d40bc0fb3016ace37e5cf0dcd,1
8985361554efaa96b9f69372e117a42e,F00070,8985361554efaa96b9f69372e117a42e,1
8a952a2427fd133802ed3054049ab72b,F00071,8a952a2427fd133802ed3054049ab72b,1
8e0b021a70e3ef57571157844a7d5ac7,F00072,8e0b021a70e3ef57571157844a7d5ac7,1
903535f1a6d58e3ba02871a1e54833f1,F00073,903535f1a6d58e3ba02871a1e54833f1,1
9179566d26530c3b58d204606eb86d33,F00074,9179566d26530c3b58d204606eb86d33,1
925c26dff9a8c8957bf276f6746f454d,F00075,925c26dff9a8c8957bf276f6746f454d,1
93181645c52ce8bbac36a66c2f975608,F00076,93181645c52ce8bbac36a66c2f975608,1
93a167bcf1d3c2e4d72e158927f5f375,F00077,93a167bcf1d3c2e4d72e158927f5f375,1
97174e22559ba63beb0c341fdca8ffd9,F00078,97174e22559ba63beb0c341fdca8ffd9,1
9b9d6072c4bd430fc4d51a450414537c,F00079,9b9d6072c4bd430fc4d51a450414537c,1
9eaaa7a26aedac395a01ec494a39bcca,F00080,9eaaa7a26aedac395a01ec494a39bcca,1
9f85feac40948707a8c6882dffe1dde2,F00081,9f85feac40948707a8c6882dffe1dde2,1
9fb4acd4cc1aabc1f487e7bdaad0696b,F00082,9fb4acd4cc1aabc1f487e7bdaad0696b,1
a176fbba693f88b2afdb9c2125592706,F00083,a176fbba693f88b2afdb9c2125592706,1
a647f6064ad6925114a56ca9a6052c83,F00084,a647f6064ad6925114a56ca9a6052c83,1
ab550775cc16043888330ee065fc30b9,F00085,ab550775cc16043888330ee065fc30b9,1
ae7a030c92188dc1e56cae8a03a2cde3,F00086,ae7a030c92188dc1e56cae8a03a2cde3,1
afb420a5168d4d3ecacc84dd0b97e5f4,F00087,afb420a5168d4d3ecacc84dd0b97e5f4,1
b3808604cb7a92a8bc9aaec3fc5d31be,F00088,b3808604cb7a92a8bc9aaec3fc5d31be,1
b46f07b6978dbb1a7183270f72a12f52,F00089,b46f07b6978dbb1a7183270f72a12f52,1
b72947a32bcb6825102a9a921faa2fcd,F00090,b72947a32bcb6825102a9a921faa2fcd,1
bd409cb7ebef1b16f861488e8acfb126,F00091,bd409cb7ebef1b16f861488e8acfb126,1
bdb1d0d40f8fa9eeff0ccd983eec6e3c,F00092,bdb1d0d40f8fa9eeff0ccd983eec6e3c,1
c122123f9553cd95645a3f488a9a2ef6,F00093,c122123f9553cd95645a3f488a9a2ef6,1
c43ecaec3a416d95021e7a6834a6583f,F00094,c43ecaec3a416d95021e7a6834a6583f,1
c5af52d9c7857a56838c4b301b198eeb,F00095,c5af52d9c7857a56838c4b301b198eeb,1
c5c660d580e6624f76491f3a2e97a127,F00096,c5c660d580e6624f76491f3a2e97a127,1
c67d22aa0acfbffac1e1b35d28969264,F00097,c67d22aa0acfbffac1e1b35d28969264,1
c6d94636296cc20c12dceb19438273f9,F00098,c6d94636296cc20c12dceb19438273f9,1
c9bc462c32c0c5978af1e5324f7fe9bb,F00099,c9bc462c32c0c5978af1e5324f7fe9bb,1
1185e413eeaf9bdc64abac6b5f3bac19,F00100,clade00001,2
97c1a65aed153e530d990b1bacf1dbf1,F00100,clade00001,2
81379901d3ba8dd9621470f26518c790,F00101,clade00002,2
9e0e6871246c8e4aff6e3e2781b29b82,F00101,clade00002,2
829b6994e528282da5e283e12bb15632,F00102,clade00003,2
9e5f3d652b3e45ed4153f37b92de1c0c,F00102,clade00003,2
0c580e732f78fa92a5a0f60dc298dff6,F00103,clade00004,3
7aaed3f8944a8beed9e43c9b00ac2fff,F00103,clade00004,3
fe815e3ceddbd10860d2de6dc7e07f64,F00103,clade00004,3
044ede9d0e4b57586490ed30ba8f3503,F00104,clade00005,4
251329841727364e2710e25f0f832059,F00104,clade00005,4
4f2657772c60bce3a9cabb3a71d6c7cd,F00104,clade00005,4
99aa763e645726fc3f2c490e02c9c229,F00104,clade00005,4
0d65543f374036f1abd01a8e561f157b,F00105,clade00006,5
1902a30a4ddc3675115c24b6794d46bd,F00105,clade00006,5
2e80893fef3ded7384a2518e4b47f006,F00105,clade00006,5
5b06b6cf59bf1a303744f271b2f9c89d,F00105,clade00006,5
f1837e0ac04e11fe315d3002f8029398,F00105,clade00006,5
673b4ba1902d59b555a37fbb6250ff66,F00106,clade00007,2
7a3e4786ccaed9ab747e9e5673d05ade,F00106,clade00007,2
15b10aa7b4efdf3697e8f22122c10a1b,F00107,clade00008,16
2d29d304f6a8155a1507f1d00b5e16b5,F00107,clade00008,16
39ff182e02f3725bc7639a275c5e492a,F00107,clade00008,16
5b30303e199d03118e30e8fd32efcef1,F00107,clade00008,16
6540b2b998278145e68d97a398ae8d66,F00107,clade00008,16
7e1f630c0c2b2a42611a19838c8d7b60,F00107,clade00008,16
804fa983c1696693b8efeb70e60bc0cf,F00107,clade00008,16
896bdc4fa49f42c5c6c8bbbe86c27843,F00107,clade00008,16
95331c28d940419406dcf4863889b5b1,F00107,clade00008,16
96affa23ea568d2373afae040e5aa9cc,F00107,clade00008,16
c35b266a01da80e38cf70fe97d7b8166,F00107,clade00008,16
d19c2e175cf1c121bfe7b0c19d5298f7,F00107,clade00008,16
d5e4d5a886365da4011717af991d76f5,F00107,clade00008,16
d76ed12526056fc16dbb603585e4a547,F00107,clade00008,16
