SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,F00035,F00036,F00037,F00038,F00039,F00040,F00041,F00042,F00043,F00044,F00045,F00046,F00047,F00048,F00049,F00050,F00051,F00052,F00053,F00054,F00055,F00056,F00057,F00058,F00059,F00060,F00061,F00062,F00063,F00064,F00065,F00066,F00067,F00068,F00069,F00070,F00071,F00072,F00073,F00074,F00075,F00076,F00077,F00078,F00079,F00080,F00081,F00082,F00083,F00084,F00085,F00086,F00087,F00088,F00089,F00090,F00091,F00092,F00093,F00094,F00095,F00096,F00097,F00098,F00099,F00100,F00101,F00102,F00103,F00104,F00105,F00106,F00107,F00108,F00109,F00110,F00111,F00112,F00113,F00114,F00115,F00116,F00117,F00118,F00119,F00120,F00121,F00122,F00123,F00124,F00125,F00126,F00127,F00128,F00129,F00130,F00131,F00132,F00133,F00134,F00135,F00136,F00137,F00138,F00139,F00140,F00141,F00142,F00143,F00144,F00145,F00146,F00147,F00148,F00149,F00150,F00151,F00152,F00153,F00154,F00155,F00156,F00157,F00158,F00159,F00160,F00161,F00162,F00163,F00164,F00165,F00166,F00167,F00168,F00169,F00170,F00171,F00172,F00173,F00174,F00175,F00176,F00177,F00178,F00179,F00180,F00181,F00182,F00183,F00184,F00185,F00186,F00187,F00188,F00189,F00190,F00191,F00192,F00193,F00194,F00195,F00196,F00197,F00198,F00199,F00200,F00201,F00202,F00203,F00204,F00205,F00206,F00207,F00208,F00209,F00210,F00211,F00212,F00213,F00214,F00215,F00216,F00217,F00218,F00219
1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053844497092397,0.0009692009476631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032306698255438,0.0,0.0,0.0,0.0,0.0008076674563859,0.0,0.0,0.0,0.0006999784622011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110919664010338,0.0,0.0,0.0,0.0,0.0,0.0,0.0002692224854619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001512973749905,0.0,0.0,0.0,0.0,0.0,0.0032845143226362,0.0,0.0,0.0,0.0,0.0,0.0,0.0011307344389403,0.0,0.0,0.0,0.0,0.0030691363342666,0.003661425802283,0.0,0.0,0.0008076674563859,0.0,0.0056536721947017,0.0027999138488046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009692009476631,0.0,0.0,0.0,0.0,0.0065690286452724,0.0,0.0033383588197286,0.0,0.0,0.0,0.0,0.0,0.0,0.0030691363342666,0.0,0.0011845789360327,0.0,0.0,0.0,0.0002692224854619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853435278914494,0.0,0.0,0.0015076459185871,0.0,0.0,0.0,0.0,0.0,0.0,0.0087228085289683,0.0255222916217961,0.0087228085289683,0.0,0.0,0.06563644195563201,0.0,0.0048460047383157,0.0,0.0020999353866034,0.0072151626103812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013568813267284,0.0,0.053036829636010994,0.0,0.0004846004738315,0.0,0.0176071505492138,0.0081305190609518,0.0243915571828557,0.0075382295929356,0.0074843850958431005,0.0019922463924186,0.0088843420202455,0.0016153349127719,0.0015076459185871,0.0065690286452724,0.178171440878742,0.011361188886495701,0.0150226146887787,0.0244992461770406,0.0,0.0044690932586688,0.0019922463924186,0.0,0.0101227654533705,0.0,0.0015614904156795,0.0,0.0,0.0069997846220115,0.0092612534998923,0.0193840189532629,0.0,0.0,0.0,0.0,0.0200301529183717,0.0,0.0,0.8616385505711474,0.0,0.0,0.0,0.0,0.0013616763749148,0.0021938119373628,0.0012103789999243,0.0206520916862092,0.0,0.0,0.0107421136243286,0.0020425145623723,0.0,0.0015886224374007,0.012633330811710199,0.0068840305620697,0.0,0.003122980831359,0.0,0.0,0.0,0.0012922679302175,0.0,0.0,0.0,0.0
1-10,0.0041904530547795,0.0,0.0,0.0,0.0,0.000941333657233,0.0,0.0,0.0003340216203085,0.0,0.0,0.0,0.0,0.000273290416616,0.0016397424996963,0.0,0.0,0.0029758289809304,0.0,0.0,0.0005769464350783,0.0,0.0,0.0,0.0009716992590793,0.0,0.0,0.0,0.0017004737033888,0.0,0.0,0.0,0.0,0.0,0.0033402162030851,0.0014575488886189,0.0,0.0,0.0010324304627717,0.0007287744443094,0.0,0.0,0.0,0.0,0.0,0.0,0.0006073120369245,0.0003340216203085,0.0,0.0,0.0,0.0003643872221547,0.0064982387950929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000668043240617,0.0,0.0,0.0,0.0,0.0006376776387708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057087331470909,0.0,0.0006984088424632,0.0,0.0,0.0006984088424632,0.0,0.0006073120369245,0.0,0.0016397424996963,0.0008806024535406,0.0383821207336329,0.0,0.0,0.0,0.0,0.0003947528240009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044333778695493,0.000668043240617,0.0,0.0172476618486576,0.012449896756953599,0.0,0.0,0.0,0.0,0.0,0.017763877080043598,0.0165796186080407,0.027966719300376502,0.0,0.0,0.0,0.0,0.0069537228227863,0.0010020648609255,0.015304263330499099,0.19285193732539768,0.0,0.0,0.0,0.037744443094862,0.0,0.0,0.005192517915705,0.0064071419895541,0.0007591400461557,0.0007895056480019,0.0,0.0,0.0,0.0,0.0,0.0,0.0001821936110773,0.0008806024535406,0.0,0.0,0.0,0.0,0.0,0.0,0.0023077857403133,0.0,0.0,0.0169743714320417,0.021893598931130697,0.0,0.0012146240738491,0.0,0.0,0.0004554840276934,0.0,0.0,0.0,0.0,0.0,0.0009716992590793,0.0,0.0,0.0,0.0,0.0,0.0004554840276934,0.0,0.0,0.0,0.0,0.0,0.0027632697680068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041631240131179297,0.0,0.0,0.0,0.0,0.0,0.0,0.0020648609255435003,0.0043241073546313995,0.018518856392198205,0.0390629276213758,0.007954897918224901,0.0128081154554908,0.09213815249320312,0.2594464412778918,0.0013866335820758,0.0023171376963637,0.0071156196974948,0.0,0.0216022915944461,0.006531773978726,0.0334799029356492,0.2094364064296008,0.0347570654454559,0.0153441952963928,0.0,0.0,0.0,0.0,0.0,0.0,0.003066925786469,0.0,0.0,0.0
1-11,0.0013375592451513,0.0,0.0002907737489459,0.0,0.0,0.0055247012299729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004012677735454,0.0020644936175162,0.0,0.0,0.000785089122154,0.0,0.0003198511238405,0.0,0.0,0.0,0.0,0.0,0.0010467854962054,0.0016864877438864,0.0,0.0067459509755459,0.0,0.0,0.0,0.0,0.0004652379983135,0.0006106248727864,0.0,0.0,0.0411154081009566,0.0,0.0010177081213108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030531243639324,0.0,0.0,0.0,0.0,0.0,0.0,0.0034892849873513,0.0,0.0,0.0,0.0,0.0,0.0,0.0006687796225756,0.0014538687447297,0.0,0.0003198511238405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004652379983135,0.0,0.0,0.000930475996627,0.0,0.0009013986217324,0.0,0.0,0.0009886307464162,0.0058445523538134,0.0,0.0,0.0,0.0,0.0007560117472594,0.0,0.0001744642493675,0.0,0.0,0.0,0.0,0.0,0.0005524701229972,0.0006978569974702,0.0117181820825214,0.0042452967346107,0.0383821348608642,0.022505888168416102,0.000639702247681,0.0,0.0,0.0,0.0022098804919891,0.0331482073798375,0.0064260998517053,0.0060480939780755,0.0023552673664621,0.0,0.0,0.0356488616207728,0.0003489284987351,0.0521066558111133,0.0041289872350323,0.0166613358146026,0.0,0.0,0.0,0.008170742345380901,0.0,0.0,0.0041871419848216,0.0008141664970486,0.0,0.0,0.0,0.0009886307464162,0.0,0.0,0.0,0.0020935709924108,0.0002035416242621,0.0025297316158296,0.0,0.0,0.0,0.0,0.0,0.0005233927481027,0.0076182722223836,0.0,0.0008723212468378,0.0173882701869675,0.0127649675787267,0.0022389578668837,0.0032566659881945,0.0008432438719432,0.001715565118781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000785089122154,0.0,0.0,0.0,0.0,0.0,0.1134308394638132,0.0,0.0,0.0,0.0,0.0,0.0009886307464162,0.0,0.0,0.0141316041987729,0.0002907737489459,0.0,0.0,0.0009595533715216,0.0,0.0,0.0008141664970486,0.0028919146885165,0.1105675382576213,0.0986865887456317,0.003422099048077917,0.014387275575370399,0.11454392095433151,0.2786118809495115,0.0042896734546330004,0.005880226533317172,0.0228702253283528,0.0,0.0087962405109049,0.0051572478611880005,0.0145318713097962,0.0053982407518977,0.023231714664417202,0.0100494035425953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-11b,0.0,0.0,0.0,0.0,0.0,0.0024378625269706,0.0001961498584918,0.0,0.0,0.0,0.0,0.0,0.0,0.0008966850673914,0.0043152968868215,0.0,0.0,0.0004763639420517,0.0,0.0005043853504077,0.0,0.0,0.0001961498584918,0.0,0.0,0.0011208563342393,0.0003922997169837,0.0,0.0037548687197018,0.0,0.0,0.0,0.0,0.0008126208423235,0.0,0.0,0.0,0.010339899683358,0.0,0.0007285566172555,0.0,0.0,0.0,0.0,0.0,0.0033100127886857,0.0,0.0,0.0,0.0,0.0,0.0,0.0123013982682769,0.0,0.0,0.0,0.0,0.0,0.0,0.0020175414016308,0.0006444923921876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022977554851906,0.0,0.0006164709838316,0.0,0.0,0.0004483425336957,0.005155939137501,0.0,0.0,0.0,0.0,0.0008406422506795,0.0,0.0,0.0,0.0,0.0,0.0,0.0003362569002718,0.0,0.0026620337938184,0.020455628099868,0.0069493092722839,0.039145907473309,0.0130579762938885,0.0,0.0,0.0,0.0,0.0031103763275141,0.0231176618936864,0.0049317678706531,0.0036147616779219,0.0027460980188864,0.0,0.0007005352088995,0.0115448202426653,0.0,0.0452265530865581,0.0035867402695659,0.0008126208423235,0.0,0.0,0.0,0.0012609633760192,0.0,0.0011488777425952,0.0019054557682069,0.0018213915431389,0.0,0.0009247064757474,0.0004203211253397,0.001737327318071,0.0,0.0,0.0,0.0014290918261551,0.0,0.0042312326617534,0.0,0.0,0.0,0.0,0.0,0.0007845994339675,0.0022417126684787002,0.0,0.0,0.0154958388208591,0.014038725586347701,0.001597220276291,0.0025219267520385,0.0014571132345111,0.0014010704177991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008126208423235,0.0,0.0007005352088995,0.0,0.0,0.0,0.0,0.0,0.0081822512399473,0.0,0.0,0.0,0.0,0.0,0.0003362569002718,0.0,0.0,0.0011768991509513,0.0,0.0,0.0,0.0006444923921875,0.0,0.0,0.0012329419676632,0.0042127435492364,0.1183329571955164,0.0658241179568191,0.005190701873165999,0.034905589407959,0.11088542842097292,0.3398029037839461,0.006544798013992222,0.007221846084405223,0.0255773715489355,0.0,0.010155721056194899,0.0085759422252312,0.0073723012111636,0.0046641089295117,0.020085759422252,0.0089520800421273,0.0,0.0,0.0005604281671196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-12,0.0,0.0,0.0,0.0020992735408667,0.0,0.0,0.0,0.0,0.0,0.0016020771759246,0.0019059193989448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001657321216473,0.0,0.0,0.0,0.0,0.0020992735408667,0.0,0.0,0.0,0.0057730022373836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007457945474131,0.0019335414192194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025331464913226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003038422230201,0.028809767146369,0.0,0.0,0.0,0.0,0.0,0.0019059193989448,0.0,0.0,0.0003038422230201,0.0,0.0012153688920807,0.0,0.0,0.000441952324393,0.0,0.0007181725271386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018782973786702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009391486893351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253846366323232,0.0,0.0,0.018120045300113102,0.0,0.0,0.0,0.0,0.0,0.0071817252713862,0.000690550506864,0.016738944286385,0.0058282462779327,0.0027345800071817,0.0,0.003535618595144,0.0,0.0103030135624119,0.0,0.0026517139463579998,0.01452918266442,0.0,0.0,0.0,0.0,0.2036019114438028,0.0,0.0044471452642045,0.0,0.0,0.0038394608181642,0.0,0.0,0.0002762202027456,0.011794602657238201,0.020467917023451,0.0012982349529044,0.0037565947573405,0.0,0.0017125652570227998,0.0013534789934535,0.0012982349529044,0.0009667707096097,0.0032870204126729,0.0990249426843075,0.0076236775957791,0.0089219125486837,0.0114355163936689,0.0,0.0024031157638869,0.0048062315277739,0.0028726901085545,0.061735215313647895,0.0021268955611413,0.011048808109825,0.0018230533381211,0.0104135016435101,0.0,0.0,0.0025964699058089,0.0,0.0,0.0,0.0,0.0063254426428749,0.0,0.0,0.0541123207933598,0.0,0.0015630052818799,0.0,0.0,0.08009054651288111,0.7229168912363908,0.0,0.0049046027810714,0.0,0.008300097014120801,0.0,0.0006467608062951,5.389673385792821e-05,0.0021558693543171,0.0062520211275195,0.0028565268944701003,0.0,0.0038118387978896,0.0,0.0,0.0,0.000248598182471,0.0,0.0,0.0,0.0
1-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016143650164268,0.0014727540500736,0.0,0.0001699331596238,0.0,0.0005097994788716,0.0074770590234507,0.0,0.0,0.0,0.0002265775461651,0.0084116914013821,0.0,0.0008496657981194,0.0,0.0,0.0,0.0,0.0,0.0,0.0004248328990597,0.0007646992183074,0.0013311430837204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049563838223632,0.0,0.0115554548544239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087232355273592,0.0,0.0028888637136059,0.0001132887730825,0.0,0.0,0.0007930214115781,0.0,0.0,0.0026906083607114,0.0,0.0,0.0,0.0,0.0,0.0,0.0010762433442845,0.0,0.0,0.0,0.0,0.0,0.0008213436048487,0.0007363770250368,0.0,0.0,0.0,0.0,0.0,0.0001132887730825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015010762433442,0.0100260564178089,0.0,0.0,0.0,0.0009346323779313,0.0005947660586835,0.006145915939730099,0.0,0.0009063101846607,0.0002548997394358,0.0,0.0,0.0008213436048487,0.0,0.0,0.0,0.0,0.0,0.0,0.011158944148634699,0.0,0.0449756429137871,0.0,0.004644839696386,0.0508949813073523,0.0016143650164268,0.0,0.0,0.0050979947887164,0.0,0.0030304746799592,0.0,0.0737793134700349,0.0009912767644726,0.0041067180242437,0.0080151806955929,0.0220913107511045,0.003115441259771,0.0002832219327064,0.0005381216721422,0.0094312903591253,0.0004531550923303,0.0043332955704089,0.0010195989577432,0.0057494052339413,0.0530757901891921,0.0,0.0,0.0,0.0,0.0617423813300101,0.0190608360711452,0.0075903477965333,0.0,0.0,0.0016426872096974,0.0,0.0062875269060835995,0.0,0.0,0.0,0.0,0.001840942562592,0.0002548997394358,0.0043049733771383,0.0077036365696159,0.0092613571995013,0.0008213436048487,0.0150674068199841,0.15248668856916242,0.0015293984366149,0.0020675201087572,0.0,0.0014727540500736,0.0033986631924776,0.0626770137079415,0.0302197802197801,0.0217231222385859,0.0,0.0003115441259771,0.0014727540500735,0.0084116914013821,0.0001132887730825,0.0022940976549223,0.0129432423246855,0.040019259091424,0.0036535629319134,0.0017842981760506,0.001274498697179,0.0033703409992069,0.0034269853857482,0.0009346323779313,0.0373649223401905,0.0002835449418732,0.1046280835512428,0.0,0.0,0.3038971677010803,0.01707570649948,0.0011656847610346,0.0169181815317725,0.0,0.0,0.0,0.006521533663085499,0.0,0.1354084622412651,0.011719857597429,0.0054503638826752,0.0,0.0017559759827801,0.0,0.0,0.0,0.0007080548317661,0.0,0.0,0.0049147789924703,0.0
1-14,0.0,0.0,4.985417653363911e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010469377072064,0.0032654485629533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011466460602736,0.0013959169429418,0.0,0.0,0.0,0.0106189396016651,0.0,0.0006979584714709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002991250592018,0.0,0.0015454794725428,0.0,0.0,0.0,0.0,0.0007976668245382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007228855597377,0.0,0.0,0.0,0.0,0.0,0.0,0.0010718647954732,0.0,0.0,0.0,0.0,0.0048607822120298,0.0,0.0,0.0,0.0,0.0,0.0,0.0399331954034449,0.0,0.0004985417653363,0.0,0.0040631153874915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050103447416307,0.0,0.0007976668245382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001744896178677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002243437944013,0.0,0.0,0.0,0.0064561158611061995,0.0,0.0,0.0006979584714709,0.0,0.0,0.0,0.0,0.0,0.0,0.00109679188374,0.0470872697360219,0.0050851260064309995,0.0006231772066704,0.0,0.0892888301717474,0.0,0.0018944587082782,0.0,0.0096467831592591,0.0046364384176284,0.0,0.0,0.0,0.0,0.0002492708826681,0.0,0.0,0.0004736146770695,0.0,0.1217688261834133,0.0,0.0021686566792133,0.002617344268016,0.0018446045317446,0.0,0.0494304160331029,0.0047860009472293,0.0012962085898746,0.0050851260064311,0.0139840965176856,0.00274197970935,0.0003739063240022,0.0037639903282897,0.0213126604681306,0.0077024702744472,0.0008724480893386,0.0019443128848119,0.0,0.0007976668245382,0.0252012862377545,0.0,0.062417429020116,0.0054341052421666,0.0055587406835007,0.0061819178901712,0.0,0.0003739063240022,0.0,0.0092230226587232,0.0,0.0002991250592018,0.0,0.0,0.0035645736221551,0.0033651569160206,0.0,0.6908868073185673,0.0,8.754267705506434e-05,0.0,0.0,0.002144795587849,0.0037205637748401,0.0005252560623303,0.0,0.0,0.0856605094983804,0.0260439464238816,0.0003939420467477,0.0,0.0008754267705506,0.0153199684846361,0.0047273045609733,0.0,0.0033651569160206,0.0,0.0,0.0,0.0007727397362714,0.0,0.0,0.0,0.0
1-15,0.0014221707611759,0.0005789367700362,0.0174562021747885,0.0,0.0002265404752315,0.0022402335884011,0.0002642972211035,0.0007928916633105,0.0001887837293596,0.0,0.0,0.0005915223519935,0.0089483487716472,0.0005034232782923,0.0012837293596455,0.0116290777285541,0.0044804671768022,0.0001510269834877,0.0006796214256947,0.0008809907370116,0.000163612565445,0.0,0.0,0.0,0.001220801449859,0.0008054772452678,0.0018249093838099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010320177204993,0.0011075312122432,0.0,0.0,0.0005915223519935,0.0008054772452678,0.0070101691502215,0.0,0.0,0.0,0.0,0.0,0.0001887837293596,0.0027184857027788,0.0,0.0,0.0,0.0002768828030608,0.0,0.0003020539669754,0.0009439186467982,0.0,0.0003649818767619,0.001585783326621,0.0,0.0,0.0018249093838099,0.0,0.0014599275070479,0.0,0.0,0.0,0.0,0.0041028997180829,0.0014347563431333,0.0,0.0,0.0004530809504631,0.0009061619009262,0.000490837696335,0.0009313330648409,0.0,0.0,0.0,0.0002768828030608,0.0,0.0,0.0032848368908578,0.0,0.0,0.0016487112364075,0.0,0.0004656665324204,0.0,0.0012837293596455,0.0019759363672976,0.0102320781312927,0.0001132702376157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089357631896898,0.0004027386226339,0.0,0.0004404953685058,0.0069849979863068,0.0036498187676196002,0.015606121627063799,0.0011578735400724,0.029739730165122505,0.005499899315344101,0.0001510269834877,0.0091623036649214,0.0026429722110349,0.00809252919855,0.0011327023761578,0.0359821788159477,0.0049838904550945,0.0187651026983487,0.0011452879581151,0.0007928916633104001,0.002970197341925,0.0003649818767619,0.028934252919855,0.0004153242045912,0.0022905759162303485,0.09395136931131678,0.0064060612162705,0.0004153242045912,0.0006292790978654,0.013504329440193101,0.0,0.0,0.0016738824003221,0.0005537656061216,0.0028443415223519002,0.0004656665324204,0.0018626661296818,0.0014599275070479,0.0,0.0,0.0,0.0048328634716069,0.0006418646798227,0.0029198550140956,0.0,0.0016864679822793998,0.00032722513089,0.0003775674587192,0.0,0.003662404349577,0.011905960531614801,0.0053237011679419,0.039783024567055694,0.0132777889649616,0.0074129077728552996,0.0021269633507853,0.004845449053564,0.0,0.0015228554168344,0.0009816753926701,0.0014473419250906,6.292790978654854e-05,0.0,0.0,0.0,0.0003398107128473,0.0,0.0,0.004039971808296201,0.000528594442207,0.0,0.0006418646798227679,0.0,0.0,0.0,0.0012082158679017,0.0,0.0031338099073701,0.0,0.0027184857027787,0.0,0.0,0.0002642972211035,0.0049838904550943,0.0,0.0008935763189689,0.044955698751510106,0.006909484494563,0.0012459726137735,0.0008306484091824,0.0011075312122432,0.0,0.0003523962948046,0.0065696737817154,0.0347757136384229,0.1330992297236066,0.03879700951517885,0.0,0.0,0.20604893520616183,0.23804938830992278,0.0,0.0033416402356139002,0.0,0.0,0.0293384685092886,0.0052106932487539,0.0,0.2513593112822835,0.022655188038060402,0.0105346624376981,0.0029324405960531,0.0,0.0005034232782923,0.0027436568666935,0.0008432339911397,0.0,0.0,0.0007173781715666,0.0018124150430448,0.0029072694321385
1-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003163770310275,0.0,0.0,0.0,0.0,0.0,0.0003841721091048,0.0,0.0,0.0,0.0,0.0,0.000632754062055,0.0,0.0,0.0,0.0,0.0,0.0007909425775688,0.0,0.0,0.0,0.0,0.0,0.0068699012451696,0.0,0.0,0.0,0.0,0.0007457458588506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010169261711599,0.0,0.0,0.0004293688278231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.519671871822106e-05,0.0,0.0039547128878443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003841721091048,0.0,0.0,0.0,0.0006553524214142,0.0,0.0002033852342319,0.0002937786716684,0.0,0.0,0.000836139296287,0.0004067704684639,0.0,0.0,0.0003163770310275,0.0,0.0,0.0,0.0,0.0,0.0,0.17452712933041048,0.0006779507807733,0.0188696300648571,6.779507807733158e-05,0.0,0.0,0.0,0.0,0.003073376872839,0.0,0.0011525163273146,0.0020338523423199,0.0,0.0,0.0003389753903866,0.0,0.0,0.0,0.002666606404375,0.0,0.0878172244695035,0.0,0.0,0.0135364172561072,0.0,0.0009491310930826,0.0022146392171928,0.0,0.0,0.0028925899979661,0.0,0.0025310162482203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003480147341303,0.0,0.0,0.0,0.0,0.0433662516101331,0.0002711803123093,0.0008135409369279,0.0014236966396239002,0.0204741135793541,0.0,0.0002259835935911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042710899188717,0.0,0.0,0.0,0.0,0.0,0.0029377867166843,0.0,0.0,0.0,0.0,0.0,0.0001581885155137,0.0,0.0010621228898781,0.001039524530519,0.0,0.0,0.0,0.0,0.0,0.0046778603873358,0.0018078687487288,0.0092162656535807,0.1599831152384972,0.0023216547066271,0.0037287181651891,0.0119600393977768,0.1250175882932317,0.1714506824257771,0.001547769804418,0.0041508372027577005,0.0111861544955677,0.0003517658646404,0.0140706345856197,0.0026734205712677,0.0,0.0,0.020050654284508,0.0085830870972279,0.0,0.0,0.0,0.0,0.0,0.0,0.0002485819529502,0.0,0.0,0.0
1-17,0.0004909605498758,0.0,0.0124761739733148,0.0,0.0006642407439496,0.0,0.0,0.0,0.0,0.0023392826199965,0.0003754404204932,0.000548720614567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018483220701207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010974412291341,0.0,0.0,0.0,0.0,0.0,0.0,0.0019638421995032,0.0,0.0,0.0,0.0,0.0,0.0031479235256743,0.0,0.0002021602264194,0.0,0.0028880032345636,0.0,0.0007797608733321,0.0015306417143187,0.0,0.0,0.0,0.0005198405822214,0.0,0.0,0.0011552012938254,0.0,0.0022592362895366,0.0,0.0,0.0,0.0,0.0015306417143187,0.0004620805175301,0.0004620805175301,0.0,0.0006353607116039,0.0007220008086409,0.0,0.0,0.0527060590307861,0.0,0.0003465603881476,0.0,0.0533125397100444,0.0,0.0,0.0,0.0,0.0,0.0,0.0008375209380234,0.0,0.0031768035580199,0.0005776006469127,0.0009819210997516,0.0,0.0,0.0004909605498758,0.0,0.0002021602264194,0.0,0.0,0.0008375209380234,0.0,0.0,0.0,0.0,0.0011552012938254,0.0030324033962918,0.0,0.0,0.0,0.0,0.0046208051753016,0.0014151215849361,0.0156529775313343,0.001501761681973,0.0,0.0024259227170333,0.0017905620054294,0.0004332004851845,0.0002888003234563,0.0342805983942701,0.0004909605498758,0.000866400970369,0.0,0.0,0.0022526425229595,0.0,0.0004043204528389,0.0,0.0,0.0,0.0699474383411309,0.0075954485069022,0.0005198405822214,0.0006931207762952,0.007768728700976,0.0,0.0,0.0,0.0,0.0006353607116039,0.0070178478599896,0.001184081326171,0.0021948824582683,0.0017328019407381,0.006382487148385499,0.0315658753537803,0.0051117657251776,0.0037832842372780996,0.0016461618437012,0.0,0.0045630451106105,0.0040720845607347,0.0003465603881476,0.0023392826199965,0.0034656038814762,0.0,0.051926298157453796,0.0028880032345636,0.0028591232022179,0.0004909605498758,0.000866400970369,0.0,0.0,0.0038988043666608,0.0021082423612314,0.0078842488303586,0.0,0.0,0.0098769710622075,0.0044475249812279,0.007942008895049799,0.0010685611967885,0.007537688442211,0.0,0.0051406457575232,0.21472304048980473,0.0008952810027147,0.0006353607116039,0.000866400970369,0.0004043204528389,0.000866400970369,0.0036677641078958,0.0012996014555536,0.018338820539478797,0.0,0.0024836827817246,0.0030324033962917,0.008895049962455801,0.0,0.0010396811644429,0.0050828856928319,0.0036388840755501002,0.0007797608733321,0.0029457632992548,0.0,0.0112054525501068,0.0074221683128284,0.0028880032345635,0.024142819172499098,0.0,0.013422521484894,0.0015061575263577,0.0,0.247408523079649,0.43457074510498767,0.0003100912554265,0.00779658013644,0.0,0.0020377425356604,0.0012403650217063281,0.0030566138034907,0.0,0.1694427217152476,0.0127580402232655,0.0060689288562061,0.0005776006469127,0.0,0.0009241610350603,0.0,0.0,0.0006931207762952,0.0,0.0,0.0010631700186054,0.0003465603881476
